Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,31,LAL,80, ,3157,8.9,15.4,.577, , , ,8.9,15.4,.577,4.0,5.4,.736,2.4,9.3,11.7,4.9,0.9,3.6,3.2,2.6,21.7
Tom Abernethy,PF,24,GSW,70, ,1219,5.2,10.1,.515, , , ,5.2,10.1,.515,2.1,2.8,.745,2.2,4.2,6.4,2.3,1.2,0.4,0.9,3.9,12.5
Alvan Adams,C,24,PHO,77, ,2364,8.7,16.3,.530, , , ,8.7,16.3,.530,3.5,4.4,.799,3.4,7.4,10.7,5.5,1.7,1.0,4.2,3.7,20.8
Lucius Allen,PG,31,KCK,31, ,413,6.0,15.2,.397, , , ,6.0,15.2,.397,1.7,2.9,.576,1.2,2.8,4.0,3.8,1.8,0.5,2.6,4.5,13.7
Kim Anderson,SF,23,POR,21, ,224,3.9,12.4,.312, , , ,3.9,12.4,.312,2.4,4.5,.536,2.7,4.5,7.2,2.4,0.6,0.8,3.5,6.8,10.1
Tiny Archibald*,PG,30,BOS,69, ,1662,5.6,12.4,.452, , , ,5.6,12.4,.452,5.2,6.6,.788,0.5,1.7,2.2,7.0,1.2,0.1,4.3,2.9,16.5
Tate Armstrong,SG,23,CHI,26, ,259,3.9,9.7,.400, , , ,3.9,9.7,.400,1.4,1.8,.769,1.0,1.8,2.8,4.3,1.4,0.0,2.9,3.1,9.2
Dennis Awtrey,C,30,TOT,63, ,746,2.1,5.2,.411, , , ,2.1,5.2,.411,2.0,2.7,.732,2.0,5.3,7.3,3.3,0.8,0.6,2.5,5.1,6.2
Dennis Awtrey,C,30,BOS,23, ,247,2.5,6.4,.386, , , ,2.5,6.4,.386,2.3,2.9,.800,1.9,5.0,6.9,2.9,0.4,0.9,3.1,5.4,7.3
Dennis Awtrey,C,30,SEA,40, ,499,1.9,4.5,.429, , , ,1.9,4.5,.429,1.8,2.6,.694,2.1,5.4,7.5,3.5,0.9,0.5,2.2,5.0,5.7
Gus Bailey,SG,27,NOJ,2, ,9,8.0,28.0,.286, , , ,8.0,28.0,.286,0.0,0.0, ,8.0,0.0,8.0,8.0,0.0,0.0,4.0,4.0,16.0
Greg Ballard,SF,24,WSB,82, ,1552,6.0,13.0,.465, , , ,6.0,13.0,.465,2.8,4.0,.692,3.3,7.1,10.4,2.7,1.3,0.7,2.3,3.9,14.8
Mike Bantom,PF,27,IND,81, ,2528,6.9,14.8,.465, , , ,6.9,14.8,.465,3.2,4.8,.672,3.2,6.1,9.3,3.2,1.4,0.9,2.7,4.5,17.0
Tom Barker,C,23,TOT,39, ,476,5.1,11.8,.436, , , ,5.1,11.8,.436,2.0,2.8,.730,3.4,5.6,9.0,1.1,0.8,0.8,2.6,5.7,12.3
Tom Barker,C,23,HOU,5, ,16,6.8,13.5,.500, , , ,6.8,13.5,.500,4.5,4.5,1.000,4.5,9.0,13.5,0.0,0.0,0.0,2.3,11.3,18.0
Tom Barker,C,23,BOS,12, ,131,5.8,13.2,.438, , , ,5.8,13.2,.438,3.0,4.1,.733,3.3,4.9,8.2,1.6,1.1,1.1,3.6,7.1,14.6
Tom Barker,C,23,NYK,22, ,329,4.8,11.2,.431, , , ,4.8,11.2,.431,1.5,2.2,.700,3.4,5.7,9.1,1.0,0.7,0.8,2.2,4.9,11.2
Marvin Barnes,PF,26,BOS,38, ,796,6.0,12.3,.491, , , ,6.0,12.3,.491,1.9,3.0,.652,2.6,5.4,8.0,2.4,1.7,1.8,3.1,6.5,14.0
Rick Barry*,SF,34,HOU,80, ,2566,6.5,14.0,.461, , , ,6.5,14.0,.461,2.2,2.4,.947,0.6,3.3,3.9,7.0,1.3,0.5,2.8,2.7,15.2
Tim Bassett,PF,27,NJN,82, ,1508,2.8,7.5,.371, , , ,2.8,7.5,.371,2.1,3.1,.679,4.2,5.8,10.0,2.4,1.1,0.7,2.5,5.2,7.7
