Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Henry Akin,PF,22,NYK,50, ,453,6.6,18.3,.361, , , ,6.6,18.3,.361,2.1,2.9,.703, , ,9.5,2.0, , , ,6.5,15.3
Al Attles,PG,30,SFW,69, ,1764,4.3,9.5,.454, , , ,4.3,9.5,.454,1.8,3.1,.583, , ,6.6,5.5, , , ,5.4,10.4
Johnny Austin,SG,22,BAL,4, ,61,3.0,13.0,.227, , , ,3.0,13.0,.227,7.7,9.4,.813, , ,4.1,2.4, , , ,7.1,13.6
Jim Barnes,PF,25,LAL,80, ,1398,5.6,12.8,.437, , , ,5.6,12.8,.437,3.3,4.8,.684, , ,11.6,1.2, , , ,6.8,14.5
Dick Barnett,SG,30,NYK,67, ,1969,8.3,17.4,.478, , , ,8.3,17.4,.478,4.2,5.4,.783, , ,4.1,2.9, , , ,3.4,20.8
Jim Barnett,SG,22,BOS,48, ,383,7.3,19.8,.370, , , ,7.3,19.8,.370,3.9,5.8,.677, , ,5.0,3.9, , , ,5.7,18.6
John Barnhill,PG,28,BAL,53, ,1214,5.5,13.3,.418, , , ,5.5,13.3,.418,2.0,3.1,.641, , ,4.7,4.0, , , ,2.4,13.0
Rick Barry*,SF,22,SFW,78, ,3175,11.5,25.4,.451, , , ,11.5,25.4,.451,8.5,9.7,.884, , ,8.1,3.2, , , ,2.9,31.5
Elgin Baylor*,SF,32,LAL,70, ,2706,9.5,22.1,.429, , , ,9.5,22.1,.429,5.9,7.2,.813, , ,11.9,2.9, , , ,2.8,24.8
Zelmo Beaty*,C,27,STL,48, ,1661,7.1,15.0,.473, , , ,7.1,15.0,.473,4.3,5.6,.758, , ,11.2,1.3, , , ,4.1,18.5
Walt Bellamy*,C,27,NYK,79, ,3010,6.8,13.0,.521, , , ,6.8,13.0,.521,4.4,6.9,.636, , ,12.7,2.5, , , ,3.3,17.9
Dave Bing*,PG,23,DET,80, ,2762,8.7,19.8,.436, , , ,8.7,19.8,.436,3.6,4.8,.738, , ,4.7,4.3, , , ,2.8,20.9
