Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bud Acton,SF,26,SDR,23, ,195,5.4,13.7,.392, , , ,5.4,13.7,.392,3.5,5.4,.655, , ,8.7,2.0, , , ,6.5,14.2
Henry Akin,C,23,SEA,36, ,259,6.4,19.0,.336, , , ,6.4,19.0,.336,2.8,4.3,.645, , ,7.9,1.9, , , ,6.7,15.6
Cliff Anderson,SG,23,LAL,18, ,94,2.7,11.1,.241, , , ,2.7,11.1,.241,4.6,10.7,.429, , ,4.2,6.5, , , ,6.9,10.0
Al Attles,PG,31,SFW,67, ,1992,4.6,9.8,.467, , , ,4.6,9.8,.467,2.7,3.9,.694, , ,5.0,7.0, , , ,5.1,11.8
Jim Barnes,PF,26,TOT,79, ,1425,5.6,12.6,.443, , , ,5.6,12.6,.443,3.4,4.8,.696, , ,10.5,1.4, , , ,6.6,14.5
Jim Barnes,PF,26,LAL,42, ,713,5.1,11.9,.430, , , ,5.1,11.9,.430,3.0,4.4,.670, , ,10.7,1.4, , , ,6.8,13.2
Jim Barnes,PF,26,CHI,37, ,712,6.1,13.3,.455, , , ,6.1,13.3,.455,3.7,5.2,.718, , ,10.3,1.4, , , ,6.5,15.9
Dick Barnett,SG,31,NYK,81, ,2488,8.1,16.8,.482, , , ,8.1,16.8,.482,5.0,6.4,.780, , ,3.4,3.5, , , ,3.2,21.1
Jim Barnett,SG,23,SDR,47, ,1068,6.0,15.4,.393, , , ,6.0,15.4,.393,2.8,4.0,.712, , ,5.2,4.5, , , ,3.4,14.9
John Barnhill,PG,29,SDR,75, ,1883,5.6,13.4,.421, , , ,5.6,13.4,.421,2.9,4.5,.658, , ,3.3,5.0, , , ,2.7,14.2
Elgin Baylor*,SF,33,LAL,77, ,3029,9.0,20.3,.443, , , ,9.0,20.3,.443,5.8,7.4,.786, , ,11.2,4.2, , , ,2.8,23.8
Zelmo Beaty*,C,28,STL,82, ,3068,7.5,15.4,.488, , , ,7.5,15.4,.488,5.3,6.7,.794, , ,11.3,2.0, , , ,3.5,20.3
Walt Bellamy*,C,28,NYK,82, ,2695,6.8,12.6,.541, , , ,6.8,12.6,.541,4.7,7.1,.662, , ,12.8,2.2, , , ,3.5,18.3
Dave Bing*,PG,24,DET,79, ,3209,9.4,21.2,.441, , , ,9.4,21.2,.441,5.3,7.5,.707, , ,4.2,5.7, , , ,2.8,24.0
John Block,C,23,SDR,52, ,1805,7.3,17.3,.423, , , ,7.3,17.3,.423,6.3,7.9,.802, , ,11.4,1.4, , , ,3.8,20.9
Bob Boozer,PF,30,CHI,77, ,2988,7.5,15.2,.492, , , ,7.5,15.2,.492,5.0,6.4,.768, , ,9.1,1.5, , , ,2.8,19.9
Nate Bowman,C,24,NYK,42, ,272,6.9,17.7,.388, , , ,6.9,17.7,.388,1.3,2.0,.667, , ,15.0,2.6, , , ,9.1,15.1
Bill Bradley*,SF,24,NYK,45, ,874,5.8,14.0,.416, , , ,5.8,14.0,.416,3.1,4.3,.731, , ,4.7,5.6, , , ,5.7,14.8
Bill Bridges,PF,28,STL,82, ,3197,5.2,11.4,.462, , , ,5.2,11.4,.462,3.9,5.5,.717, , ,12.4,2.8, , , ,4.1,14.4
Tyrone Britt,SG,23,SDR,11, ,84,5.6,14.6,.382, , , ,5.6,14.6,.382,0.9,1.3,.667, , ,6.4,5.1, , , ,4.3,12.0
Em Bryant,PG,29,NYK,77, ,968,4.2,10.8,.385, , , ,4.2,10.8,.385,2.2,3.2,.686, , ,4.9,5.0, , , ,6.4,10.5
Jim Burns,SG,22,CHI,3, ,11,6.5,22.9,.286, , , ,6.5,22.9,.286,0.0,0.0, , , ,6.5,3.3, , , ,3.3,13.1
Jim Caldwell,C,25,NYK,2, ,7,0.0,5.1,.000, , , ,0.0,5.1,.000,0.0,0.0, , , ,5.1,5.1, , , ,5.1,0.0
Joe Caldwell,SF,26,STL,79, ,2641,7.7,16.6,.463, , , ,7.7,16.6,.463,2.2,4.0,.569, , ,4.6,3.3, , , ,2.8,17.6
George Carter,SF,24,DET,1, ,5,7.2,14.4,.500, , , ,7.2,14.4,.500,7.2,7.2,1.000, , ,0.0,7.2, , , ,0.0,21.6
Wilt Chamberlain*,C,31,PHI,82, ,3836,7.7,12.9,.595, , , ,7.7,12.9,.595,3.3,8.7,.380, , ,18.3,6.6, , , ,1.5,18.7
Len Chappell,C-PF,27,TOT,67, ,1064,8.0,15.5,.513, , , ,8.0,15.5,.513,4.7,6.6,.711, , ,12.2,1.8, , , ,4.0,20.6
Len Chappell,PF,27,CIN,10, ,65,8.3,16.6,.500, , , ,8.3,16.6,.500,4.4,5.5,.800, , ,8.3,2.8, , , ,3.3,21.0
Len Chappell,C,27,DET,57, ,999,7.9,15.4,.514, , , ,7.9,15.4,.514,4.7,6.6,.707, , ,12.5,1.7, , , ,4.1,20.5
Archie Clark,PG,26,LAL,81, ,3039,7.4,15.5,.480, , , ,7.4,15.5,.480,4.2,5.7,.740, , ,4.1,4.2, , , ,2.8,19.1
Barry Clemens,SF,24,CHI,78, ,1631,6.6,14.8,.449, , , ,6.6,14.8,.449,2.7,3.8,.724, , ,8.3,2.2, , , ,4.9,16.0
Larry Costello,PG,36,PHI,28, ,492,4.9,10.8,.453, , , ,4.9,10.8,.453,4.9,5.9,.827, , ,3.7,5.0, , , ,4.5,14.7
Mel Counts,PF,26,LAL,82, ,1739,7.9,16.7,.475, , , ,7.9,16.7,.475,3.9,5.3,.748, , ,15.2,2.9, , , ,6.4,19.8
Freddie Crawford,SG,26,TOT,69, ,1182,6.8,15.4,.442, , , ,6.8,15.4,.442,3.4,5.5,.620, , ,5.9,4.3, , , ,5.2,17.0
Freddie Crawford,SG,26,NYK,31, ,426,5.5,15.0,.367, , , ,5.5,15.0,.367,3.1,5.0,.627, , ,7.0,3.9, , , ,5.7,14.1
Freddie Crawford,SG,26,LAL,38, ,756,7.6,15.7,.482, , , ,7.6,15.7,.482,3.5,5.7,.617, , ,5.3,4.5, , , ,5.0,18.7
Billy Cunningham*,SF,24,PHI,74, ,2076,8.9,20.4,.438, , , ,8.9,20.4,.438,6.4,8.8,.723, , ,9.7,3.2, , , ,4.5,24.3
Jim Davis,C,26,STL,50, ,394,5.6,12.7,.439, , , ,5.6,12.7,.439,2.3,5.8,.391, , ,11.2,1.2, , , ,7.8,13.4
