Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,C,28,HOU,65, ,1450,5.8,13.4,.437, , , ,5.8,13.4,.437,3.9,5.0,.783,3.8,8.3,12.1,2.1,0.9,1.8, ,3.2,15.6
Kareem Abdul-Jabbar*,C,27,MIL,65, ,2747,10.6,20.8,.513, , , ,10.6,20.8,.513,4.3,5.6,.763,2.5,9.4,12.0,3.5,0.9,2.8, ,2.7,25.5
Don Adams,SF,27,DET,51, ,1376,3.3,8.2,.403, , , ,3.3,8.2,.403,1.2,2.0,.577,1.6,4.7,6.4,2.0,1.8,0.5, ,4.7,7.8
Rick Adelman,PG,28,TOT,58, ,1074,4.1,9.8,.423, , , ,4.1,9.8,.423,2.4,3.5,.709,0.8,2.3,3.2,3.8,2.3,0.3, ,3.4,10.7
Rick Adelman,PG,28,CHI,12, ,340,4.6,11.0,.413, , , ,4.6,11.0,.413,3.0,4.1,.718,0.6,2.1,2.8,3.7,1.7,0.1, ,3.3,12.1
Rick Adelman,PG,28,NOJ,28, ,613,3.9,9.3,.421, , , ,3.9,9.3,.421,2.4,3.5,.695,0.8,2.5,3.2,4.1,2.8,0.4, ,3.4,10.3
Rick Adelman,PG,28,KCO,18, ,121,3.9,8.3,.464, , , ,3.9,8.3,.464,1.2,1.5,.800,1.8,2.4,4.2,2.4,2.1,0.3, ,3.6,8.9
Lucius Allen,PG,27,TOT,66, ,2353,7.8,17.9,.437, , , ,7.8,17.9,.437,3.6,4.7,.778,1.4,2.9,4.3,5.7,2.1,0.4, ,3.3,19.3
Lucius Allen,PG,27,MIL,10, ,342,7.2,17.3,.415, , , ,7.2,17.3,.415,3.3,3.9,.838,0.9,2.3,3.3,5.6,1.5,0.1, ,2.4,17.6
Lucius Allen,PG,27,LAL,56, ,2011,7.9,18.0,.440, , , ,7.9,18.0,.440,3.7,4.8,.770,1.5,3.0,4.4,5.7,2.2,0.5, ,3.5,19.6
Dan Anderson,SG,24,POR,43, ,453,3.7,8.3,.448, , , ,3.7,8.3,.448,2.1,2.4,.867,0.6,1.7,2.3,6.4,1.3,0.1, ,3.5,9.5
Tiny Archibald*,PG,26,KCO,82, ,3244,8.4,18.5,.456, , , ,8.4,18.5,.456,7.2,8.3,.872,0.5,1.9,2.5,6.2,1.3,0.1, ,2.1,24.1
Jim Ard,C,26,BOS,59, ,719,4.5,13.3,.335, , , ,4.5,13.3,.335,2.4,3.3,.738,3.0,7.0,10.0,2.0,0.7,1.6, ,4.8,11.3
Dennis Awtrey,C,26,PHO,82, ,2837,4.3,9.2,.470, , , ,4.3,9.2,.470,1.7,2.5,.677,3.1,5.9,8.9,4.3,0.8,0.7, ,2.9,10.3
Gus Bailey,SG,23,HOU,47, ,446,4.1,10.2,.405, , , ,4.1,10.2,.405,1.6,3.3,.488,1.9,4.8,6.6,4.8,1.4,1.3, ,4.2,9.8
Mike Bantom,SF,23,PHO,82, ,2239,6.7,14.6,.461, , , ,6.7,14.6,.461,3.0,4.2,.714,3.4,5.5,8.9,2.6,1.0,0.8, ,4.4,16.4
Jim Barnett,SG,30,TOT,73, ,1776,5.8,13.2,.437, , , ,5.8,13.2,.437,4.0,4.8,.836,1.2,2.4,3.6,3.6,1.0,0.3, ,3.2,15.6
Jim Barnett,SG,30,NOJ,45, ,1238,6.3,14.0,.448, , , ,6.3,14.0,.448,4.5,5.5,.830,1.3,2.4,3.7,4.0,1.0,0.5, ,3.2,17.0
Jim Barnett,SG,30,NYK,28, ,538,4.7,11.5,.407, , , ,4.7,11.5,.407,2.9,3.3,.860,1.0,2.4,3.4,2.6,0.8,0.0, ,3.4,12.2
Rick Barry*,SF,30,GSW,80, ,3235,11.4,24.7,.464, , , ,11.4,24.7,.464,4.4,4.9,.904,1.0,4.1,5.1,5.5,2.5,0.4, ,2.5,27.3
Butch Beard,PG,27,GSW,82, ,2521,5.8,11.0,.528, , , ,5.8,11.0,.528,3.3,4.0,.832,1.7,2.9,4.5,4.9,1.9,0.2, ,4.2,15.0
Zelmo Beaty*,C,35,LAL,69, ,1213,4.0,9.2,.439, , , ,4.0,9.2,.439,3.2,4.0,.800,2.8,6.9,9.7,2.2,1.3,0.9, ,3.9,11.3
Ron Behagen,PF,24,KCO,81, ,2205,5.4,13.6,.399, , , ,5.4,13.6,.399,3.2,4.3,.754,2.4,7.3,9.7,2.5,1.0,0.7, ,4.9,14.1
Dennis Bell,SF,23,NYK,52, ,465,5.3,14.0,.376, , , ,5.3,14.0,.376,1.5,2.8,.556,3.7,4.4,8.1,1.9,1.7,0.7, ,4.2,12.1
Walt Bellamy*,C,35,NOJ,1, ,14,5.1,5.1,1.000, , , ,5.1,5.1,1.000,5.1,5.1,1.000,0.0,12.9,12.9,0.0,0.0,0.0, ,5.1,15.4
Leon Benbow,SG,24,CHI,39, ,252,5.0,13.4,.372, , , ,5.0,13.4,.372,2.1,2.6,.833,2.0,3.4,5.4,3.6,1.6,0.9, ,5.9,12.1
Henry Bibby,PG,25,TOT,75, ,1400,6.9,15.9,.436, , , ,6.9,15.9,.436,3.5,4.9,.725,1.2,2.3,3.5,4.7,1.4,0.1, ,4.0,17.4
Henry Bibby,PG,25,NYK,47, ,876,7.4,16.4,.448, , , ,7.4,16.4,.448,2.8,3.9,.719,1.2,2.4,3.6,4.3,1.2,0.1, ,3.9,17.5
Henry Bibby,PG,25,NOJ,28, ,524,6.3,15.0,.416, , , ,6.3,15.0,.416,4.7,6.4,.731,1.2,2.2,3.4,5.2,1.7,0.0, ,4.2,17.2
Dave Bing*,PG,31,DET,79, ,3222,6.5,14.9,.434, , , ,6.5,14.9,.434,3.8,4.7,.809,1.0,2.2,3.2,6.8,1.3,0.3, ,2.5,16.7
John Block,PF,30,TOT,54, ,939,6.1,13.3,.460, , , ,6.1,13.3,.460,4.4,5.5,.792,2.6,6.2,8.9,2.0,1.6,1.2, ,4.6,16.6
John Block,PF,30,NOJ,4, ,57,5.7,18.3,.310, , , ,5.7,18.3,.310,5.7,6.3,.900,3.8,7.6,11.4,4.4,2.5,0.6, ,6.9,17.1
