Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Stacey Arceneaux,F,25,STL,7, ,110,7.2,18.3,.393, , , ,7.2,18.3,.393,2.0,4.3,.462, , ,10.5,1.3, , , ,3.3,16.4
Paul Arizin*,SF,33,PHW,78, ,2785,7.9,19.3,.410, , , ,7.9,19.3,.410,6.3,7.8,.805, , ,6.8,2.6, , , ,4.0,22.1
Al Attles,PG,25,PHW,75, ,2468,5.0,10.6,.474, , , ,5.0,10.6,.474,2.3,3.9,.592, , ,5.2,4.9, , , ,4.1,12.3
Elgin Baylor*,SF,27,LAL,48, ,2129,11.5,26.9,.428, , , ,11.5,26.9,.428,8.0,10.7,.754, , ,15.1,3.8, , , ,2.6,31.0
Walt Bellamy*,C,22,CHP,79, ,3344,10.5,20.2,.519, , , ,10.5,20.2,.519,5.9,9.2,.644, , ,16.1,2.3, , , ,3.0,26.9
Al Bianchi,PG,29,SYR,80, ,1925,6.3,15.8,.397, , , ,6.3,15.8,.397,2.9,4.1,.697, , ,5.3,4.9, , , ,4.3,15.4
George Blaney,PG,22,NYK,36, ,363,5.4,14.1,.380, , , ,5.4,14.1,.380,0.9,1.7,.529, , ,3.6,4.5, , , ,3.4,11.6
Bucky Bockhorn,SG,28,CIN,80, ,3062,6.2,14.5,.430, , , ,6.2,14.5,.430,2.3,3.0,.789, , ,4.4,4.3, , , ,3.3,14.8
George Bon Salle,PF,26,CHP,3, ,9,8.0,32.0,.250, , , ,8.0,32.0,.250,0.0,0.0, , , ,8.0,0.0, , , ,0.0,16.0
Bob Boozer,PF,24,CIN,79, ,2488,5.9,13.5,.438, , , ,5.9,13.5,.438,3.8,5.4,.707, , ,11.6,1.9, , , ,4.0,15.7
Carl Braun,PG,34,BOS,48, ,414,6.8,18.0,.377, , , ,6.8,18.0,.377,1.7,2.3,.741, , ,4.3,6.2, , , ,4.3,15.3
Joe Buckhalter,PF,24,CIN,63, ,728,7.6,16.5,.458, , , ,7.6,16.5,.458,3.3,5.3,.620, , ,13.0,2.1, , , ,6.1,18.4
Cleveland Buckner,PF,23,NYK,62, ,696,8.2,19.0,.431, , , ,8.2,19.0,.431,4.3,6.9,.624, , ,12.2,2.0, , , ,5.9,20.6
Dave Budd,SF,23,NYK,79, ,1370,4.9,11.3,.436, , , ,4.9,11.3,.436,3.6,6.1,.597, , ,9.1,2.3, , , ,4.3,13.5
Ed Burton,F,22,NYK,8, ,28,9.0,18.0,.500, , , ,9.0,18.0,.500,1.3,5.1,.250, , ,6.4,1.3, , , ,3.9,19.3
Donnie Butcher,PG,25,NYK,47, ,479,3.6,11.6,.310, , , ,3.6,11.6,.310,3.2,5.2,.609, , ,5.9,3.8, , , ,4.7,10.4
Al Butler,PG,23,TOT,59, ,2016,6.2,13.5,.463, , , ,6.2,13.5,.463,2.3,3.2,.709, , ,6.0,3.7, , , ,2.8,14.8
Al Butler,PG,23,BOS,5, ,47,10.0,22.2,.448, , , ,10.0,22.2,.448,3.8,4.6,.833, , ,10.0,3.1, , , ,6.9,23.7
Al Butler,PG,23,NYK,54, ,1969,6.1,13.3,.463, , , ,6.1,13.3,.463,2.3,3.2,.705, , ,5.9,3.7, , , ,2.7,14.6
