Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Curly Armstrong,G-F,31,FTW,63, , , , ,.279, , , , , ,.279, , ,.705, , , , , , , , , 
Cliff Barker,SG,29,INO,49, , , , ,.372, , , , , ,.372, , ,.708, , , , , , , , , 
Leo Barnhorst,SF,25,CHS,67, , , , ,.349, , , , , ,.349, , ,.698, , , , , , , , , 
Ed Bartels,F,24,TOT,15, , , , ,.256, , , , , ,.256, , ,.559, , , , , , , , , 
Ed Bartels,F,24,DNN,13, , , , ,.256, , , , , ,.256, , ,.548, , , , , , , , , 
Ed Bartels,F,24,NYK,2, , , , ,.250, , , , , ,.250, , ,.667, , , , , , , , , 
Ralph Beard,G,22,INO,60, , , , ,.363, , , , , ,.363, , ,.762, , , , , , , , , 
Gene Berce,G-F,23,TRI,3, , , , ,.313, , , , , ,.313, , ,.000, , , , , , , , , 
Charlie Black,F-C,28,TOT,65, , , , ,.278, , , , , ,.278, , ,.651, , , , , , , , , 
Charlie Black,F-C,28,FTW,36, , , , ,.287, , , , , ,.287, , ,.632, , , , , , , , , 
Charlie Black,F-C,28,AND,29, , , , ,.267, , , , , ,.267, , ,.688, , , , , , , , , 
Nelson Bobb,PG,25,PHW,57, , , , ,.323, , , , , ,.323, , ,.626, , , , , , , , , 
Jake Bornheimer,F-C,22,PHW,60, , , , ,.289, , , , , ,.289, , ,.667, , , , , , , , , 
Vince Boryla,SF,22,NYK,59, , , , ,.340, , , , , ,.340, , ,.764, , , , , , , , , 
Don Boven,F-G,24,WAT,62, , , , ,.373, , , , , ,.373, , ,.688, , , , , , , , , 
Harry Boykoff,C,27,WAT,61, , , , ,.413, , , , , ,.413, , ,.775, , , , , , , , , 
Joe Bradley,G,21,CHS,46, , , , ,.269, , , , , ,.269, , ,.395, , , , , , , , , 
Bob Brannum,PF,24,SHE,59, , , , ,.326, , , , , ,.326, , ,.690, , , , , , , , , 
Carl Braun,G-F,22,NYK,67, , , , ,.364, , , , , ,.364, , ,.762, , , , , , , , , 
Frankie Brian,G,26,AND,64, , , , ,.318, , , , , ,.318, , ,.824, , , , , , , , , 
Price Brookfield,F-G,29,ROC,7, , , , ,.478, , , , , ,.478, , ,.923, , , , , , , , , 
Bob Brown,F,26,DNN,62, , , , ,.361, , , , , ,.361, , ,.683, , , , , , , , , 
Jim Browne,C,20,DNN,31, , , , ,.354, , , , , ,.354, , ,.481, , , , , , , , , 
Walt Budko,PF,24,BLB,66, , , , ,.304, , , , , ,.304, , ,.757, , , , , , , , , 
Jack Burmaster,G,23,SHE,61, , , , ,.333, , , , , ,.333, , ,.681, , , , , , , , , 
Tommy Byrnes,F-G,26,BLB,53, , , , ,.302, , , , , ,.302, , ,.702, , , , , , , , , 
Bill Calhoun,SG,22,ROC,62, , , , ,.377, , , , , ,.377, , ,.719, , , , , , , , , 
Don Carlson,G-F,30,MNL,57, , , , ,.341, , , , , ,.341, , ,.726, , , , , , , , , 
Bob Carpenter,F-C,32,FTW,66, , , , ,.344, , , , , ,.344, , ,.742, , , , , , , , , 
Jake Carter,F-C,25,TOT,24, , , , ,.307, , , , , ,.307, , ,.679, , , , , , , , , 
Jake Carter,F-C,25,DNN,13, , , , ,.289, , , , , ,.289, , ,.692, , , , , , , , , 
Jake Carter,F-C,25,AND,11, , , , ,.333, , , , , ,.333, , ,.667, , , , , , , , , 
Al Cervi*,PG,32,SYR,56, , , , ,.332, , , , , ,.332, , ,.829, , , , , , , , , 
John Chaney,F-C,29,TOT,16, , , , ,.291, , , , , ,.291, , ,.690, , , , , , , , , 
John Chaney,F-C,29,TRI,6, , , , ,.270, , , , , ,.270, , ,.667, , , , , , , , , 
John Chaney,F-C,29,SHE,10, , , , ,.306, , , , , ,.306, , ,.706, , , , , , , , , 
Leroy Chollet,F,24,SYR,49, , , , ,.341, , , , , ,.341, , ,.625, , , , , , , , , 
Bill Closs,SF,28,AND,64, , , , ,.315, , , , , ,.315, , ,.718, , , , , , , , , 
Paul Cloyd,G-F,29,TOT,7, , , , ,.269, , , , , ,.269, , ,.625, , , , , , , , , 
Paul Cloyd,G-F,29,BLB,3, , , , ,.125, , , , , ,.125, , ,1.000, , , , , , , , , 
Paul Cloyd,G-F,29,WAT,4, , , , ,.333, , , , , ,.333, , ,.400, , , , , , , , , 
Jack Coleman,PF,25,ROC,68, , , , ,.377, , , , , ,.377, , ,.744, , , , , , , , , 
Bobby Cook,G-F,26,SHE,51, , , , ,.358, , , , , ,.358, , ,.790, , , , , , , , , 
Ray Corley,G,22,SYR,60, , , , ,.316, , , , , ,.316, , ,.615, , , , , , , , , 
Jack Cotton,F-C,25,DNN,54, , , , ,.292, , , , , ,.292, , ,.509, , , , , , , , , 
Dillard Crocker,PF,25,DNN,53, , , , ,.292, , , , , ,.292, , ,.735, , , , , , , , , 
Chink Crossin,G,26,PHW,64, , , , ,.322, , , , , ,.322, , ,.782, , , , , , , , , 
Fran Curran,G,27,ROC,66, , , , ,.417, , , , , ,.417, , ,.826, , , , , , , , , 
Jimmy Darden,G,27,DNN,26, , , , ,.321, , , , , ,.321, , ,.688, , , , , , , , , 
Bob Davies*,PG,30,ROC,64, , , , ,.357, , , , , ,.357, , ,.752, , , , , , , , , 
Hook Dillon,F,26,WSC,22, , , , ,.182, , , , , ,.182, , ,.727, , , , , , , , , 
Earl Dodd,F,25,DNN,9, , , , ,.222, , , , , ,.222, , ,.600, , , , , , , , , 
Joe Dolhon,G,22,BLB,64, , , , ,.312, , , , , ,.312, , ,.734, , , , , , , , , 
Bob Doll,F-C,30,BOS,47, , , , ,.346, , , , , ,.346, , ,.658, , , , , , , , , 
Harry Donovan,G,23,NYK,45, , , , ,.327, , , , , ,.327, , ,.689, , , , , , , , , 
Andy Duncan,F-C,27,ROC,67, , , , ,.433, , , , , ,.433, , ,.556, , , , , , , , , 
Dike Eddleman,SF,27,TRI,64, , , , ,.366, , , , , ,.366, , ,.623, , , , , , , , , 
Gene Englund,F-C,32,TOT,46, , , , ,.380, , , , , ,.380, , ,.792, , , , , , , , , 
Gene Englund,F-C,32,BOS,24, , , , ,.372, , , , , ,.372, , ,.811, , , , , , , , , 
Gene Englund,F-C,32,TRI,22, , , , ,.389, , , , , ,.389, , ,.767, , , , , , , , , 
Bob Evans,G,24,INO,47, , , , ,.280, , , , , ,.280, , ,.682, , , , , , , , , 
Johnny Ezersky,F-G,27,TOT,54, , , , ,.294, , , , , ,.294, , ,.694, , , , , , , , , 
Johnny Ezersky,F-G,27,BLB,38, , , , ,.305, , , , , ,.305, , ,.697, , , , , , , , , 
