Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,C,25,SEA,58, ,1780,6.5,15.2,.429, , , ,6.5,15.2,.429,3.1,4.3,.720, , ,13.2,2.5, , , ,3.6,16.1
Kareem Abdul-Jabbar*,C,24,MIL,81, ,3583,11.6,20.3,.574, , , ,11.6,20.3,.574,5.1,7.4,.689, , ,13.5,3.7, , , ,2.4,28.4
Don Adams,SF,24,TOT,73, ,2071,5.4,13.9,.392, , , ,5.4,13.9,.392,3.6,4.8,.745, , ,8.7,2.4, , , ,4.6,14.4
Don Adams,SF,24,HOU,3, ,41,5.3,16.7,.316, , , ,5.3,16.7,.316,0.9,1.8,.500, , ,7.0,2.6, , , ,6.1,11.4
Don Adams,SF,24,ATL,70, ,2030,5.4,13.8,.394, , , ,5.4,13.8,.394,3.6,4.8,.747, , ,8.8,2.4, , , ,4.6,14.5
Rick Adelman,PG,25,POR,80, ,2445,4.8,11.1,.437, , , ,4.8,11.1,.437,2.2,3.0,.751, , ,3.4,6.1, , , ,3.1,11.9
Lucius Allen,PG,24,MIL,80, ,2316,6.9,13.6,.505, , , ,6.9,13.6,.505,3.1,4.0,.764, , ,3.9,5.2, , , ,3.3,16.8
Odis Allison,SF,22,GSW,36, ,166,3.7,16.9,.218, , , ,3.7,16.9,.218,7.2,13.2,.541, , ,9.8,2.2, , , ,7.4,14.5
Tiny Archibald*,PG,23,CIN,76, ,3272,8.1,16.6,.486, , , ,8.1,16.6,.486,7.4,9.1,.822, , ,2.4,7.7, , , ,2.2,23.6
Dennis Awtrey,C,23,PHI,58, ,794,4.4,10.1,.441, , , ,4.4,10.1,.441,2.2,3.4,.645, , ,11.2,2.3, , , ,6.4,11.1
Dick Barnett,SG,35,NYK,79, ,2256,6.4,14.6,.437, , , ,6.4,14.6,.437,2.6,3.4,.753, , ,2.4,3.2, , , ,3.7,15.4
Jim Barnett,PG,27,GSW,80, ,2200,6.1,15.0,.409, , , ,6.1,15.0,.409,4.0,4.8,.836, , ,4.1,5.1, , , ,3.1,16.2
Vic Bartolome,C,23,GSW,38, ,165,3.3,12.9,.254, , , ,3.3,12.9,.254,0.9,1.1,.800, , ,13.1,0.7, , , ,4.8,7.4
Elgin Baylor*,SF,37,LAL,9, ,239,6.3,14.6,.433, , , ,6.3,14.6,.433,3.3,4.1,.815, , ,8.6,2.7, , , ,3.0,16.0
Butch Beard,PG,24,CLE,68, ,2434,5.8,12.6,.464, , , ,5.8,12.6,.464,3.8,5.1,.760, , ,4.1,6.7, , , ,3.2,15.5
Walt Bellamy*,C,32,ATL,82, ,3187,6.7,12.3,.545, , , ,6.7,12.3,.545,3.8,6.6,.585, , ,11.8,3.0, , , ,2.9,17.2
Dave Bing*,PG,28,DET,45, ,1936,6.9,16.6,.414, , , ,6.9,16.6,.414,5.2,6.6,.785, , ,3.5,5.9, , , ,2.6,18.9
John Block,PF,27,MIL,79, ,1524,5.5,12.5,.440, , , ,5.5,12.5,.440,4.9,6.5,.749, , ,9.7,2.2, , , ,5.0,15.9
Tom Boerwinkle,C,26,CHI,80, ,2022,3.9,8.9,.438, , , ,3.9,8.9,.438,2.1,3.2,.656, , ,16.0,5.0, , , ,4.5,9.9
Bill Bradley*,SF,28,NYK,78, ,2780,6.5,14.1,.465, , , ,6.5,14.1,.465,2.2,2.6,.849, , ,3.2,4.1, , , ,3.3,15.2
Bill Bridges,PF,32,TOT,78, ,2756,5.0,10.2,.487, , , ,5.0,10.2,.487,2.9,4.1,.703, , ,13.7,2.6, , , ,3.5,12.8
Bill Bridges,PF,32,ATL,14, ,546,3.4,8.8,.381, , , ,3.4,8.8,.381,2.0,2.9,.705, , ,12.5,2.6, , , ,3.3,8.8
Bill Bridges,PF,32,PHI,64, ,2210,5.3,10.5,.509, , , ,5.3,10.5,.509,3.1,4.4,.702, , ,14.0,2.6, , , ,3.6,13.8
Fred Brown,SG,23,SEA,33, ,359,5.9,18.1,.328, , , ,5.9,18.1,.328,2.2,2.9,.759, , ,3.7,6.0, , , ,4.4,14.0
Em Bryant,PG,33,BUF,54, ,1223,3.0,6.5,.459, , , ,3.0,6.5,.459,2.2,3.7,.600, , ,3.7,6.1, , , ,4.9,8.2
Austin Carr,SG,23,CLE,43, ,1539,8.9,20.9,.426, , , ,8.9,20.9,.426,3.5,4.6,.760, , ,3.5,3.5, , , ,2.3,21.3
Fred Carter,SG,26,TOT,79, ,2215,7.2,16.5,.438, , , ,7.2,16.5,.438,3.0,4.8,.621, , ,5.3,3.4, , , ,3.9,17.5
Fred Carter,SG,26,BAL,2, ,68,3.2,14.3,.222, , , ,3.2,14.3,.222,1.6,4.8,.333, , ,10.1,6.4, , , ,3.7,7.9
Fred Carter,SG,26,PHI,77, ,2147,7.4,16.6,.444, , , ,7.4,16.6,.444,3.0,4.8,.630, , ,5.1,3.3, , , ,3.9,17.8
Sid Catlett,SF,23,CIN,9, ,40,1.8,8.1,.222, , , ,1.8,8.1,.222,1.8,8.1,.222, , ,3.6,0.9, , , ,2.7,5.4
Wilt Chamberlain*,C,35,LAL,82, ,3469,5.1,7.9,.649, , , ,5.1,7.9,.649,2.3,5.4,.422, , ,16.3,3.4, , , ,2.0,12.6
Jerry Chambers,SF,28,BUF,26, ,369,7.6,17.6,.433, , , ,7.6,17.6,.433,2.1,3.1,.688, , ,6.5,2.2, , , ,3.8,17.4
Don Chaney,SG,25,BOS,79, ,2275,5.9,12.4,.475, , , ,5.9,12.4,.475,3.1,4.0,.773, , ,6.3,3.2, , , ,4.7,14.9
Phil Chenier,SG,21,BAL,81, ,2481,5.9,14.2,.415, , , ,5.9,14.2,.415,2.6,3.6,.737, , ,3.9,3.0, , , ,2.8,14.5
Bob Christian,C,25,ATL,56, ,485,4.9,10.5,.465, , , ,4.9,10.5,.465,3.3,4.5,.721, , ,13.4,2.1, , , ,5.7,13.1
Archie Clark,PG,30,TOT,77, ,3285,7.8,16.6,.470, , , ,7.8,16.6,.470,5.6,7.3,.771, , ,2.9,6.7, , , ,2.1,21.2
Archie Clark,PG,30,PHI,1, ,42,9.4,13.7,.688, , , ,9.4,13.7,.688,6.0,9.4,.636, , ,2.6,6.0, , , ,2.6,24.9
Archie Clark,PG,30,BAL,76, ,3243,7.8,16.7,.467, , , ,7.8,16.7,.467,5.6,7.3,.773, , ,2.9,6.7, , , ,2.1,21.2
Jim Cleamons,PG,22,LAL,38, ,201,6.3,17.9,.350, , , ,6.3,17.9,.350,5.0,6.4,.778, , ,7.0,6.3, , , ,3.8,17.6
Barry Clemens,SF,28,SEA,82, ,1447,6.3,12.0,.521, , , ,6.3,12.0,.521,1.9,2.2,.844, , ,7.2,1.6, , , ,4.9,14.4
Jimmy Collins,SG,25,CHI,19, ,134,7.0,19.1,.366, , , ,7.0,19.1,.366,2.7,3.0,.909, , ,3.2,2.7, , , ,3.0,16.7
Mel Counts,C,30,PHO,76, ,906,5.8,13.7,.427, , , ,5.8,13.7,.427,4.0,5.6,.721, , ,10.2,3.8, , , ,6.3,15.7
Dave Cowens*,C,23,BOS,79, ,3186,7.4,15.3,.484, , , ,7.4,15.3,.484,2.0,2.7,.720, , ,13.6,2.8, , , ,3.5,16.8
Pete Cross,C,23,SEA,74, ,1424,3.8,9.0,.428, , , ,3.8,9.0,.428,2.6,3.5,.736, , ,12.9,1.6, , , ,3.4,10.3
Billy Cunningham*,SF,28,PHI,75, ,2900,8.2,17.7,.461, , , ,8.2,17.7,.461,5.3,7.5,.712, , ,11.4,5.5, , , ,3.7,21.6
