Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,40,LAL,80,80,2308,7.5,14.1,.532,0.0,0.0,.000,7.5,14.1,.532,3.2,4.2,.762,1.8,5.6,7.5,2.1,0.7,1.4,2.5,3.4,18.2
Mark Acres,C,25,BOS,79,5,1151,3.4,6.3,.532,0.0,0.0, ,3.4,6.3,.532,2.2,3.5,.640,3.3,5.2,8.4,1.3,0.9,0.8,1.7,6.2,9.0
Alvan Adams,C,33,PHO,82,25,1646,5.5,11.1,.496,0.0,0.0,.500,5.5,11.0,.496,2.4,2.8,.844,2.6,5.4,8.0,4.0,1.8,0.9,3.1,5.4,13.4
Michael Adams,PG,25,DEN,82,75,2778,5.4,12.0,.449,1.8,4.9,.367,3.6,7.1,.505,2.2,2.6,.834,0.5,2.4,2.9,6.5,2.2,0.2,1.9,1.8,14.7
Mark Aguirre,SF,28,DAL,77,77,2610,10.3,21.7,.475,0.7,2.4,.302,9.6,19.3,.496,5.4,7.0,.770,2.5,3.5,6.0,3.8,1.0,0.8,2.8,3.1,26.6
Danny Ainge,SG,28,BOS,81,81,3018,5.7,11.7,.491,1.8,4.3,.415,4.0,7.5,.534,1.9,2.1,.878,0.7,2.3,3.0,6.0,1.4,0.2,1.8,2.4,15.1
Mark Alarie,PF,24,WSB,63,0,769,6.7,14.0,.480,0.2,0.8,.222,6.6,13.2,.496,1.6,2.3,.714,3.3,4.2,7.5,1.8,0.5,0.6,2.3,5.0,15.3
Steve Alford,PG,23,DAL,28,0,197,3.8,10.1,.382,0.2,1.5,.125,3.7,8.6,.426,2.9,3.1,.941,0.5,3.7,4.2,4.2,3.1,0.5,2.2,4.2,10.8
Greg Anderson,PF,23,SAS,82,45,1984,6.9,13.7,.501,0.0,0.1,.200,6.9,13.6,.503,3.6,6.0,.604,2.9,6.4,9.3,1.4,1.0,2.2,2.6,4.1,17.4
Richard Anderson,PF,27,TOT,74,3,1350,4.6,11.7,.390,1.3,4.0,.320,3.3,7.7,.426,1.5,2.1,.753,2.4,5.7,8.1,3.0,1.4,0.4,1.6,3.7,11.9
Richard Anderson,PF,27,HOU,12,0,53,7.5,17.7,.423,4.1,10.2,.400,3.4,7.5,.455,2.7,3.4,.800,6.1,5.4,11.5,2.7,0.7,0.0,0.7,2.7,21.7
Richard Anderson,PF,27,POR,62,3,1297,4.4,11.5,.387,1.2,3.7,.311,3.3,7.7,.424,1.5,2.0,.750,2.3,5.7,7.9,3.0,1.4,0.4,1.7,3.7,11.5
Ron Anderson,SF,29,IND,74,1,1097,7.1,14.3,.498,0.0,0.1,.000,7.1,14.2,.500,3.5,4.6,.766,2.9,4.2,7.1,2.6,1.3,0.2,2.4,3.2,17.8
Joe Arlauckas,SF,22,SAC,9,0,85,5.9,18.2,.326,0.0,0.0, ,5.9,18.2,.326,2.5,3.4,.750,2.5,3.0,5.5,3.4,1.3,1.7,1.7,6.8,14.4
Vincent Askew,SG,21,PHI,14,2,234,3.4,11.4,.297,0.0,0.0, ,3.4,11.4,.297,1.2,1.7,.727,0.9,2.5,3.4,5.1,1.5,0.9,1.8,1.8,8.0
John Bagley,PG,27,NJN,82,74,2774,5.1,11.6,.439,0.6,2.1,.292,4.5,9.5,.471,1.9,2.3,.822,0.8,2.5,3.3,6.2,1.4,0.1,2.6,2.1,12.7
James Bailey,PF,30,PHO,65,0,869,4.5,10.0,.452,0.0,0.2,.000,4.5,9.8,.460,2.9,3.7,.787,3.0,5.7,8.7,1.7,0.7,1.2,2.9,7.5,11.9
Thurl Bailey,SF,26,UTA,82,10,2804,8.1,16.5,.492,0.0,0.0,.333,8.1,16.5,.493,4.3,5.2,.826,1.7,5.1,6.8,2.0,0.6,1.6,2.4,2.4,20.6
Charles Barkley*,PF,24,PHI,80,80,3170,8.6,14.6,.587,0.5,1.8,.280,8.1,12.8,.630,8.1,10.8,.751,4.4,6.4,10.8,2.9,1.1,1.2,3.5,3.2,25.7
