Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Arizin*,SF,22,PHW,65, , , , ,.407, , , , , ,.407, , ,.793, , , , , , , , , 
Curly Armstrong,G-F,32,FTW,38, , , , ,.310, , , , , ,.310, , ,.644, , , , , , , , , 
Cliff Barker,SG,30,INO,56, , , , ,.252, , , , , ,.252, , ,.649, , , , , , , , , 
Leo Barnhorst,SF,26,INO,68, , , , ,.346, , , , , ,.346, , ,.689, , , , , , , , , 
Ed Bartels,F,25,WSC,17, , , , ,.247, , , , , ,.247, , ,.522, , , , , , , , , 
Ed Beach,F,22,TOT,12, , , , ,.211, , , , , ,.211, , ,.667, , , , , , , , , 
Ed Beach,F,22,MNL,11, , , , ,.229, , , , , ,.229, , ,.667, , , , , , , , , 
Ed Beach,F,22,TRI,1, , , , ,.000, , , , , ,.000, , , , , , , , , , , , 
Ralph Beard,G,23,INO,66, , , , ,.368, , , , , ,.368, , ,.775, , , , , , , , , 
Leon Blevins,G,24,INO,2, , , , ,.250, , , , , ,.250, , ,.000, , , , , , , , , 
Nelson Bobb,PG,26,PHW,53, , , , ,.329, , , , , ,.329, , ,.557, , , , , , , , , 
Ike Borsavage,C-F,26,PHW,24, , , , ,.351, , , , , ,.351, , ,.667, , , , , , , , , 
Vince Boryla,SF,23,NYK,66, , , , ,.406, , , , , ,.406, , ,.837, , , , , , , , , 
Harry Boykoff,C,28,TOT,48, , , , ,.375, , , , , ,.375, , ,.740, , , , , , , , , 
Harry Boykoff,C,28,BOS,32, , , , ,.384, , , , , ,.384, , ,.714, , , , , , , , , 
Harry Boykoff,C,28,TRI,16, , , , ,.361, , , , , ,.361, , ,.784, , , , , , , , , 
Frankie Brian,G,27,TRI,68, , , , ,.322, , , , , ,.322, , ,.823, , , , , , , , , 
Walt Budko,PF,25,BLB,64, , , , ,.356, , , , , ,.356, , ,.744, , , , , , , , , 
Art Burris,SF,26,FTW,33, , , , ,.248, , , , , ,.248, , ,.583, , , , , , , , , 
Tommy Byrnes,F-G,27,TOT,47, , , , ,.303, , , , , ,.303, , ,.655, , , , , , , , , 
Tommy Byrnes,F-G,27,BLB,16, , , , ,.350, , , , , ,.350, , ,.714, , , , , , , , , 
Tommy Byrnes,F-G,27,WSC,12, , , , ,.200, , , , , ,.200, , ,.519, , , , , , , , , 
Tommy Byrnes,F-G,27,TRI,19, , , , ,.324, , , , , ,.324, , ,.724, , , , , , , , , 
Gerry Calabrese,SG,25,SYR,46, , , , ,.355, , , , , ,.355, , ,.693, , , , , , , , , 
Bill Calhoun,SG,23,ROC,66, , , , ,.346, , , , , ,.346, , ,.706, , , , , , , , , 
Don Carlson,G-F,31,BLB,9, , , , ,.370, , , , , ,.370, , ,.500, , , , , , , , , 
Bob Carpenter,F-C,33,TOT,56, , , , ,.325, , , , , ,.325, , ,.820, , , , , , , , , 
Bob Carpenter,F-C,33,FTW,21, , , , ,.218, , , , , ,.218, , ,.810, , , , , , , , , 
Bob Carpenter,F-C,33,TRI,35, , , , ,.389, , , , , ,.389, , ,.829, , , , , , , , , 
Al Cervi*,PG,33,SYR,53, , , , ,.382, , , , , ,.382, , ,.819, , , , , , , , , 
Leroy Chollet,F,25,SYR,14, , , , ,.118, , , , , ,.118, , ,.632, , , , , , , , , 
Cal Christensen,SF,23,TRI,67, , , , ,.301, , , , , ,.301, , ,.714, , , , , , , , , 
Nat Clifton*,PF,28,NYK,65, , , , ,.322, , , , , ,.322, , ,.532, , , , , , , , , 
Bill Closs,SF,29,PHW,65, , , , ,.320, , , , , ,.320, , ,.744, , , , , , , , , 
Jack Coleman,PF,26,ROC,67, , , , ,.421, , , , , ,.421, , ,.779, , , , , , , , , 
Chuck Cooper,F,24,BOS,66, , , , ,.344, , , , , ,.344, , ,.753, , , , , , , , , 
Ray Corley,G,23,TOT,34, , , , ,.303, , , , , ,.303, , ,.545, , , , , , , , , 
Ray Corley,G,23,BLB,16, , , , ,.254, , , , , ,.254, , ,.538, , , , , , , , , 
Ray Corley,G,23,TRI,18, , , , ,.341, , , , , ,.341, , ,.552, , , , , , , , , 
Bob Cousy*,PG,22,BOS,69, , , , ,.352, , , , , ,.352, , ,.756, , , , , , , , , 
Bob Davies*,PG,31,ROC,63, , , , ,.372, , , , , ,.372, , ,.795, , , , , , , , , 
Hank DeZonie,C-F,28,TRI,5, , , , ,.240, , , , , ,.240, , ,.714, , , , , , , , , 
Joe Dolhon,G,23,BLB,13, , , , ,.304, , , , , ,.304, , ,.739, , , , , , , , , 
