Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,C,27,HOU,79, ,2459,4.9,10.7,.459, , , ,4.9,10.7,.459,2.8,3.5,.804,3.8,9.7,13.5,2.4,1.2,1.5, ,3.3,12.7
Kareem Abdul-Jabbar*,C,26,MIL,81, ,3548,9.6,17.8,.539, , , ,9.6,17.8,.539,3.0,4.3,.702,2.9,9.0,12.0,3.9,1.1,2.9, ,2.4,22.2
Don Adams,SF,26,DET,74, ,2298,4.7,11.6,.408, , , ,4.7,11.6,.408,2.4,3.1,.761,2.1,4.9,7.0,2.2,1.7,0.2, ,3.8,11.9
Rick Adelman,PG,27,CHI,55, ,618,3.7,9.9,.376, , , ,3.7,9.9,.376,3.1,4.4,.711,0.9,3.1,4.0,3.3,2.1,0.1, ,3.7,10.6
Lucius Allen,PG,26,MIL,72, ,2388,7.9,16.0,.495, , , ,7.9,16.0,.495,3.3,4.1,.788,1.3,3.0,4.4,5.6,2.1,0.3, ,3.2,19.1
Tiny Archibald*,PG,25,KCO,35, ,1272,6.3,13.9,.451, , , ,6.3,13.9,.451,4.9,6.0,.820,0.6,1.8,2.4,7.5,1.6,0.2, ,2.2,17.5
Dennis Awtrey,C,25,CHI,68, ,756,3.1,5.9,.528, , , ,3.1,5.9,.528,2.6,4.5,.574,2.3,6.0,8.3,4.1,1.0,0.7, ,6.1,8.8
Mike Bantom,PF,22,PHO,76, ,1982,5.7,14.3,.399, , , ,5.7,14.3,.399,2.6,3.9,.662,3.1,6.3,9.4,3.0,0.9,0.9, ,5.2,14.0
Dick Barnett,SG,37,NYK,5, ,58,6.2,16.1,.385, , , ,6.2,16.1,.385,1.2,1.9,.667,0.6,1.9,2.5,3.7,0.6,0.0, ,1.2,13.7
Jim Barnett,SG,29,GSW,77, ,1689,7.5,16.1,.464, , , ,7.5,16.1,.464,3.9,4.8,.814,1.6,3.1,4.7,4.5,1.2,0.2, ,3.1,18.8
Rick Barry*,SF,29,GSW,80, ,2918,9.8,21.5,.456, , , ,9.8,21.5,.456,5.1,5.7,.899,1.3,5.4,6.7,6.0,2.1,0.5, ,3.3,24.8
Butch Beard,PG,26,GSW,79, ,2134,5.3,10.4,.512, , , ,5.3,10.4,.512,2.9,3.9,.739,2.3,4.3,6.6,5.1,1.8,0.2, ,4.1,13.6
Ron Behagen,PF,23,KCO,80, ,2059,6.2,14.5,.432, , , ,6.2,14.5,.432,2.8,3.7,.764,3.3,6.6,9.9,2.3,1.0,0.6, ,5.1,15.3
Dennis Bell,SF,22,NYK,1, ,4,0.0,9.0,.000, , , ,0.0,9.0,.000,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0
Walt Bellamy*,C,34,ATL,77, ,2440,5.7,11.8,.486, , , ,5.7,11.8,.486,3.4,5.7,.608,3.9,7.0,10.9,2.8,0.8,0.7, ,3.4,14.9
Henry Bibby,PG,24,NYK,66, ,986,7.7,17.0,.452, , , ,7.7,17.0,.452,2.7,3.2,.830,1.8,3.1,4.9,3.3,2.4,0.1, ,4.5,18.0
