Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,PF,23,MIL,80, ,1637,5.2,12.0,.434, , , ,5.2,12.0,.434,2.6,4.1,.643, , ,13.3,1.4, , , ,3.7,13.0
Kareem Abdul-Jabbar*,C,22,MIL,82, ,3534,9.6,18.4,.518, , , ,9.6,18.4,.518,4.9,7.6,.653, , ,12.1,3.4, , , ,2.9,24.1
Rick Adelman,PG,23,SDR,35, ,717,4.8,12.4,.389, , , ,4.8,12.4,.389,3.4,4.6,.747, , ,4.1,5.7, , , ,4.5,13.1
Lucius Allen,PG,22,SEA,81, ,1817,6.1,13.7,.442, , , ,6.1,13.7,.442,3.6,4.9,.731, , ,4.2,6.8, , , ,4.0,15.7
Wally Anderzunas,SF,24,CIN,44, ,370,6.3,16.2,.392, , , ,6.3,16.2,.392,2.8,4.5,.630, , ,8.0,0.9, , , ,4.6,15.5
John Arthurs,G,22,MIL,11, ,86,5.0,14.7,.343, , , ,5.0,14.7,.343,4.6,6.3,.733, , ,5.9,7.1, , , ,6.3,14.7
Al Attles,PG,33,SFW,45, ,676,4.2,10.8,.386, , , ,4.2,10.8,.386,4.0,6.0,.664, , ,3.9,7.6, , , ,5.5,12.3
Jim Barnes,C,28,BOS,77, ,1049,6.1,14.9,.410, , , ,6.1,14.9,.410,3.3,4.4,.742, , ,12.0,1.8, , , ,7.9,15.5
Dick Barnett,SG,33,NYK,82, ,2772,6.4,13.5,.475, , , ,6.4,13.5,.475,3.0,4.2,.714, , ,2.9,3.9, , , ,2.9,15.8
Jim Barnett,SG,25,SDR,80, ,2105,7.7,17.1,.451, , , ,7.7,17.1,.451,4.9,6.3,.790, , ,5.2,4.9, , , ,3.8,20.3
Johnny Baum,SF,23,CHI,3, ,13,8.3,30.5,.273, , , ,8.3,30.5,.273,0.0,0.0, , , ,11.1,0.0, , , ,2.8,16.6
Elgin Baylor*,SF,35,LAL,54, ,2213,8.3,17.1,.486, , , ,8.3,17.1,.486,4.5,5.8,.773, , ,9.1,4.8, , , ,2.1,21.1
Butch Beard,PG,22,ATL,72, ,941,7.0,15.0,.467, , , ,7.0,15.0,.467,5.2,6.2,.828, , ,5.4,4.6, , , ,4.7,19.2
Walt Bellamy*,C,30,TOT,79, ,2028,6.2,11.9,.523, , , ,6.2,11.9,.523,3.8,6.6,.576, , ,12.6,2.5, , , ,4.6,16.3
Walt Bellamy*,C,30,DET,56, ,1173,6.4,11.8,.547, , , ,6.4,11.8,.547,4.3,7.6,.562, , ,12.2,1.7, , , ,5.0,17.2
Walt Bellamy*,C,30,ATL,23, ,855,5.9,12.1,.491, , , ,5.9,12.1,.491,3.2,5.2,.605, , ,13.1,3.7, , , ,4.1,15.0
Dave Bing*,PG,26,DET,70, ,2334,8.9,20.0,.444, , , ,8.9,20.0,.444,7.0,8.9,.783, , ,4.6,6.4, , , ,3.0,24.7
John Block,PF,25,SDR,82, ,2152,7.6,17.1,.442, , , ,7.6,17.1,.442,4.8,6.1,.782, , ,10.2,2.3, , , ,4.6,20.0
Tom Boerwinkle,C,24,CHI,81, ,2335,5.4,11.9,.449, , , ,5.4,11.9,.449,2.3,3.5,.664, , ,15.7,3.5, , , ,3.9,13.0
Bob Boozer,PF,32,SEA,82, ,2549,7.0,14.2,.491, , , ,7.0,14.2,.491,3.7,4.5,.822, , ,10.1,1.6, , , ,3.3,17.6
Nate Bowman,C,26,NYK,81, ,744,4.7,11.4,.417, , , ,4.7,11.4,.417,2.0,3.8,.519, , ,12.4,2.2, , , ,9.1,11.5
Bill Bradley*,SF,26,NYK,67, ,2098,7.1,15.4,.460, , , ,7.1,15.4,.460,2.5,3.0,.824, , ,4.1,4.6, , , ,3.8,16.7
Bill Bridges,PF,30,ATL,82, ,3269,4.9,10.3,.475, , , ,4.9,10.3,.475,3.6,5.0,.734, , ,13.0,3.8, , , ,3.2,13.4
Em Bryant,PG,31,BOS,71, ,1617,4.7,11.6,.404, , , ,4.7,11.6,.404,3.0,4.0,.746, , ,6.0,5.1, , , ,4.5,12.4
Joe Caldwell,SG,28,ATL,82, ,2857,8.5,16.7,.507, , , ,8.5,16.7,.507,4.8,6.9,.688, , ,5.1,3.6, , , ,3.2,21.8
Fred Carter,SG,24,BAL,76, ,1219,4.6,13.0,.358, , , ,4.6,13.0,.358,2.4,3.4,.690, , ,5.7,3.6, , , ,4.0,11.6
Wilt Chamberlain*,C,33,LAL,12, ,505,9.2,16.2,.568, , , ,9.2,16.2,.568,5.0,11.2,.446, , ,15.8,3.5, , , ,2.2,23.4
Jerry Chambers,SF,26,PHO,79, ,1139,8.9,20.8,.430, , , ,8.9,20.8,.430,2.9,4.0,.728, , ,6.9,1.7, , , ,5.1,20.8
Don Chaney,SG,23,BOS,63, ,839,4.9,13.7,.359, , , ,4.9,13.7,.359,3.5,4.7,.752, , ,6.5,3.1, , , ,5.1,13.4
Len Chappell,SF,29,MIL,75, ,1134,7.7,16.6,.465, , , ,7.7,16.6,.465,4.3,6.7,.640, , ,8.8,1.8, , , ,4.0,19.7
Archie Clark,PG,28,PHI,76, ,2772,7.7,15.6,.496, , , ,7.7,15.6,.496,4.0,5.1,.785, , ,3.9,4.9, , , ,2.6,19.5
Barry Clemens,SF,26,SEA,78, ,1487,6.5,14.4,.454, , , ,6.5,14.4,.454,2.7,3.4,.793, , ,7.7,2.8, , , ,4.6,15.8
Mel Counts,C,28,LAL,81, ,2193,7.1,16.7,.427, , , ,7.1,16.7,.427,2.6,3.3,.776, , ,11.2,2.6, , , ,5.0,16.8
Bob Cousy*,PG,41,CIN,7, ,34,1.1,3.2,.333, , , ,1.1,3.2,.333,3.2,3.2,1.000, , ,5.3,10.6, , , ,11.6,5.3
Freddie Crawford,SG,28,MIL,77, ,1331,6.6,13.7,.480, , , ,6.6,13.7,.480,2.7,4.0,.682, , ,5.0,6.1, , , ,4.9,15.9
