Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Arizin*,SF,30,PHW,70, ,2799,8.1,18.9,.431, , , ,8.1,18.9,.431,7.5,9.3,.813, , ,8.2,1.5, , , ,3.4,23.8
Elgin Baylor*,SF,24,MNL,70, ,2855,7.6,18.7,.408, , , ,7.6,18.7,.408,6.7,8.6,.777, , ,13.2,3.6, , , ,3.4,22.0
Ernie Beck,SG,27,PHW,70, ,1017,5.8,14.8,.390, , , ,5.8,14.8,.390,1.5,2.3,.662, , ,6.2,3.2, , , ,4.4,13.1
Al Bianchi,PG,26,SYR,72, ,1779,5.8,15.3,.377, , , ,5.8,15.3,.377,3.0,4.2,.723, , ,4.0,3.2, , , ,5.3,14.5
Jerry Bird,F,23,NYK,11, ,45,9.6,25.6,.375, , , ,9.6,25.6,.375,0.8,0.8,1.000, , ,9.6,3.2, , , ,5.6,20.0
Bucky Bockhorn,SG,25,CIN,71, ,2251,4.7,12.3,.381, , , ,4.7,12.3,.381,2.2,3.1,.704, , ,7.4,3.3, , , ,3.4,11.6
Carl Braun,PG,31,NYK,72, ,1959,5.3,12.6,.420, , , ,5.3,12.6,.420,3.3,4.0,.826, , ,4.6,6.4, , , ,3.3,13.9
Pete Brennan,F,22,NYK,16, ,136,3.4,11.4,.302, , , ,3.4,11.4,.302,3.7,6.6,.560, , ,8.2,1.6, , , ,4.0,10.6
Barney Cable,PF,23,DET,31, ,271,5.7,16.7,.341, , , ,5.7,16.7,.341,3.1,3.9,.793, , ,11.7,1.6, , , ,4.0,14.5
Gene Conley,PF,28,BOS,50, ,663,4.7,14.2,.328, , , ,4.7,14.2,.328,2.0,3.5,.578, , ,15.0,1.0, , , ,6.4,11.3
Ed Conlin,SG,25,TOT,72, ,1955,6.1,16.4,.369, , , ,6.1,16.4,.369,3.6,5.0,.719, , ,7.3,2.4, , , ,3.5,15.7
Ed Conlin,F-G,25,SYR,57, ,1601,5.9,16.1,.365, , , ,5.9,16.1,.365,3.5,4.7,.739, , ,6.8,2.6, , , ,3.5,15.2
Ed Conlin,SG,25,DET,15, ,354,6.9,17.8,.389, , , ,6.9,17.8,.389,4.2,6.4,.651, , ,9.3,1.7, , , ,3.3,18.0
Larry Costello,PG,27,SYR,70, ,2750,5.4,12.4,.437, , , ,5.4,12.4,.437,3.7,4.6,.802, , ,4.8,5.0, , , ,3.4,14.5
Bob Cousy*,PG,30,BOS,65, ,2403,7.3,18.9,.384, , , ,7.3,18.9,.384,4.9,5.8,.855, , ,5.4,8.3, , , ,2.0,19.4
Archie Dees,PF,22,CIN,68, ,1252,5.8,16.2,.356, , , ,5.8,16.2,.356,4.6,5.9,.779, , ,9.7,1.6, , , ,3.3,16.1
George Dempsey,PG,29,TOT,57, ,694,4.8,11.2,.428, , , ,4.8,11.2,.428,4.2,5.5,.764, , ,8.3,3.5, , , ,4.9,13.7
George Dempsey,PG,29,PHW,23, ,284,4.6,9.5,.480, , , ,4.6,9.5,.480,2.9,4.2,.697, , ,7.6,4.1, , , ,3.9,12.0
George Dempsey,PG,29,SYR,34, ,410,4.9,12.3,.400, , , ,4.9,12.3,.400,5.1,6.4,.795, , ,8.8,3.2, , , ,5.6,14.9
Connie Dierking,C,22,SYR,64, ,726,5.2,14.4,.362, , , ,5.2,14.4,.362,4.1,6.9,.593, , ,11.6,1.7, , , ,7.3,14.5
