Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,C,30,BUF,22, ,195,4.6,13.7,.338, , , ,4.6,13.7,.338,6.1,7.9,.767,7.6,9.0,16.6,1.3,0.6,1.7, ,3.9,15.3
Kareem Abdul-Jabbar*,C,29,LAL,82, ,3016,10.6,18.3,.579, , , ,10.6,18.3,.579,4.5,6.4,.701,3.2,9.8,13.0,3.8,1.2,3.1, ,3.1,25.7
Tom Abernethy,SF,22,LAL,70, ,1378,4.4,9.1,.484, , , ,4.4,9.1,.484,2.6,3.5,.754,3.0,4.7,7.6,2.6,1.3,0.3, ,3.1,11.5
Alvan Adams,C,22,PHO,72, ,2278,8.2,17.4,.474, , , ,8.2,17.4,.474,4.0,5.3,.754,2.8,7.5,10.3,5.1,1.5,1.4, ,4.1,20.5
Don Adams,SF,29,BUF,77, ,1710,4.5,11.1,.411, , , ,4.5,11.1,.411,2.7,3.6,.746,2.7,5.1,7.8,3.2,1.6,0.3, ,4.2,11.8
Lucius Allen,PG,29,LAL,78, ,2482,6.8,15.0,.456, , , ,6.8,15.0,.456,2.8,3.7,.774,0.8,2.8,3.6,5.9,1.7,0.3, ,2.7,16.5
Jerome Anderson,SG,23,IND,27, ,164,5.7,13.0,.441, , , ,5.7,13.0,.441,3.1,4.4,.700,2.0,0.7,2.6,2.2,1.3,0.4, ,5.7,14.5
Tiny Archibald*,PG,28,NYN,34, ,1277,7.0,15.8,.446, , , ,7.0,15.8,.446,5.6,7.1,.785,0.6,1.6,2.3,7.2,1.7,0.3, ,2.2,19.6
Jim Ard,C,28,BOS,63, ,969,3.6,9.4,.378, , , ,3.6,9.4,.378,1.8,2.8,.645,2.9,8.1,11.0,2.0,0.7,1.0, ,4.8,9.0
Bird Averitt,SG,24,BUF,75, ,1136,7.4,19.6,.378, , , ,7.4,19.6,.378,3.8,5.4,.716,0.6,1.8,2.5,4.2,1.0,0.2, ,4.0,18.7
Dennis Awtrey,C,28,PHO,72, ,1760,3.3,7.6,.429, , , ,3.3,7.6,.429,1.9,2.6,.722,2.3,5.0,7.3,3.7,0.5,0.6, ,3.5,8.4
Mike Bantom,PF-SF,25,TOT,77, ,1909,6.8,14.2,.478, , , ,6.8,14.2,.478,4.2,5.8,.723,3.5,5.4,8.9,1.9,1.2,0.9, ,4.4,17.8
Mike Bantom,PF,25,SEA,44, ,795,6.2,12.7,.488, , , ,6.2,12.7,.488,2.6,3.8,.690,3.8,4.7,8.4,2.4,1.6,1.0, ,5.1,15.0
Mike Bantom,SF,25,NYN,33, ,1114,7.2,15.3,.473, , , ,7.2,15.3,.473,5.4,7.3,.735,3.3,5.9,9.2,1.6,0.9,0.9, ,3.9,19.8
Tom Barker,C,21,ATL,59, ,1354,4.8,11.6,.417, , , ,4.8,11.6,.417,3.0,4.4,.683,3.0,7.7,10.7,1.6,0.9,1.1, ,5.9,12.7
Marvin Barnes,PF,24,DET,53, ,989,7.4,16.5,.447, , , ,7.4,16.5,.447,3.9,5.7,.679,2.5,6.7,9.2,1.6,1.4,1.2, ,5.1,18.6
Jim Barnett,SG,32,PHI,16, ,231,4.4,10.0,.438, , , ,4.4,10.0,.438,1.6,2.8,.556,1.1,1.1,2.2,3.6,0.6,0.0, ,4.4,10.3
