Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,C,22,TOT,49, ,945,5.5,14.9,.369, , , ,5.5,14.9,.369,2.7,4.3,.619, , ,15.6,1.4, , , ,4.4,13.6
Zaid Abdul-Aziz,C-F,22,CIN,20, ,108,6.0,14.3,.419, , , ,6.0,14.3,.419,0.7,2.3,.286, , ,10.3,1.3, , , ,5.7,12.7
Zaid Abdul-Aziz,C,22,MIL,29, ,837,5.4,14.9,.363, , , ,5.4,14.9,.363,2.9,4.6,.642, , ,16.3,1.4, , , ,4.2,13.8
Rick Adelman,PG,22,SDR,77, ,1448,4.4,11.2,.394, , , ,4.4,11.2,.394,3.3,5.1,.642, , ,5.4,5.9, , , ,3.9,12.1
Bob Allen,PF,22,SFW,27, ,232,2.2,6.7,.326, , , ,2.2,6.7,.326,3.1,5.6,.556, , ,8.7,1.6, , , ,4.2,7.4
Cliff Anderson,SG,24,LAL,35, ,289,5.5,13.5,.407, , , ,5.5,13.5,.407,5.9,10.2,.573, , ,5.5,3.9, , , ,7.2,16.8
Al Attles,PG,32,SFW,51, ,1516,3.8,8.5,.451, , , ,3.8,8.5,.451,2.3,3.5,.638, , ,4.3,7.3, , , ,4.3,9.9
Harry Barnes,SF,23,SDR,22, ,126,5.1,18.3,.281, , , ,5.1,18.3,.281,2.0,3.7,.538, , ,7.4,1.4, , , ,7.1,12.3
Jim Barnes,C-PF,27,TOT,59, ,706,5.9,13.3,.441, , , ,5.9,13.3,.441,3.8,5.7,.676, , ,11.4,1.4, , , ,6.2,15.6
Jim Barnes,PF,27,CHI,10, ,111,7.5,19.1,.390, , , ,7.5,19.1,.390,3.2,6.2,.526, , ,9.7,0.3, , , ,4.9,18.2
Jim Barnes,C,27,BOS,49, ,595,5.6,12.2,.455, , , ,5.6,12.2,.455,3.9,5.6,.707, , ,11.7,1.6, , , ,6.5,15.1
Dick Barnett,SG,32,NYK,82, ,2953,6.9,14.9,.463, , , ,6.9,14.9,.463,3.8,4.9,.774, , ,3.1,3.5, , , ,2.9,17.6
Jim Barnett,SG,24,SDR,80, ,2346,7.1,16.8,.425, , , ,7.1,16.8,.425,3.6,4.8,.752, , ,5.6,5.2, , , ,3.7,17.8
John Barnhill,PG,30,BAL,30, ,504,5.4,12.5,.434, , , ,5.4,12.5,.434,2.8,4.6,.600, , ,3.8,5.1, , , ,4.5,13.6
Elgin Baylor*,SF,34,LAL,76, ,3064,8.6,19.2,.447, , , ,8.6,19.2,.447,4.9,6.7,.743, , ,9.5,4.8, , , ,2.4,22.1
Zelmo Beaty*,C,29,ATL,72, ,2578,8.2,17.5,.470, , , ,8.2,17.5,.470,5.2,7.1,.731, , ,11.1,1.8, , , ,3.8,21.6
Walt Bellamy*,C,29,TOT,88, ,3159,6.4,12.6,.510, , , ,6.4,12.6,.510,4.6,7.0,.649, , ,12.5,2.0, , , ,3.6,17.4
Walt Bellamy*,C,29,NYK,35, ,1136,6.5,12.7,.507, , , ,6.5,12.7,.507,4.0,6.4,.619, , ,12.2,2.4, , , ,3.9,16.9
Walt Bellamy*,C,29,DET,53, ,2023,6.4,12.5,.512, , , ,6.4,12.5,.512,4.9,7.4,.663, , ,12.7,1.8, , , ,3.5,17.7
Ed Biedenbach,G,23,PHO,7, ,18,0.0,12.0,.000, , , ,0.0,12.0,.000,8.0,12.0,.667, , ,4.0,6.0, , , ,2.0,8.0
Dave Bing*,PG,25,DET,77, ,3039,8.0,18.9,.425, , , ,8.0,18.9,.425,5.3,7.4,.713, , ,4.5,6.5, , , ,3.0,21.3
John Block,PF,24,SDR,78, ,2489,6.5,15.3,.422, , , ,6.5,15.3,.422,4.3,5.8,.748, , ,10.2,2.0, , , ,3.6,17.3
Tom Boerwinkle,C,23,CHI,80, ,2365,4.8,12.6,.383, , , ,4.8,12.6,.383,2.2,3.4,.653, , ,13.5,2.7, , , ,4.8,11.9
Bob Boozer,PF,31,CHI,79, ,2872,8.3,17.2,.481, , , ,8.3,17.2,.481,4.9,6.1,.806, , ,7.7,2.0, , , ,2.7,21.5
Nate Bowman,C,25,NYK,67, ,607,4.9,13.4,.363, , , ,4.9,13.4,.363,1.7,3.6,.475, , ,13.0,3.1, , , ,8.4,11.4
Bill Bradley*,SF,25,NYK,82, ,2413,6.1,14.1,.429, , , ,6.1,14.1,.429,3.1,3.8,.814, , ,5.2,4.5, , , ,4.4,15.2
Bill Bridges,PF,29,ATL,80, ,2930,4.3,9.5,.453, , , ,4.3,9.5,.453,2.9,4.3,.677, , ,13.9,3.7, , , ,3.6,11.6
Em Bryant,PG,30,BOS,80, ,1388,5.1,12.7,.404, , , ,5.1,12.7,.404,1.7,2.6,.650, , ,5.0,4.6, , , ,6.8,11.9
Joe Caldwell,SG,27,ATL,81, ,2720,7.4,14.6,.507, , , ,7.4,14.6,.507,2.1,3.9,.537, , ,4.0,4.2, , , ,3.1,17.0
Jay Carty,PF,27,LAL,28, ,192,6.4,16.7,.382, , , ,6.4,16.7,.382,1.5,2.1,.727, , ,10.9,2.1, , , ,5.8,14.2
Wilt Chamberlain*,C,32,LAL,81, ,3669,6.3,10.8,.583, , , ,6.3,10.8,.583,3.7,8.4,.446, , ,16.8,3.6, , , ,1.4,16.3
Don Chaney,SG,22,BOS,20, ,209,6.2,19.5,.319, , , ,6.2,19.5,.319,1.4,3.4,.400, , ,7.9,3.3, , , ,5.5,13.8
Len Chappell,PF,28,MIL,80, ,2207,7.5,16.5,.454, , , ,7.5,16.5,.454,4.1,5.5,.737, , ,10.4,1.5, , , ,4.0,19.1
Archie Clark,SG,27,PHI,82, ,2144,7.5,15.6,.478, , , ,7.5,15.6,.478,3.7,5.3,.697, , ,4.4,5.0, , , ,3.2,18.6
Barry Clemens,SF,25,CHI,75, ,1444,5.9,15.7,.374, , , ,5.9,15.7,.374,2.0,3.1,.656, , ,7.9,3.1, , , ,4.1,13.8
