Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Arizin*,SF,27,PHW,72, ,2724,8.2,18.2,.448, , , ,8.2,18.2,.448,6.7,8.3,.810, , ,7.1,2.5, , , ,3.7,23.0
Jesse Arnelle,PF,22,FTW,31, ,409,4.6,14.4,.317, , , ,4.6,14.4,.317,3.8,6.1,.623, , ,15.0,1.6, , , ,5.3,12.9
Dick Atha,SG,24,NYK,25, ,288,4.5,11.0,.409, , , ,4.5,11.0,.409,2.6,3.4,.778, , ,5.2,4.0, , , ,4.9,11.6
Jim Baechtold,SF,28,NYK,70, ,1738,5.6,14.4,.386, , , ,5.6,14.4,.386,4.8,6.0,.801, , ,4.6,3.4, , , ,3.2,15.9
Ernie Barrett,SG,26,BOS,72, ,1451,5.1,13.2,.388, , , ,5.1,13.2,.388,2.3,2.9,.788, , ,6.0,4.3, , , ,4.6,12.6
Ernie Beck,SG,24,PHW,67, ,1007,4.9,12.5,.387, , , ,4.9,12.5,.387,2.7,3.8,.717, , ,7.0,2.8, , , ,3.1,12.4
Don Bielke,C, ,FTW,7, ,38,4.7,8.5,.556, , , ,4.7,8.5,.556,3.8,6.6,.571, , ,8.5,0.9, , , ,8.5,13.3
Carl Braun,SG,28,NYK,72, ,2316,6.2,16.5,.372, , , ,6.2,16.5,.372,5.0,5.9,.838, , ,4.0,4.6, , , ,3.3,17.3
Frankie Brian,PG,32,FTW,37, ,680,4.1,13.9,.297, , , ,4.1,13.9,.297,3.8,4.7,.818, , ,4.7,3.9, , , ,3.3,12.1
Nat Clifton*,PF,33,NYK,64, ,1537,5.0,12.7,.394, , , ,5.0,12.7,.394,3.2,4.5,.707, , ,9.0,3.5, , , ,4.4,13.1
Jack Coleman,PF,31,TOT,75, ,2738,5.1,12.4,.412, , , ,5.1,12.4,.412,2.3,3.3,.711, , ,9.0,3.9, , , ,3.2,12.6
Jack Coleman,PF,31,ROC,34, ,1369,5.1,12.4,.412, , , ,5.1,12.4,.412,2.3,3.3,.712, , ,9.0,3.9, , , ,3.2,12.6
Jack Coleman,PF,31,STL,41, ,1369,5.1,12.4,.412, , , ,5.1,12.4,.412,2.3,3.3,.710, , ,9.0,3.9, , , ,3.2,12.6
Ed Conlin,SF,22,SYR,66, ,1423,5.3,14.5,.368, , , ,5.3,14.5,.368,3.1,4.5,.680, , ,8.2,3.7, , , ,3.1,13.7
Chuck Cooper,SF,29,TOT,67, ,1144,3.2,9.7,.328, , , ,3.2,9.7,.328,3.1,4.2,.752, , ,7.5,2.8, , , ,4.4,9.5
Chuck Cooper,F,29,STL,35, ,574,3.6,10.8,.337, , , ,3.6,10.8,.337,3.9,5.3,.738, , ,8.7,3.8, , , ,4.5,11.2
Chuck Cooper,SF,29,FTW,32, ,570,2.7,8.6,.316, , , ,2.7,8.6,.316,2.4,3.1,.776, , ,6.4,1.8, , , ,4.4,7.8
Bob Cousy*,PG,27,BOS,72, ,2767,5.7,15.9,.360, , , ,5.7,15.9,.360,6.2,7.3,.844, , ,6.4,8.4, , , ,2.7,17.6
Red Davis,C,23,ROC,3, ,16,0.0,13.5,.000, , , ,0.0,13.5,.000,4.5,4.5,1.000, , ,9.0,2.3, , , ,4.5,4.5
Walt Davis,PF,25,PHW,70, ,1097,4.0,10.9,.369, , , ,4.0,10.9,.369,2.5,3.7,.688, , ,9.1,1.8, , , ,7.5,10.6
George Dempsey,PG,26,PHW,72, ,1444,3.1,6.6,.475, , , ,3.1,6.6,.475,2.2,3.5,.633, , ,6.6,5.1, , , ,3.6,8.5
