Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Forest Able,G,24,SYR,1, ,1,0.0,72.0,.000, , , ,0.0,72.0,.000,0.0,0.0, , , ,36.0,36.0, , , ,36.0,0.0
Paul Arizin*,SF,28,PHW,71, ,2767,8.0,18.9,.422, , , ,8.0,18.9,.422,7.7,9.3,.829, , ,7.3,2.0, , , ,3.6,23.6
Bob Armstrong,C-F,23,PHW,19, ,110,3.6,12.1,.297, , , ,3.6,12.1,.297,2.0,3.9,.500, , ,12.8,1.0, , , ,4.3,9.2
Jim Baechtold,SF,29,NYK,45, ,462,5.8,15.4,.381, , , ,5.8,15.4,.381,5.1,6.9,.750, , ,6.2,2.6, , , ,3.0,16.8
John Barber,F,29,STL,5, ,19,3.8,15.2,.250, , , ,3.8,15.2,.250,5.7,11.4,.500, , ,11.4,0.0, , , ,7.6,13.3
Ernie Beck,SG,25,PHW,72, ,1743,4.0,10.5,.384, , , ,4.0,10.5,.384,2.3,3.2,.707, , ,6.4,3.9, , , ,3.2,10.3
Irv Bemoras,SF,26,STL,62, ,983,4.5,14.1,.322, , , ,4.5,14.1,.322,2.6,3.8,.680, , ,4.7,1.7, , , ,2.8,11.6
Gary Bergen,C,24,NYK,6, ,40,2.7,9.9,.273, , , ,2.7,9.9,.273,1.8,1.8,1.000, , ,7.2,0.9, , , ,3.6,7.2
Al Bianchi,PG,24,SYR,68, ,1577,4.5,12.9,.351, , , ,4.5,12.9,.351,3.8,5.5,.690, , ,5.2,2.4, , , ,4.5,12.9
Carl Braun,PG,29,NYK,72, ,2345,5.8,15.2,.381, , , ,5.8,15.2,.381,3.8,4.7,.809, , ,4.0,3.9, , , ,3.0,15.4
Bob Burrow,C,22,ROC,67, ,1028,4.8,12.8,.374, , , ,4.8,12.8,.374,4.6,7.4,.616, , ,10.3,1.4, , , ,5.8,14.1
Nat Clifton*,PF,34,NYK,71, ,2231,5.0,13.2,.377, , , ,5.0,13.2,.377,2.4,3.5,.673, , ,9.0,2.6, , , ,3.9,12.3
Jack Coleman,PF,32,STL,72, ,2145,5.3,13.0,.408, , , ,5.3,13.0,.408,2.1,2.7,.764, , ,10.8,2.7, , , ,3.9,12.7
Ed Conlin,SG,23,SYR,71, ,2250,5.4,14.3,.374, , , ,5.4,14.3,.374,4.5,5.9,.769, , ,6.9,3.3, , , ,2.7,15.2
Larry Costello,PG,25,PHW,72, ,2111,3.2,8.5,.374, , , ,3.2,8.5,.374,3.0,3.8,.788, , ,5.5,4.0, , , ,3.1,9.3
Bob Cousy*,PG,28,BOS,64, ,2364,7.3,19.2,.378, , , ,7.3,19.2,.378,5.5,6.7,.821, , ,4.7,7.3, , , ,2.0,20.1
Walt Davis,PF,26,PHW,65, ,1250,5.1,12.6,.407, , , ,5.1,12.6,.407,2.1,3.1,.698, , ,8.8,1.5, , , ,6.8,12.4
George Dempsey,PG,27,PHW,71, ,1147,4.2,9.5,.444, , , ,4.2,9.5,.444,1.7,3.2,.539, , ,7.9,4.3, , , ,3.4,10.1
Corky Devlin,SG,25,FTW,71, ,1242,5.5,14.6,.378, , , ,5.5,14.6,.378,2.8,4.1,.678, , ,4.2,4.1, , , ,3.3,13.8
Walter Dukes,C,26,MNL,71, ,1866,4.4,12.1,.364, , , ,4.4,12.1,.364,5.1,7.4,.689, , ,15.3,1.0, , , ,5.3,13.9
Ray Felix,C,26,NYK,72, ,1622,6.5,15.7,.416, , , ,6.5,15.7,.416,6.1,8.2,.747, , ,13.0,0.8, , , ,6.3,19.2
Ed Fleming,SG,23,ROC,51, ,927,4.2,14.1,.299, , , ,4.2,14.1,.299,5.4,7.4,.728, , ,7.1,3.1, , , ,3.7,13.9
Larry Foust,C,28,FTW,61, ,1533,5.7,14.5,.394, , , ,5.7,14.5,.394,6.4,8.9,.718, , ,13.0,1.7, , , ,5.2,17.8
Harry Gallatin*,PF,29,NYK,72, ,1943,6.2,15.1,.406, , , ,6.2,15.1,.406,7.7,9.6,.800, , ,13.4,1.6, , , ,3.7,20.0
Dick Garmaker,SG,24,MNL,72, ,2406,6.1,15.2,.400, , , ,6.1,15.2,.400,5.5,6.5,.839, , ,5.0,2.8, , , ,3.0,17.6
Jack George,SG,28,PHW,67, ,2229,4.1,12.1,.337, , , ,4.1,12.1,.337,3.2,4.7,.683, , ,5.1,5.0, , , ,2.7,11.4
Joe Graboski,PF,27,PHW,72, ,2501,5.6,16.1,.349, , , ,5.6,16.1,.349,3.6,4.6,.783, , ,8.8,2.0, , , ,3.5,14.9
Si Green,SG,23,ROC,13, ,423,4.3,12.2,.350, , , ,4.3,12.2,.350,4.2,5.9,.710, , ,5.7,4.0, , , ,3.1,12.7
Richie Guerin*,SG,24,NYK,72, ,1793,5.2,14.0,.368, , , ,5.2,14.0,.368,3.6,5.9,.620, , ,6.7,3.7, , , ,3.7,14.0
Cliff Hagan*,SF,25,STL,67, ,971,5.0,13.8,.361, , , ,5.0,13.8,.361,3.7,5.4,.690, , ,9.2,3.2, , , ,6.1,13.6
Alex Hannum*,F-C,33,TOT,59, ,642,4.3,12.5,.345, , , ,4.3,12.5,.345,2.1,3.1,.661, , ,8.9,1.6, , , ,7.6,10.7
Alex Hannum*,PF,33,FTW, , , , , , , , , , , , , , , , , , , , , , , , 
Alex Hannum*,PF,33,STL, , , , , , , , , , , , , , , , , , , , , , , , 
Bob Harrison,G,29,TOT,66, ,1810,4.8,12.5,.386, , , ,4.8,12.5,.386,1.8,2.6,.715, , ,3.1,3.2, , , ,4.4,11.5
Bob Harrison,G,29,STL, , , , , , , , , , , , , , , , , , , , , , , , 
Bob Harrison,SG,29,SYR, , , , , , , , , , , , , , , , , , , , , , , , 
Tom Heinsohn*,PF,22,BOS,72, ,2150,7.5,18.8,.397, , , ,7.5,18.8,.397,4.5,5.7,.790, , ,11.8,2.0, , , ,5.1,19.5
Dick Hemric,PF,23,BOS,67, ,1055,3.7,10.8,.344, , , ,3.7,10.8,.344,5.0,7.2,.695, , ,10.4,1.4, , , ,3.3,12.4
Larry Hennessy,SG,27,SYR,21, ,373,5.4,16.9,.320, , , ,5.4,16.9,.320,2.2,3.1,.719, , ,4.3,2.6, , , ,2.7,13.0
Lew Hitch,PF,27,TOT,68, ,1133,3.5,9.4,.375, , , ,3.5,9.4,.375,2.0,2.8,.716, , ,8.0,1.3, , , ,3.3,9.1
Lew Hitch,PF,27,ROC,30, ,556,3.5,9.4,.372, , , ,3.5,9.4,.372,2.4,3.3,.725, , ,7.7,1.0, , , ,3.6,9.4
Lew Hitch,PF,27,PHW,38, ,577,3.6,9.4,.377, , , ,3.6,9.4,.377,1.6,2.3,.703, , ,8.4,1.6, , , ,3.0,8.7
Joe Holup,SF,22,SYR,71, ,1284,4.5,13.7,.329, , , ,4.5,13.7,.329,5.7,7.1,.806, , ,7.8,2.4, , , ,5.0,14.7
Bob Hopkins,C,22,SYR,62, ,764,6.1,16.2,.379, , , ,6.1,16.2,.379,4.4,5.9,.746, , ,11.0,1.0, , , ,5.0,16.7
