Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,34,LAL,76,76,2677,10.1,17.5,.579,0.0,0.0,.000,10.1,17.5,.580,4.2,5.9,.706,2.3,6.5,8.9,3.0,0.8,2.8,3.1,3.0,24.4
Alvan Adams,C,27,PHO,79,75,2393,7.6,15.5,.494,0.0,0.0,.000,7.6,15.4,.494,2.7,3.5,.781,2.1,6.7,8.8,5.4,1.7,1.2,2.9,4.0,18.0
Mark Aguirre,SF,22,DAL,51,20,1468,9.3,20.1,.465,0.6,1.7,.352,8.7,18.4,.475,4.1,6.1,.680,2.2,3.9,6.1,4.0,0.9,0.5,3.3,3.7,23.4
Danny Ainge,SG,22,BOS,53,1,564,5.0,14.1,.357,0.3,1.1,.294,4.7,13.0,.363,3.6,4.1,.862,1.6,2.0,3.6,5.6,2.4,0.2,3.4,5.5,14.0
Tiny Archibald*,PG,33,BOS,68,51,2167,5.1,10.8,.472,0.1,0.3,.375,5.0,10.6,.475,3.9,5.2,.747,0.4,1.5,1.9,9.0,0.9,0.0,3.0,2.2,14.3
Dennis Awtrey,C,33,POR,10,3,121,1.5,4.5,.333,0.0,0.0, ,1.5,4.5,.333,1.5,2.7,.556,2.1,2.1,4.2,2.4,0.3,0.6,1.8,8.3,4.5
Carl Bailey,C,23,POR,1,0,7,5.1,5.1,1.000,0.0,0.0, ,5.1,5.1,1.000,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,10.3,10.3,10.3
James Bailey,PF,24,TOT,77,0,1468,6.4,12.4,.517,0.0,0.0, ,6.4,12.4,.517,3.4,5.5,.612,3.1,6.5,9.6,1.6,1.0,2.0,3.4,6.6,16.2
James Bailey,PF,24,SEA,10,0,180,6.2,13.0,.477,0.0,0.0, ,6.2,13.0,.477,0.8,2.2,.364,3.4,6.2,9.6,2.6,0.6,1.4,3.8,8.4,13.2
James Bailey,PF,24,NJN,67,0,1288,6.4,12.3,.523,0.0,0.0, ,6.4,12.3,.523,3.7,6.0,.624,3.1,6.5,9.6,1.5,1.1,2.1,3.4,6.4,16.6
Greg Ballard,SF,27,WSB,79,79,2946,7.6,16.0,.475,0.1,0.3,.409,7.5,15.7,.476,2.9,3.5,.830,1.7,6.1,7.7,3.1,1.7,0.3,1.5,2.5,18.2
Gene Banks,SF,22,SAS,80,4,1700,6.6,13.8,.477,0.0,0.2,.000,6.6,13.6,.483,3.1,4.5,.684,3.3,5.4,8.7,3.1,1.2,0.4,2.2,4.2,16.2
Mike Bantom,SF,30,TOT,82,38,2016,6.0,12.7,.469,0.0,0.1,.333,5.9,12.6,.470,3.0,4.8,.629,3.1,4.7,7.9,2.0,1.1,1.1,2.7,4.9,15.0
