Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,38,LAL,79,79,2629,10.3,18.3,.564,0.0,0.0,.000,10.3,18.3,.565,4.6,6.0,.765,1.8,4.7,6.5,3.8,0.9,1.8,2.8,3.4,25.3
Alvan Adams,C,31,PHO,78,45,2005,6.1,12.2,.502,0.0,0.0,.000,6.1,12.2,.504,2.9,3.6,.783,2.7,5.9,8.6,5.8,1.8,0.8,3.7,4.9,15.1
Michael Adams,PG,23,SAC,18,0,139,4.1,11.4,.364,0.0,0.8,.000,4.1,10.6,.390,2.1,3.1,.667,0.5,1.0,1.6,5.7,2.3,0.3,2.8,2.3,10.4
Mark Aguirre,SF,26,DAL,74,73,2501,9.6,19.1,.503,0.2,0.8,.286,9.4,18.3,.513,4.6,6.5,.705,2.5,3.9,6.4,4.9,0.9,0.2,3.6,3.3,24.0
Danny Ainge,SG,26,BOS,80,78,2407,5.3,10.5,.504,0.4,1.1,.356,4.9,9.4,.521,1.8,2.0,.904,0.7,2.8,3.5,6.1,1.4,0.1,1.9,3.1,12.8
Ron Anderson,SF,27,TOT,77,30,1676,6.7,13.5,.494,0.0,0.2,.222,6.6,13.3,.498,1.8,2.7,.669,2.8,3.1,5.9,3.1,1.2,0.1,1.8,2.7,15.2
Ron Anderson,SF,27,CLE,17,3,207,6.4,12.9,.500,0.0,0.2,.000,6.4,12.7,.507,2.1,2.8,.750,0.9,3.7,4.5,1.4,0.2,0.0,1.0,3.5,15.0
Ron Anderson,SF,27,IND,60,27,1469,6.7,13.6,.493,0.0,0.2,.250,6.6,13.4,.496,1.8,2.7,.658,3.1,3.0,6.1,3.3,1.3,0.1,1.9,2.6,15.2
John Bagley,PG,25,CLE,78,77,2472,5.3,12.6,.423,0.1,0.5,.243,5.2,12.1,.431,2.5,3.1,.791,1.1,2.9,4.0,10.7,1.8,0.1,3.5,2.4,13.3
James Bailey,PF,28,NYK,48,36,1245,5.8,12.8,.456,0.0,0.1,.000,5.8,12.7,.460,3.7,4.8,.772,2.9,6.7,9.7,1.4,1.0,1.2,2.9,6.0,15.4
Thurl Bailey,PF,24,UTA,82,13,2358,7.4,16.4,.448,0.0,0.1,.000,7.4,16.3,.451,3.5,4.2,.830,2.3,5.3,7.5,2.3,0.6,1.7,2.2,2.4,18.3
