Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Quincy Acy,SF,23,TOT,63,0,847,2.8,6.0,.468,0.2,0.6,.267,2.6,5.4,.492,1.5,2.3,.660,3.1,6.1,9.2,1.2,1.0,1.1,1.3,5.2,7.3
Quincy Acy,SF,23,TOR,7,0,61,3.5,8.3,.429,1.2,3.0,.400,2.4,5.3,.444,3.0,4.7,.625,3.0,5.9,8.9,2.4,2.4,1.8,1.2,4.7,11.2
Quincy Acy,SF,23,SAC,56,0,786,2.7,5.8,.472,0.1,0.5,.200,2.7,5.4,.496,1.4,2.1,.667,3.1,6.1,9.2,1.1,0.9,1.1,1.3,5.2,7.0
Steven Adams,C,20,OKC,81,20,1197,2.8,5.6,.503,0.0,0.0, ,2.8,5.6,.503,2.4,4.1,.581,4.3,5.7,10.0,1.3,1.2,1.7,2.1,6.1,8.0
Jeff Adrien,PF,27,TOT,53,12,961,5.4,10.3,.520,0.0,0.0, ,5.4,10.3,.520,2.8,4.5,.639,3.8,7.6,11.5,1.4,0.9,1.3,1.5,4.0,13.6
Jeff Adrien,PF,27,CHA,25,0,256,3.1,5.6,.550,0.0,0.0, ,3.1,5.6,.550,1.8,3.5,.520,4.6,7.7,12.4,1.0,1.0,2.1,1.1,4.9,8.0
Jeff Adrien,PF,27,MIL,28,12,705,6.2,12.0,.515,0.0,0.0, ,6.2,12.0,.515,3.2,4.8,.670,3.5,7.6,11.1,1.6,0.9,1.1,1.6,3.7,15.6
Arron Afflalo,SG,28,ORL,73,73,2552,6.5,14.3,.459,1.8,4.2,.427,4.7,10.0,.473,3.9,4.7,.815,0.5,3.2,3.7,3.5,0.5,0.0,2.1,1.9,18.8
Cole Aldrich,C,25,NYK,46,2,330,3.6,6.7,.541,0.0,0.0, ,3.6,6.7,.541,2.8,3.3,.867,4.0,10.0,14.1,1.5,0.9,3.3,2.0,4.4,10.0
LaMarcus Aldridge,PF,28,POR,69,69,2498,9.4,20.5,.458,0.0,0.2,.200,9.4,20.3,.461,4.3,5.2,.822,2.4,8.6,11.0,2.6,0.9,1.0,1.8,2.1,23.1
Lavoy Allen,PF,24,TOT,65,2,1072,4.5,10.1,.447,0.1,0.4,.154,4.4,9.6,.460,1.1,1.7,.660,4.0,6.4,10.4,2.4,0.8,1.1,1.5,4.2,10.2
