Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Al Attles,PG,26,SFW,71, ,1876,5.8,12.1,.478, , , ,5.8,12.1,.478,2.6,4.0,.646, , ,3.9,3.5, , , ,4.9,14.1
Dick Barnett,SG,26,LAL,80, ,2544,7.7,16.4,.471, , , ,7.7,16.4,.471,4.9,6.0,.815, , ,3.4,3.2, , , ,2.7,20.3
John Barnhill,SG,24,STL,77, ,2692,4.8,11.2,.430, , , ,4.8,11.2,.430,2.4,3.4,.710, , ,4.8,4.3, , , ,2.2,12.0
Elgin Baylor*,SF,28,LAL,80, ,3370,11.0,24.3,.453, , , ,11.0,24.3,.453,7.1,8.4,.837, , ,12.2,4.1, , , ,2.4,29.0
Zelmo Beaty*,C,23,STL,80, ,1918,5.6,12.7,.439, , , ,5.6,12.7,.439,4.1,5.8,.717, , ,12.5,1.6, , , ,5.9,15.3
Walt Bellamy*,C,23,CHZ,80, ,3306,9.1,17.4,.527, , , ,9.1,17.4,.527,6.0,8.9,.674, , ,14.3,2.5, , , ,3.1,24.3
Al Bianchi,SG,30,SYR,61, ,1159,6.3,14.8,.424, , , ,6.3,14.8,.424,3.7,5.1,.732, , ,4.2,5.3, , , ,5.1,16.3
Bucky Bockhorn,SG,29,CIN,80, ,2612,5.2,13.1,.393, , , ,5.2,13.1,.393,2.5,3.3,.756, , ,4.4,3.6, , , ,3.6,12.9
Bob Boozer,PF,25,CIN,79, ,2488,6.4,14.4,.444, , , ,6.4,14.4,.444,3.6,5.1,.714, , ,12.7,1.5, , , ,4.3,16.4
Bill Bridges,PF,23,STL,27, ,374,6.4,15.4,.413, , , ,6.4,15.4,.413,3.1,4.9,.627, , ,13.9,2.2, , , ,5.6,15.8
Joe Buckhalter,PF,25,CIN,2, ,12,0.0,15.0,.000, , , ,0.0,15.0,.000,6.0,6.0,1.000, , ,9.0,0.0, , , ,3.0,6.0
Cleveland Buckner,PF,24,NYK,6, ,27,6.7,13.3,.500, , , ,6.7,13.3,.500,2.7,5.3,.500, , ,5.3,6.7, , , ,8.0,16.0
Dave Budd,SF,24,NYK,78, ,1725,6.1,12.4,.493, , , ,6.1,12.4,.493,3.2,4.2,.748, , ,8.2,1.8, , , ,4.3,15.4
Donnie Butcher,SG,26,NYK,68, ,1193,5.2,12.8,.406, , , ,5.2,12.8,.406,4.0,5.9,.675, , ,5.4,4.2, , , ,4.9,14.3
Al Butler,PG,24,NYK,74, ,1488,7.2,16.4,.439, , , ,7.2,16.4,.439,3.5,4.5,.770, , ,4.1,3.8, , , ,3.5,17.9
Barney Cable,SF,27,TOT,61, ,1203,5.2,11.4,.455, , , ,5.2,11.4,.455,1.9,2.9,.646, , ,7.1,2.5, , , ,4.0,12.2
Barney Cable,SF,27,STL,42, ,662,5.8,11.7,.495, , , ,5.8,11.7,.495,2.2,3.4,.651, , ,7.0,2.3, , , ,4.7,13.9
Barney Cable,SF,27,CHZ,19, ,541,4.4,10.9,.402, , , ,4.4,10.9,.402,1.4,2.2,.636, , ,7.3,2.7, , , ,3.3,10.2
Wilt Chamberlain*,C,26,SFW,80, ,3806,13.8,26.2,.528, , , ,13.8,26.2,.528,6.2,10.5,.593, , ,18.4,2.6, , , ,1.3,33.9
Len Chappell,PF,22,SYR,80, ,1241,8.2,17.5,.465, , , ,8.2,17.5,.465,4.3,6.9,.622, , ,13.4,1.6, , , ,5.0,20.6
Gene Conley,PF,32,NYK,70, ,1544,5.9,15.2,.390, , , ,5.9,15.2,.390,2.8,4.3,.656, , ,10.9,1.6, , , ,6.1,14.7
Larry Costello,PG,31,SYR,78, ,2066,5.0,11.5,.432, , , ,5.0,11.5,.432,5.0,5.7,.881, , ,4.1,5.8, , , ,4.6,15.0
Bob Cousy*,PG,34,BOS,76, ,1975,7.1,18.0,.397, , , ,7.1,18.0,.397,4.0,5.4,.735, , ,3.5,9.4, , , ,3.2,18.3
Johnny Cox,SG,26,CHZ,73, ,1685,5.1,12.1,.421, , , ,5.1,12.1,.421,2.0,2.9,.704, , ,6.0,3.0, , , ,3.2,12.2
Dave DeBusschere*,SF,22,DET,80, ,2352,6.2,14.4,.430, , , ,6.2,14.4,.430,3.2,4.4,.718, , ,10.6,3.2, , , ,3.8,15.6
Terry Dischinger,SF,22,CHZ,57, ,2294,8.2,16.1,.512, , , ,8.2,16.1,.512,6.3,8.2,.770, , ,7.2,2.7, , , ,3.0,22.8
Danny Doyle,PF,22,DET,4, ,25,8.6,17.3,.500, , , ,8.6,17.3,.500,5.8,7.2,.800, , ,11.5,4.3, , , ,5.8,23.0
Bob Duffy,PG,22,STL,42, ,435,5.5,14.4,.379, , , ,5.5,14.4,.379,1.8,3.2,.564, , ,3.2,6.9, , , ,3.5,12.7
Walter Dukes,C,32,DET,62, ,913,3.3,10.1,.325, , , ,3.3,10.1,.325,4.0,5.4,.737, , ,14.2,2.2, , , ,7.2,10.5
Johnny Egan,PG,24,DET,46, ,752,5.3,14.2,.372, , , ,5.3,14.2,.372,2.5,3.3,.768, , ,2.8,5.5, , , ,3.4,13.1
Leroy Ellis,C,22,LAL,80, ,1628,4.9,11.7,.419, , , ,4.9,11.7,.419,2.9,4.5,.658, , ,11.5,1.0, , , ,4.3,12.8
Wayne Embry*,C,25,CIN,76, ,2511,7.7,16.7,.458, , , ,7.7,16.7,.458,4.9,7.4,.667, , ,13.4,2.5, , , ,4.1,20.2
Mike Farmer,SF,26,STL,80, ,1724,5.0,11.7,.425, , , ,5.0,11.7,.425,2.4,2.9,.842, , ,7.7,3.0, , , ,3.2,12.4
Dave Fedor,F,22,SFW,7, ,27,4.0,13.3,.300, , , ,4.0,13.3,.300,0.0,1.3,.000, , ,8.0,1.3, , , ,5.3,8.0
Al Ferrari,G-F,29,CHZ,18, ,138,3.1,9.7,.324, , , ,3.1,9.7,.324,3.7,4.4,.824, , ,3.1,3.7, , , ,5.5,9.9
Bob Ferry,C,25,DET,79, ,2479,6.2,14.3,.433, , , ,6.2,14.3,.433,3.2,4.9,.649, , ,7.8,2.5, , , ,3.6,15.6
Jack Foley,F,23,TOT,11, ,83,8.7,22.1,.392, , , ,8.7,22.1,.392,5.6,6.5,.867, , ,6.9,2.2, , , ,3.5,23.0
Jack Foley,F,23,BOS,5, ,46,10.2,20.3,.500, , , ,10.2,20.3,.500,4.7,6.3,.750, , ,5.5,0.0, , , ,2.3,25.0
Jack Foley,F,23,NYK,6, ,37,6.8,24.3,.280, , , ,6.8,24.3,.280,6.8,6.8,1.000, , ,8.8,4.9, , , ,4.9,20.4
Dave Gambee,SF,25,SYR,60, ,1234,6.9,15.7,.438, , , ,6.9,15.7,.438,5.8,6.9,.836, , ,8.4,1.4, , , ,5.5,19.5
Tom Gola*,SF-SG,30,TOT,73, ,2670,4.9,10.7,.459, , , ,4.9,10.7,.459,2.3,3.0,.776, , ,7.0,4.0, , , ,4.0,12.1
Tom Gola*,SG,30,SFW,21, ,822,4.9,10.6,.457, , , ,4.9,10.6,.457,2.2,2.9,.758, , ,6.5,3.2, , , ,4.1,11.9
Tom Gola*,SF,30,NYK,52, ,1848,4.9,10.7,.460, , , ,4.9,10.7,.460,2.3,3.0,.784, , ,7.2,4.4, , , ,3.9,12.2
Johnny Green,PF,29,NYK,80, ,2553,8.2,17.8,.462, , , ,8.2,17.8,.462,3.9,6.2,.638, , ,13.6,2.1, , , ,3.4,20.4
Si Green,PG,29,CHZ,73, ,2648,4.4,10.6,.411, , , ,4.4,10.6,.411,2.8,4.2,.683, , ,4.6,5.7, , , ,3.7,11.6
Hal Greer*,SG,26,SYR,80, ,2631,8.2,17.7,.464, , , ,8.2,17.7,.464,5.0,5.9,.834, , ,6.3,3.8, , , ,3.9,21.4
Gene Guarilia,SF,25,BOS,11, ,83,4.8,16.5,.289, , , ,4.8,16.5,.289,1.7,4.8,.364, , ,6.1,0.9, , , ,2.2,11.3
Richie Guerin*,SG,30,NYK,79, ,2712,7.9,18.3,.432, , , ,7.9,18.3,.432,6.8,8.0,.848, , ,4.4,4.6, , , ,3.0,22.6
Dave Gunther,F,25,SFW,1, ,5,7.2,14.4,.500, , , ,7.2,14.4,.500,0.0,0.0, , , ,21.6,21.6, , , ,7.2,14.4
Cliff Hagan*,SF,31,STL,79, ,1716,10.3,22.1,.465, , , ,10.3,22.1,.465,5.1,6.4,.800, , ,7.2,4.0, , , ,4.4,25.7
Charlie Hardnett,PF,24,CHZ,78, ,1657,6.5,14.8,.441, , , ,6.5,14.8,.441,4.9,7.6,.645, , ,13.1,1.6, , , ,4.9,18.0
John Havlicek*,SF,22,BOS,80, ,2200,7.9,17.8,.445, , , ,7.9,17.8,.445,2.8,3.9,.728, , ,8.7,2.9, , , ,3.1,18.7
Tom Hawkins,SF,26,CIN,79, ,1721,6.3,13.3,.471, , , ,6.3,13.3,.471,3.1,5.0,.610, , ,11.4,2.1, , , ,4.1,15.6
Tom Heinsohn*,PF,28,BOS,76, ,2004,9.9,23.4,.423, , , ,9.9,23.4,.423,6.1,7.3,.835, , ,10.2,1.7, , , ,4.9,25.9
Wayne Hightower,PF,23,SFW,66, ,1387,5.0,14.2,.350, , , ,5.0,14.2,.350,2.7,4.1,.669, , ,9.2,1.3, , , ,4.7,12.7
Paul Hogue,C,22,NYK,50, ,1340,4.1,11.3,.363, , , ,4.1,11.3,.363,2.1,4.7,.454, , ,11.6,1.1, , , ,5.9,10.3
Ron Horn,SF,24,LAL,28, ,289,3.4,10.2,.329, , , ,3.4,10.2,.329,2.5,3.6,.690, , ,8.8,1.2, , , ,5.7,9.2
Bailey Howell*,SF,26,DET,79, ,2971,7.7,15.0,.516, , , ,7.7,15.0,.516,6.3,7.9,.798, , ,11.0,2.8, , , ,3.6,21.7
Hot Rod Hundley,SG,28,LAL,65, ,785,4.0,12.0,.336, , , ,4.0,12.0,.336,3.9,5.5,.706, , ,4.9,6.9, , , ,3.7,11.9
Darrall Imhoff,C,24,DET,45, ,458,3.8,12.0,.314, , , ,3.8,12.0,.314,1.9,3.9,.480, , ,12.2,2.2, , , ,5.2,9.4
Howie Jolliff,PF,24,LAL,28, ,293,1.8,6.8,.273, , , ,1.8,6.8,.273,0.7,1.1,.667, , ,7.6,2.5, , , ,6.0,4.4
K.C. Jones*,PG,30,BOS,79, ,1945,4.3,10.9,.389, , , ,4.3,10.9,.389,2.1,3.3,.633, , ,4.9,5.9, , , ,4.1,10.6
Sam Jones*,SG,29,BOS,76, ,2323,9.6,20.2,.476, , , ,9.6,20.2,.476,4.0,5.0,.793, , ,6.1,3.7, , , ,2.5,23.2
Willie Jones,PG,26,DET,79, ,1470,7.5,17.9,.418, , , ,7.5,17.9,.418,2.9,4.0,.720, , ,5.7,4.6, , , ,5.1,17.8
Phil Jordon,C,29,STL,73, ,1420,5.3,13.4,.400, , , ,5.3,13.4,.400,1.4,2.6,.554, , ,8.1,2.6, , , ,4.4,12.1
Red Kerr,C,30,SYR,80, ,2561,7.1,15.0,.474, , , ,7.1,15.0,.474,3.4,4.5,.753, , ,14.6,3.0, , , ,2.9,17.6
Maurice King,PG,27,CHZ,37, ,954,3.5,9.1,.390, , , ,3.5,9.1,.390,1.1,1.3,.824, , ,3.8,5.4, , , ,3.3,8.2
Jim Krebs,C,27,LAL,79, ,1913,5.1,11.8,.434, , , ,5.1,11.8,.434,2.2,2.9,.747, , ,9.4,1.6, , , ,4.8,12.4
Fred LaCour,G-F,24,SFW,16, ,171,5.9,15.4,.384, , , ,5.9,15.4,.384,1.9,3.4,.563, , ,5.1,4.0, , , ,5.7,13.7
Rudy LaRusso,PF,25,LAL,75, ,2505,4.6,10.9,.422, , , ,4.6,10.9,.422,4.1,5.6,.718, , ,10.7,2.7, , , ,3.7,13.3
George Lee,SG,26,SFW,64, ,1192,4.5,11.9,.378, , , ,4.5,11.9,.378,4.6,5.8,.788, , ,6.6,1.9, , , ,3.4,13.6
Slick Leonard*,PG,30,CHZ,32, ,879,3.4,10.0,.343, , , ,3.4,10.0,.343,2.4,3.5,.694, , ,2.8,5.9, , , ,3.4,9.3
Jim Loscutoff,SF,32,BOS,63, ,607,5.6,14.9,.375, , , ,5.6,14.9,.375,1.3,2.5,.524, , ,9.3,1.5, , , ,7.5,12.5
Kevin Loughery,SG,22,DET,57, ,845,6.2,16.9,.368, , , ,6.2,16.9,.368,3.0,4.3,.710, , ,4.6,4.4, , , ,5.8,15.5
Clyde Lovellette*,C,33,BOS,61, ,568,10.2,23.8,.428, , , ,10.2,23.8,.428,4.6,6.2,.745, , ,11.2,1.7, , , ,8.7,25.0
Ted Luckenbill,PF,23,SFW,20, ,201,4.7,12.2,.382, , , ,4.7,12.2,.382,1.6,3.6,.450, , ,10.0,1.4, , , ,6.1,10.9
Nick Mantis,SG,27,TOT,42, ,684,4.9,12.8,.385, , , ,4.9,12.8,.385,1.4,2.6,.551, , ,4.5,4.4, , , ,4.9,11.3
Nick Mantis,SG,27,STL,9, ,58,5.0,12.4,.400, , , ,5.0,12.4,.400,1.9,5.6,.333, , ,3.7,4.3, , , ,8.1,11.8
Nick Mantis,SG,27,CHZ,33, ,626,4.9,12.9,.384, , , ,4.9,12.9,.384,1.4,2.3,.600, , ,4.5,4.4, , , ,4.7,11.3
Bill McGill,C,23,CHZ,60, ,590,11.0,21.5,.513, , , ,11.0,21.5,.513,4.9,7.3,.672, , ,9.8,2.3, , , ,7.2,27.0
Porter Meriwether,PG,22,SYR,31, ,268,6.4,16.4,.393, , , ,6.4,16.4,.393,3.1,4.4,.697, , ,3.9,5.8, , , ,2.6,16.0
Tom Meschery,PF,24,SFW,64, ,2245,6.4,15.0,.425, , , ,6.4,15.0,.425,3.7,5.0,.728, , ,10.0,1.7, , , ,4.0,16.4
Howie Montgomery,SF,22,SFW,20, ,364,6.4,15.1,.425, , , ,6.4,15.1,.425,1.4,2.3,.609, , ,6.8,2.1, , , ,3.5,14.2
Jackie Moreland,PF,24,DET,78, ,1516,6.4,14.8,.436, , , ,6.4,14.8,.436,3.4,5.1,.678, , ,10.7,2.7, , , ,5.4,16.3
Willie Naulls,SF,28,TOT,70, ,1901,7.0,16.8,.417, , , ,7.0,16.8,.417,3.1,3.9,.802, , ,9.8,1.9, , , ,3.9,17.2
Willie Naulls,SF,28,NYK,23, ,676,8.3,20.0,.413, , , ,8.3,20.0,.413,4.2,5.1,.813, , ,10.7,2.3, , , ,2.2,20.7
Willie Naulls,SF,28,SFW,47, ,1225,6.3,15.0,.420, , , ,6.3,15.0,.420,2.6,3.3,.793, , ,9.3,1.7, , , ,4.8,15.2
Don Nelson*,SF,22,CHZ,62, ,1071,4.3,9.8,.440, , , ,4.3,9.8,.440,5.4,7.4,.729, , ,9.4,2.4, , , ,4.6,14.1
Paul Neumann,PG,25,SYR,80, ,1581,5.4,11.5,.471, , , ,5.4,11.5,.471,4.1,5.1,.815, , ,4.6,5.2, , , ,5.0,14.9
Bevo Nordmann,C,23,TOT,53, ,1000,5.6,11.5,.489, , , ,5.6,11.5,.489,2.1,4.4,.484, , ,11.4,1.7, , , ,5.6,13.4
Bevo Nordmann,C,23,STL,27, ,271,4.8,10.6,.450, , , ,4.8,10.6,.450,2.8,5.2,.538, , ,11.3,1.1, , , ,6.5,12.4
Bevo Nordmann,C,23,NYK,26, ,729,5.9,11.8,.502, , , ,5.9,11.8,.502,1.9,4.1,.458, , ,11.4,1.9, , , ,5.3,13.7
Mel Nowell,SG,23,CHZ,39, ,589,5.6,14.5,.388, , , ,5.6,14.5,.388,2.9,4.0,.727, , ,4.1,5.1, , , ,5.3,14.2
Don Ohl,SG,26,DET,80, ,2961,7.7,17.6,.439, , , ,7.7,17.6,.439,3.3,4.6,.724, , ,2.9,4.0, , , ,2.8,18.8
Bud Olsen,PF,22,CIN,52, ,373,4.2,12.8,.323, , , ,4.2,12.8,.323,2.6,3.8,.692, , ,10.1,4.1, , , ,7.5,10.9
Bob Pettit*,PF,30,STL,79, ,3090,9.1,20.3,.446, , , ,9.1,20.3,.446,8.0,10.3,.774, , ,13.9,2.9, , , ,3.3,26.1
Gary Phillips,SG,23,SFW,75, ,1801,5.1,12.9,.398, , , ,5.1,12.9,.398,1.9,3.0,.638, , ,4.5,2.7, , , ,3.7,12.2
Dave Piontek,SF,28,CIN,48, ,457,4.7,12.4,.380, , , ,4.7,12.4,.380,0.8,1.3,.625, , ,7.6,2.0, , , ,5.3,10.2
Frank Ramsey*,SG,31,BOS,77, ,1541,6.6,17.4,.382, , , ,6.6,17.4,.382,6.3,7.8,.816, , ,6.7,2.2, , , ,6.1,19.6
Hub Reed,C,26,CIN,80, ,1299,5.5,11.8,.466, , , ,5.5,11.8,.466,2.1,2.7,.755, , ,11.0,2.3, , , ,7.2,13.1
Joe Roberts,PF,26,SYR,33, ,466,5.6,15.1,.372, , , ,5.6,15.1,.372,2.7,3.9,.686, , ,12.0,1.2, , , ,5.1,14.0
Oscar Robertson*,PG,24,CIN,80, ,3521,8.4,16.3,.518, , , ,8.4,16.3,.518,6.3,7.8,.810, , ,8.5,7.8, , , ,3.0,23.1
Guy Rodgers*,PG,27,SFW,79, ,3249,4.9,12.7,.387, , , ,4.9,12.7,.387,2.3,3.2,.727, , ,4.4,9.1, , , ,3.3,12.2
John Rudometkin,SF,22,NYK,56, ,572,6.8,19.3,.352, , , ,6.8,19.3,.352,4.6,6.0,.768, , ,9.4,1.9, , , ,3.7,18.2
Bill Russell*,C,28,BOS,78, ,3500,5.3,12.2,.432, , , ,5.3,12.2,.432,3.0,5.3,.555, , ,19.0,3.6, , , ,1.9,13.5
Tom Sanders*,SF,24,BOS,80, ,2148,5.7,12.5,.456, , , ,5.7,12.5,.456,3.1,4.2,.738, , ,9.7,1.6, , , ,4.4,14.5
Woody Sauldsberry,PF,28,TOT,77, ,2034,6.5,17.1,.379, , , ,6.5,17.1,.379,1.9,2.9,.656, , ,7.9,1.4, , , ,4.1,14.8
Woody Sauldsberry,F-C,28,CHZ,54, ,1664,6.6,17.1,.384, , , ,6.6,17.1,.384,1.9,2.8,.685, , ,7.9,1.4, , , ,3.7,15.1
Woody Sauldsberry,PF,28,STL,23, ,370,6.0,16.9,.356, , , ,6.0,16.9,.356,1.8,3.2,.545, , ,7.8,1.2, , , ,5.7,13.8
Dolph Schayes*,PF,34,SYR,66, ,1438,5.6,14.4,.388, , , ,5.6,14.4,.388,4.5,5.2,.879, , ,9.4,4.4, , , ,4.4,15.7
Ray Scott,PF,24,DET,76, ,2538,6.5,15.7,.414, , , ,6.5,15.7,.414,4.4,6.5,.674, , ,11.0,2.7, , , ,3.7,17.4
Kenny Sears,SF,29,TOT,77, ,1141,5.1,9.6,.530, , , ,5.1,9.6,.530,4.1,5.3,.780, , ,6.5,3.0, , , ,4.0,14.3
Kenny Sears,F,29,NYK,23, ,359,4.8,9.2,.522, , , ,4.8,9.2,.522,2.6,4.6,.565, , ,6.7,4.0, , , ,2.9,12.2
Kenny Sears,SF,29,SFW,54, ,782,5.2,9.8,.533, , , ,5.2,9.8,.533,4.8,5.6,.861, , ,6.4,2.5, , , ,4.6,15.2
Frank Selvy,SG,30,LAL,80, ,2369,4.8,11.4,.424, , , ,4.8,11.4,.424,2.9,4.1,.714, , ,4.4,4.3, , , ,2.3,12.6
Lee Shaffer,SF,23,SYR,80, ,2392,9.0,21.0,.429, , , ,9.0,21.0,.429,4.4,5.6,.784, , ,7.9,1.5, , , ,3.7,22.4
Gene Shue,PG,31,NYK,78, ,2288,5.6,14.1,.396, , , ,5.6,14.1,.396,3.3,4.8,.689, , ,3.0,4.1, , , ,2.7,14.4
Jeff Slade,F,21,CHZ,3, ,20,3.6,9.0,.400, , , ,3.6,9.0,.400,0.0,1.8,.000, , ,12.6,0.0, , , ,5.4,7.2
Adrian Smith,SG,26,CIN,79, ,1522,5.7,12.9,.443, , , ,5.7,12.9,.443,5.3,6.5,.811, , ,4.1,3.3, , , ,3.7,16.7
Larry Staverman,PF,26,CHZ,33, ,602,5.6,11.6,.485, , , ,5.6,11.6,.485,2.9,3.7,.790, , ,9.4,2.6, , , ,5.6,14.2
Tom Stith,SF,24,NYK,25, ,209,6.4,18.9,.336, , , ,6.4,18.9,.336,0.5,1.7,.300, , ,6.7,3.1, , , ,4.0,13.3
Dan Swartz,SF,28,BOS,39, ,335,6.1,16.1,.380, , , ,6.1,16.1,.380,6.6,7.7,.847, , ,9.5,2.3, , , ,9.9,18.8
Dan Tieman,PG,22,CIN,29, ,176,3.1,11.7,.263, , , ,3.1,11.7,.263,0.8,2.0,.400, , ,4.5,5.5, , , ,3.7,7.0
Gene Tormohlen,C,25,STL,7, ,47,3.8,7.7,.500, , , ,3.8,7.7,.500,1.5,7.7,.200, , ,11.5,3.8, , , ,8.4,9.2
