Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,PF,23,POR,71,1,934,6.9,13.9,.493,0.0,0.0, ,6.9,13.9,.493,2.9,3.9,.752,3.1,6.9,10.0,1.2,1.0,0.6,2.5,5.1,16.7
Mahmoud Abdul-Rauf,PG,22,DEN,81,11,1538,8.3,19.8,.421,0.7,2.2,.330,7.6,17.6,.433,2.2,2.5,.870,0.5,2.2,2.7,4.5,1.0,0.1,2.7,3.0,19.6
Mark Acres,C,29,ORL,68,6,926,3.0,5.9,.517,0.0,0.1,.333,3.0,5.8,.520,2.0,2.6,.761,3.8,6.0,9.8,0.9,1.0,0.6,1.3,5.4,8.1
Michael Adams,PG,29,WSB,78,78,2795,6.2,15.9,.393,1.6,5.0,.324,4.6,10.9,.425,4.0,4.6,.869,0.7,3.2,4.0,7.7,1.9,0.1,2.7,2.1,18.1
Rafael Addison,SF,27,NJN,76,8,1175,5.7,13.2,.433,0.4,1.5,.286,5.3,11.7,.452,1.7,2.3,.737,2.0,3.1,5.1,2.1,0.9,0.9,1.4,3.3,13.6
Mark Aguirre,SF,32,DET,75,12,1582,7.7,17.9,.431,0.3,1.6,.211,7.4,16.3,.453,3.6,5.2,.687,1.5,3.8,5.4,2.9,1.2,0.3,2.4,3.9,19.4
Danny Ainge,SG,32,POR,81,6,1595,6.7,15.3,.442,1.8,5.2,.339,5.0,10.1,.496,2.4,3.0,.824,0.9,2.4,3.3,4.6,1.6,0.3,1.6,3.3,17.7
Victor Alexander,C,22,GSW,80,28,1350,6.5,12.2,.529,0.0,0.0,.000,6.5,12.2,.531,2.7,4.0,.691,2.8,6.1,9.0,0.9,1.2,1.7,2.4,4.7,15.7
Greg Anderson,PF,27,DEN,82,82,2793,5.0,11.0,.456,0.0,0.1,.000,5.0,11.0,.458,2.2,3.5,.623,4.3,7.8,12.1,1.0,1.1,0.8,2.6,3.4,12.2
Kenny Anderson,PG,21,NJN,64,13,1086,6.2,15.9,.390,0.1,0.4,.231,6.1,15.5,.394,2.4,3.2,.745,1.3,3.0,4.2,6.7,2.2,0.3,3.2,2.3,14.9
Nick Anderson,SG,24,ORL,60,59,2203,7.9,17.0,.463,0.5,1.4,.353,7.4,15.6,.472,3.3,5.0,.667,1.6,4.7,6.3,2.7,1.6,0.5,2.1,2.2,19.5
