Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mahmoud Abdul-Rauf,PG,26,DEN,57,53,2029,7.3,16.9,.434,2.1,5.5,.392,5.2,11.5,.454,2.6,2.8,.930,0.5,2.0,2.4,6.9,1.1,0.1,2.0,2.1,19.4
Michael Adams,PG,33,CHH,21,3,329,4.0,9.1,.446,1.5,4.5,.341,2.5,4.6,.548,2.8,3.8,.743,0.5,1.9,2.4,7.3,2.3,0.4,2.7,2.7,12.5
Rafael Addison,SF,31,CHH,53,0,516,5.4,11.5,.467,0.0,0.6,.000,5.4,10.9,.494,1.2,1.5,.773,1.7,4.5,6.3,2.1,0.6,0.6,1.9,5.2,11.9
Cory Alexander,PG,22,SAS,60,0,560,4.1,10.0,.406,1.7,4.2,.394,2.4,5.7,.416,1.0,1.6,.640,0.6,2.1,2.7,7.8,1.7,0.1,4.4,6.0,10.8
Jerome Allen,SG,23,MIN,41,0,362,3.6,10.4,.343,1.0,3.3,.303,2.6,7.2,.361,2.6,3.6,.722,0.5,2.0,2.5,4.9,2.1,0.5,3.4,4.2,10.7
Derrick Alston,C,23,PHI,73,41,1614,4.4,8.6,.512,0.0,0.1,.333,4.4,8.6,.513,1.2,2.5,.491,2.8,3.9,6.7,1.4,1.2,1.2,1.3,4.3,10.1
John Amaechi,PF,25,CLE,28,3,357,2.9,7.1,.414,0.0,0.0, ,2.9,7.1,.414,1.9,3.3,.576,1.3,3.9,5.2,0.9,0.6,1.1,3.4,4.9,7.8
Ashraf Amaya,PF,24,VAN,54,34,1104,3.9,8.2,.480,0.0,0.0,.000,3.9,8.2,.482,3.2,4.9,.651,3.7,6.2,9.9,1.1,0.7,0.3,1.9,4.9,11.1
Greg Anderson,PF,31,SAS,46,7,344,2.5,4.9,.511,0.0,0.1,.000,2.5,4.8,.522,0.6,2.6,.240,3.0,7.4,10.5,1.0,0.9,2.5,2.3,6.9,5.7
Kenny Anderson,PG,25,TOT,69,64,2344,5.4,12.8,.418,1.4,3.9,.359,3.9,8.9,.445,4.0,5.2,.769,1.0,2.2,3.1,8.8,1.7,0.2,2.2,2.7,16.1
Kenny Anderson,PG,25,NJN,31,28,1042,4.9,13.1,.376,1.2,3.4,.364,3.7,9.7,.381,5.2,6.5,.803,1.3,2.2,3.5,8.5,1.8,0.3,2.0,2.5,16.3
Kenny Anderson,PG,25,CHH,38,36,1302,5.7,12.6,.454,1.5,4.3,.357,4.1,8.2,.505,3.0,4.1,.727,0.7,2.1,2.8,9.1,1.6,0.2,2.4,2.9,16.0
Nick Anderson,SG,28,ORL,77,77,2717,5.3,12.0,.442,2.2,5.7,.391,3.1,6.3,.489,2.2,3.2,.692,1.2,4.3,5.5,3.7,1.6,0.6,1.9,1.8,15.0
Willie Anderson,SG,29,TOT,76,44,2060,5.0,11.5,.436,0.6,2.1,.283,4.4,9.4,.470,2.3,2.8,.810,0.8,3.5,4.3,3.4,1.3,1.0,2.5,4.0,13.0
Willie Anderson,SG,29,TOR,49,42,1564,5.3,12.1,.440,0.7,2.2,.305,4.7,9.9,.470,2.6,3.0,.856,0.8,3.5,4.3,3.4,1.3,1.2,2.7,3.9,13.9
Willie Anderson,SG,29,NYK,27,2,496,4.1,9.7,.421,0.4,1.8,.200,3.7,7.8,.472,1.4,2.3,.613,0.9,3.4,4.4,3.5,1.2,0.6,1.7,4.3,9.9
Greg Anthony,PG,28,VAN,69,68,2096,5.6,13.4,.415,1.5,4.7,.332,4.0,8.8,.459,3.9,5.1,.771,0.5,2.5,3.0,8.2,2.0,0.2,2.7,2.4,16.6
B.J. Armstrong,PG,28,GSW,82,64,2262,5.4,11.6,.468,1.6,3.3,.473,3.9,8.3,.465,3.7,4.4,.839,0.4,2.6,2.9,6.4,1.1,0.1,2.0,2.3,16.1
Darrell Armstrong,PG,27,ORL,13,0,41,14.0,28.1,.500,5.3,10.5,.500,8.8,17.6,.500,3.5,3.5,1.000,0.0,1.8,1.8,4.4,5.3,0.0,5.3,3.5,36.9
Vincent Askew,SG,29,SEA,69,2,1725,4.5,9.1,.493,0.6,1.8,.337,3.9,7.3,.531,2.6,3.4,.764,1.4,3.2,4.5,3.4,1.0,0.3,2.0,3.7,12.1
Keith Askins,SF,28,MIA,75,14,1897,3.0,7.4,.402,1.9,4.5,.418,1.1,2.9,.377,0.9,1.1,.789,2.1,4.0,6.1,2.3,0.9,1.2,1.6,5.1,8.7
Stacey Augmon,SF,27,ATL,77,49,2294,5.7,11.6,.491,0.0,0.1,.250,5.7,11.5,.492,3.9,5.0,.792,2.1,2.6,4.8,2.1,1.7,0.5,2.2,3.0,15.3
Anthony Avent,PF,26,VAN,71,32,1586,4.1,10.6,.384,0.0,0.0, ,4.1,10.6,.384,1.3,1.7,.740,2.5,5.6,8.1,1.6,0.7,1.0,2.4,4.6,9.4
Vin Baker,PF,24,MIL,82,82,3319,7.6,15.5,.489,0.1,0.5,.208,7.5,15.0,.499,3.5,5.2,.670,2.9,5.9,8.8,2.3,0.7,1.0,2.3,3.0,18.8
Steve Bardo,SG,27,DET,9,0,123,2.6,6.7,.391,0.0,1.2,.000,2.6,5.6,.474,1.2,1.8,.667,0.6,5.9,6.4,4.4,1.2,0.3,1.5,5.0,6.4
Charles Barkley*,PF,32,PHO,71,71,2632,7.9,15.9,.500,0.7,2.4,.280,7.3,13.5,.539,6.0,7.7,.777,3.3,7.9,11.2,3.6,1.6,0.8,3.0,2.8,22.6
Dana Barros,PG,28,BOS,80,25,2328,5.9,12.5,.470,2.3,5.7,.408,3.5,6.8,.523,2.0,2.3,.884,0.3,2.6,3.0,4.7,0.9,0.0,1.9,1.8,16.1
Brent Barry,SG,24,LAC,79,44,1898,5.4,11.3,.474,2.3,5.6,.416,3.0,5.7,.532,2.1,2.6,.810,0.7,2.5,3.2,4.4,1.8,0.4,2.3,3.7,15.2
Jon Barry,SG,26,GSW,68,0,712,4.6,9.4,.492,2.2,4.7,.473,2.4,4.7,.511,1.6,1.9,.838,0.9,2.3,3.2,4.3,1.7,0.6,2.1,2.6,13.0
Corey Beck,PG,24,CHH,5,0,33,2.2,8.7,.250,0.0,0.0, ,2.2,8.7,.250,1.1,2.2,.500,3.3,4.4,7.6,5.5,1.1,0.0,4.4,8.7,5.5
Benoit Benjamin,C,31,TOT,83,71,1896,5.6,11.2,.498,0.0,0.1,.000,5.6,11.1,.501,2.7,3.7,.722,2.7,7.6,10.2,1.2,0.9,1.6,2.7,4.3,13.8
Benoit Benjamin,C,31,VAN,13,13,404,6.3,14.3,.441,0.0,0.0, ,6.3,14.3,.441,3.5,5.0,.696,2.8,6.4,9.2,1.4,0.9,1.3,3.0,3.6,16.1
Benoit Benjamin,C,31,MIL,70,58,1492,5.4,10.4,.520,0.0,0.1,.000,5.4,10.3,.523,2.4,3.3,.732,2.7,7.9,10.5,1.2,0.8,1.7,2.7,4.4,13.2
Elmer Bennett,PG,25,PHI,8,0,66,2.2,9.3,.235,0.0,0.0, ,2.2,9.3,.235,1.6,2.2,.750,0.5,2.2,2.7,4.4,0.5,0.5,3.8,3.3,6.0
Mario Bennett,SF,22,PHO,19,14,230,4.5,10.0,.453,0.0,0.2,.000,4.5,9.9,.460,4.2,6.6,.643,3.3,4.4,7.7,0.9,1.7,1.7,1.7,7.2,13.3
David Benoit,SF,27,UTA,81,63,1961,4.7,10.7,.439,1.2,3.5,.333,3.5,7.1,.491,1.6,2.1,.777,1.7,5.4,7.0,1.5,0.8,0.9,1.3,3.0,12.1
Travis Best,PG,23,IND,59,1,571,4.4,10.3,.423,0.5,1.6,.320,3.8,8.7,.442,4.7,5.7,.833,0.7,2.1,2.8,6.1,1.3,0.2,4.0,5.0,13.9
Mookie Blaylock,PG,28,ATL,81,81,2893,5.7,14.0,.405,2.9,7.8,.371,2.8,6.2,.448,1.6,2.1,.747,1.4,2.8,4.1,5.9,2.6,0.2,2.3,1.9,15.8
Corie Blount,PF,27,LAL,57,2,715,4.0,8.4,.473,0.0,0.1,.000,4.0,8.3,.479,1.3,2.2,.568,3.5,5.1,8.6,2.1,1.3,1.8,2.4,5.5,9.2
Muggsy Bogues,PG,31,CHH,6,0,77,2.8,7.5,.375,0.0,0.5,.000,2.8,7.0,.400,0.9,0.9,1.000,2.8,0.5,3.3,8.9,0.9,0.0,2.8,1.9,6.5
Anthony Bonner,PF,27,ORL,4,0,43,4.2,12.6,.333,0.0,0.0, ,4.2,12.6,.333,2.5,5.9,.429,5.0,10.9,15.9,3.3,2.5,0.0,2.5,9.2,10.9
Melvin Booker,PG,23,HOU,11,0,131,4.4,13.7,.320,0.8,5.2,.158,3.6,8.5,.419,2.5,3.0,.818,0.3,2.2,2.5,5.8,1.4,0.3,3.3,4.9,12.1
Anthony Bowie,SG,32,ORL,74,4,1078,4.3,9.1,.471,0.4,1.0,.387,3.9,8.0,.481,1.3,1.5,.870,1.3,2.8,4.1,3.5,1.1,0.3,1.8,3.7,10.3
