Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Abrines,SG,25,OKC,31,2,588,3.4,9.6,.357,2.5,7.8,.323,0.9,1.8,.500,0.7,0.8,.923,0.3,2.6,2.9,1.2,1.0,0.4,0.9,3.2,10.1
Quincy Acy,PF,28,PHO,10,0,123,1.2,5.3,.222,0.6,4.4,.133,0.6,0.9,.667,2.0,2.9,.700,0.9,6.4,7.3,2.3,0.3,1.2,1.2,7.0,5.0
Jaylen Adams,PG,22,ATL,10,0,45,3.2,9.6,.333,2.4,5.6,.429,0.8,4.0,.200,1.6,1.6,1.000,0.8,2.4,3.2,4.8,2.4,0.8,1.6,3.2,10.4
Steven Adams,C,25,OKC,52,52,1758,6.9,11.3,.611,0.0,0.0,.000,6.9,11.2,.612,2.4,4.4,.551,4.9,5.4,10.4,1.8,1.6,0.8,1.7,2.7,16.2
Bam Adebayo,C,21,MIA,53,6,1167,4.8,8.6,.561,0.0,0.3,.111,4.8,8.3,.576,3.3,4.6,.711,3.3,7.6,10.9,3.2,1.2,1.2,2.3,4.2,12.9
Deng Adel,SF,21,CLE,9,2,129,2.2,6.4,.348,1.1,4.2,.267,1.1,2.2,.500,0.6,0.6,1.000,0.6,2.8,3.3,1.1,0.3,1.1,1.1,2.5,6.1
DeVaughn Akoon-Purcell,SG,25,DEN,7,0,22,4.9,16.4,.300,0.0,6.5,.000,4.9,9.8,.500,1.6,3.3,.500,1.6,4.9,6.5,9.8,3.3,0.0,3.3,6.5,11.5
LaMarcus Aldridge,C,33,SAS,56,56,1829,9.1,17.8,.512,0.1,0.4,.190,9.0,17.4,.520,4.9,5.8,.851,3.4,6.4,9.9,2.8,0.6,1.3,2.1,2.4,23.2
Rawle Alkins,SG,21,CHI,2,0,4,9.0,36.0,.250,9.0,9.0,1.000,0.0,27.0,.000,0.0,0.0, ,27.0,0.0,27.0,18.0,9.0,0.0,0.0,0.0,27.0
Grayson Allen,SG,23,UTA,27,1,273,4.4,14.1,.308,2.4,8.8,.269,2.0,5.3,.375,3.3,4.5,.735,0.1,1.3,1.5,2.2,0.5,0.4,2.1,4.0,14.4
Jarrett Allen,C,20,BRK,55,55,1467,5.8,10.0,.577,0.1,0.8,.147,5.7,9.2,.616,3.4,4.5,.745,3.5,8.2,11.7,2.0,0.8,2.1,1.9,3.0,15.1
