Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jay Arnette,PG,25,CIN,48, ,501,5.1,14.1,.362, , , ,5.1,14.1,.362,3.0,3.9,.778, , ,3.9,5.1, , , ,7.5,13.2
Al Attles,PG,27,SFW,70, ,1883,5.5,12.2,.452, , , ,5.5,12.2,.452,3.5,5.3,.673, , ,4.5,3.8, , , ,4.8,14.6
Dick Barnett,SG,27,LAL,78, ,2620,7.4,16.4,.452, , , ,7.4,16.4,.452,4.8,6.2,.773, , ,3.4,3.3, , , ,3.2,19.7
John Barnhill,SG,25,STL,74, ,1367,5.5,13.3,.412, , , ,5.5,13.3,.412,1.8,3.0,.609, , ,4.1,3.8, , , ,2.8,12.8
Elgin Baylor*,SF,29,LAL,78, ,3164,8.6,20.2,.425, , , ,8.6,20.2,.425,5.4,6.7,.804, , ,10.6,3.9, , , ,2.7,22.6
Zelmo Beaty*,C,24,STL,59, ,1922,5.4,12.1,.444, , , ,5.4,12.1,.444,3.7,5.1,.741, , ,11.9,1.5, , , ,4.9,14.5
Walt Bellamy*,C,24,BAL,80, ,3394,8.6,16.8,.513, , , ,8.6,16.8,.513,5.7,8.8,.651, , ,14.4,1.3, , , ,3.2,22.9
Al Bianchi,PG,31,PHI,78, ,1437,6.4,17.1,.376, , , ,6.4,17.1,.376,2.7,3.5,.773, , ,3.7,3.7, , , ,6.2,15.6
Bucky Bockhorn,SG,30,CIN,70, ,1670,5.2,12.7,.412, , , ,5.2,12.7,.412,2.1,2.7,.762, , ,4.4,3.7, , , ,4.9,12.5
Bob Boozer,SF,26,TOT,81, ,2379,7.1,16.6,.427, , , ,7.1,16.6,.427,4.1,5.7,.723, , ,9.0,1.5, , , ,3.5,18.3
Bob Boozer,SF,26,CIN,32, ,727,6.9,16.5,.416, , , ,6.9,16.5,.416,3.7,5.9,.622, , ,8.8,1.6, , , ,4.1,17.4
Bob Boozer,SF,26,NYK,49, ,1652,7.2,16.6,.432, , , ,7.2,16.6,.432,4.3,5.6,.770, , ,9.1,1.4, , , ,3.2,18.7
Bill Bridges,PF,24,STL,80, ,1949,5.0,12.5,.397, , , ,5.0,12.5,.397,2.7,4.1,.652, , ,12.6,3.3, , , ,5.0,12.6
Dave Budd,SF,25,NYK,73, ,1031,4.5,10.4,.431, , , ,4.5,10.4,.431,2.9,4.0,.730, , ,9.6,2.0, , , ,4.5,11.9
Donnie Butcher,PG,27,TOT,78, ,1971,3.7,9.3,.398, , , ,3.7,9.3,.398,2.9,4.7,.621, , ,6.0,4.5, , , ,4.5,10.3
Donnie Butcher,G,27,NYK,26, ,418,3.2,9.9,.322, , , ,3.2,9.9,.322,3.6,5.7,.636, , ,5.8,5.7, , , ,4.6,10.0
Donnie Butcher,PG,27,DET,52, ,1553,3.8,9.1,.421, , , ,3.8,9.1,.421,2.7,4.4,.616, , ,6.1,4.1, , , ,4.5,10.4
Al Butler,PG,25,NYK,76, ,1379,6.8,16.1,.422, , , ,6.8,16.1,.422,3.6,4.9,.738, , ,4.4,4.1, , , ,4.4,17.2
Barney Cable,SF,28,BAL,71, ,1125,3.7,9.3,.400, , , ,3.7,9.3,.400,0.9,1.3,.667, , ,9.6,1.5, , , ,5.3,8.3
Wilt Chamberlain*,C,27,SFW,80, ,3689,11.7,22.4,.524, , , ,11.7,22.4,.524,5.3,9.9,.531, , ,17.4,3.9, , , ,1.8,28.8
Len Chappell,PF,23,TOT,79, ,2505,7.6,17.0,.448, , , ,7.6,17.0,.448,4.1,5.8,.715, , ,11.1,1.2, , , ,3.1,19.4
Len Chappell,F-C,23,PHI,1, ,16,0.0,4.5,.000, , , ,0.0,4.5,.000,2.3,4.5,.500, , ,9.0,0.0, , , ,4.5,2.3
Len Chappell,PF,23,NYK,78, ,2489,7.7,17.1,.449, , , ,7.7,17.1,.449,4.2,5.8,.716, , ,11.1,1.2, , , ,3.1,19.5
Larry Comley,G,24,BAL,12, ,89,3.2,15.0,.216, , , ,3.2,15.0,.216,3.6,6.5,.563, , ,7.7,4.9, , , ,4.4,10.1
Gene Conley,PF,33,NYK,46, ,551,4.8,12.3,.392, , , ,4.8,12.3,.392,2.9,4.2,.677, , ,10.2,1.4, , , ,8.1,12.5
Larry Costello,PG,32,PHI,45, ,1137,6.0,12.9,.468, , , ,6.0,12.9,.468,4.7,5.4,.865, , ,3.3,5.3, , , ,4.7,16.7
Dave DeBusschere*,SF,23,DET,15, ,304,6.2,15.8,.391, , , ,6.2,15.8,.391,3.0,5.1,.581, , ,12.4,2.7, , , ,3.8,15.3
Connie Dierking,C,27,PHI,76, ,1286,5.3,14.4,.372, , , ,5.3,14.4,.372,3.2,4.7,.675, , ,11.8,1.4, , , ,6.2,13.9
Terry Dischinger,SF,23,BAL,80, ,2816,7.7,15.6,.496, , , ,7.7,15.6,.496,5.8,7.5,.776, , ,8.5,2.0, , , ,4.1,21.2
Bob Duffy,PG,23,TOT,48, ,662,5.1,12.5,.410, , , ,5.1,12.5,.410,2.4,3.5,.677, , ,3.3,4.3, , , ,2.6,12.6
Bob Duffy,PG,23,STL,2, ,6,6.0,18.0,.333, , , ,6.0,18.0,.333,0.0,6.0,.000, , ,6.0,0.0, , , ,0.0,12.0
Bob Duffy,PG,23,NYK,4, ,50,3.6,13.7,.263, , , ,3.6,13.7,.263,4.3,5.8,.750, , ,4.3,3.6, , , ,0.0,11.5
Bob Duffy,PG,23,DET,42, ,606,5.2,12.3,.425, , , ,5.2,12.3,.425,2.3,3.3,.679, , ,3.2,4.4, , , ,2.9,12.7
Johnny Egan,PG,25,TOT,66, ,2326,5.2,11.7,.441, , , ,5.2,11.7,.441,3.0,3.8,.794, , ,3.0,5.5, , , ,2.8,13.3
Johnny Egan,PG,25,DET,24, ,838,4.5,11.0,.410, , , ,4.5,11.0,.410,2.4,2.9,.838, , ,2.7,5.0, , , ,3.3,11.5
Johnny Egan,PG,25,NYK,42, ,1488,5.5,12.1,.456, , , ,5.5,12.1,.456,3.3,4.2,.777, , ,3.1,5.9, , , ,2.5,14.4
Leroy Ellis,C,23,LAL,78, ,1459,4.9,11.7,.423, , , ,4.9,11.7,.423,2.8,4.2,.659, , ,12.3,1.0, , , ,4.7,12.6
Wayne Embry*,C,26,CIN,80, ,2915,6.9,15.0,.458, , , ,6.9,15.0,.458,3.3,5.1,.650, , ,11.4,1.4, , , ,4.0,17.1
Mike Farmer,SF,27,STL,76, ,1361,4.7,11.6,.406, , , ,4.7,11.6,.406,1.8,2.2,.819, , ,6.0,2.9, , , ,3.7,11.2
Bob Ferry,C,26,DET,74, ,1522,7.0,15.8,.445, , , ,7.0,15.8,.445,4.4,6.6,.667, , ,10.1,2.2, , , ,4.1,18.5
Dave Gambee,SF,26,PHI,41, ,927,5.8,14.7,.394, , , ,5.8,14.7,.394,5.9,7.2,.816, , ,9.9,1.4, , , ,6.3,17.4
Mel Gibson,G,23,LAL,9, ,53,4.1,13.6,.300, , , ,4.1,13.6,.300,0.7,1.4,.500, , ,2.7,4.1, , , ,6.8,8.8
Tom Gola*,SG,31,NYK,74, ,2156,4.3,10.1,.429, , , ,4.3,10.1,.429,2.6,3.5,.726, , ,7.8,4.3, , , ,4.6,11.2
Johnny Green,PF,30,NYK,80, ,2134,8.1,17.3,.470, , , ,8.1,17.3,.470,3.3,6.6,.497, , ,13.5,2.6, , , ,4.1,19.6
Si Green,PG,30,BAL,75, ,2064,5.0,12.1,.415, , , ,5.0,12.1,.415,3.5,5.1,.683, , ,4.9,3.7, , , ,3.9,13.5
Jerry Greenspan,SG,22,PHI,20, ,280,4.1,11.6,.356, , , ,4.1,11.6,.356,4.4,6.4,.680, , ,9.3,1.4, , , ,6.9,12.6
Hal Greer*,SG,27,PHI,80, ,3157,8.2,18.4,.444, , , ,8.2,18.4,.444,5.0,6.0,.829, , ,5.5,4.3, , , ,3.3,21.3
Richie Guerin*,SG,31,TOT,80, ,2366,5.3,12.9,.415, , , ,5.3,12.9,.415,5.3,6.5,.818, , ,3.9,5.7, , , ,4.2,16.0
Richie Guerin*,SG,31,NYK,2, ,26,15.2,22.2,.688, , , ,15.2,22.2,.688,5.5,6.9,.800, , ,4.2,5.5, , , ,6.9,36.0
Richie Guerin*,SG,31,STL,78, ,2340,5.2,12.8,.410, , , ,5.2,12.8,.410,5.3,6.4,.819, , ,3.9,5.7, , , ,4.2,15.7
Cliff Hagan*,SF,32,STL,77, ,2279,9.0,20.2,.447, , , ,9.0,20.2,.447,4.2,5.2,.813, , ,6.0,3.0, , , ,4.3,22.3
Reggie Harding,C,21,DET,39, ,1158,5.7,14.3,.400, , , ,5.7,14.3,.400,1.9,3.0,.622, , ,12.7,1.6, , , ,3.7,13.3
Charlie Hardnett,PF,25,BAL,66, ,617,6.2,15.2,.412, , , ,6.2,15.2,.412,4.9,7.3,.672, , ,14.6,1.6, , , ,6.7,17.4
Jerry Harkness,PG,23,NYK,5, ,59,7.9,18.3,.433, , , ,7.9,18.3,.433,1.8,4.9,.375, , ,3.7,3.7, , , ,2.4,17.7
John Havlicek*,SF,23,BOS,80, ,2587,8.9,21.4,.417, , , ,8.9,21.4,.417,4.4,5.9,.746, , ,6.0,3.3, , , ,3.2,22.2
Tom Hawkins,SF,27,CIN,73, ,1770,5.2,11.8,.441, , , ,5.2,11.8,.441,2.3,3.8,.601, , ,8.8,1.5, , , ,4.0,12.7
Tom Heinsohn*,PF,29,BOS,76, ,2040,8.6,21.6,.398, , , ,8.6,21.6,.398,5.0,6.0,.827, , ,8.1,3.2, , , ,4.7,22.2
Art Heyman,SG,22,NYK,75, ,2236,7.0,16.1,.431, , , ,7.0,16.1,.431,4.7,6.8,.685, , ,4.8,4.1, , , ,3.7,18.6
Wayne Hightower,PF,24,SFW,79, ,2536,5.6,14.5,.385, , , ,5.6,14.5,.385,3.7,4.7,.790, , ,8.0,1.9, , , ,3.8,14.8
Gary Hill,SG,22,SFW,67, ,1015,5.2,13.6,.380, , , ,5.2,13.6,.380,1.8,2.7,.662, , ,4.0,3.7, , , ,5.9,12.2
Paul Hogue,C,23,TOT,15, ,147,2.9,7.3,.400, , , ,2.9,7.3,.400,0.5,1.7,.286, , ,7.6,1.5, , , ,8.6,6.4
Paul Hogue,C,23,NYK,6, ,89,3.6,6.5,.563, , , ,3.6,6.5,.563,0.4,2.0,.200, , ,6.1,2.0, , , ,6.1,7.7
Paul Hogue,C,23,BAL,9, ,58,1.9,8.7,.214, , , ,1.9,8.7,.214,0.6,1.2,.500, , ,9.9,0.6, , , ,12.4,4.3
Tom Hoover,C,23,NYK,59, ,988,3.7,9.0,.413, , , ,3.7,9.0,.413,3.0,4.8,.614, , ,12.1,1.3, , , ,6.7,10.4
Bailey Howell*,SF,27,DET,77, ,2700,8.0,16.9,.472, , , ,8.0,16.9,.472,6.3,7.7,.809, , ,10.3,2.7, , , ,3.9,22.2
Darrall Imhoff,C,25,DET,58, ,871,4.3,10.4,.414, , , ,4.3,10.4,.414,2.9,4.7,.605, , ,11.7,2.3, , , ,6.9,11.4
Gus Johnson*,PF,25,BAL,78, ,2847,7.2,16.8,.430, , , ,7.2,16.8,.430,2.7,4.0,.658, , ,13.5,2.1, , , ,4.1,17.1
K.C. Jones*,PG,31,BOS,80, ,2424,4.2,10.7,.392, , , ,4.2,10.7,.392,1.3,2.5,.524, , ,5.5,6.0, , , ,3.8,9.7
Sam Jones*,SG,30,BOS,76, ,2381,9.3,20.5,.450, , , ,9.3,20.5,.450,3.8,4.8,.783, , ,5.3,3.1, , , ,2.9,22.3
Willie Jones,PG,27,DET,77, ,1539,6.2,15.9,.390, , , ,6.2,15.9,.390,2.3,3.3,.709, , ,5.9,4.0, , , ,4.9,14.7
