Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Arizin*,SF,23,PHW,66, ,2939,6.7,15.0,.448, , , ,6.7,15.0,.448,7.1,8.7,.818, , ,9.1,2.1, , , ,3.1,20.5
Cliff Barker,SG,31,INO,44, ,494,3.5,11.7,.298, , , ,3.5,11.7,.298,2.2,3.7,.588, , ,5.9,5.1, , , ,4.1,9.2
Don Barksdale*,PF,28,BLB,62, ,2014,4.9,14.4,.338, , , ,4.9,14.4,.338,4.2,6.1,.691, , ,10.7,2.4, , , ,4.1,14.0
Leo Barnhorst,SF,27,INO,66, ,2344,5.4,13.8,.389, , , ,5.4,13.8,.389,1.9,2.9,.652, , ,6.6,3.9, , , ,3.0,12.6
Elmer Behnke,C,22,MLH,4, ,55,3.9,14.4,.273, , , ,3.9,14.4,.273,2.6,4.6,.571, , ,11.1,2.6, , , ,8.5,10.5
Charlie Black,F-C,30,MLH,13, ,117,1.8,9.5,.194, , , ,1.8,9.5,.194,1.5,3.7,.417, , ,9.5,2.8, , , ,9.5,5.2
Nelson Bobb,PG,27,PHW,62, ,1192,3.3,9.2,.359, , , ,3.3,9.2,.359,3.0,5.0,.593, , ,4.4,5.1, , , ,5.5,9.6
Vince Boryla,SF,24,NYK,42, ,1440,5.0,13.1,.387, , , ,5.0,13.1,.387,2.4,2.9,.835, , ,5.5,2.3, , , ,3.0,12.5
Don Boven,SG,26,MLH,66, ,1982,3.6,12.1,.299, , , ,3.6,12.1,.299,4.6,6.4,.731, , ,6.1,3.2, , , ,4.9,11.9
Bob Brannum,PF,26,BOS,66, ,1324,4.1,11.0,.369, , , ,4.1,11.0,.369,2.9,4.6,.626, , ,11.0,2.1, , , ,6.4,11.0
Frankie Brian,SG,28,FTW,66, ,2672,4.6,13.1,.352, , , ,4.6,13.1,.352,4.9,5.8,.848, , ,3.1,3.1, , , ,3.0,14.2
Stan Brown,F,22,PHW,15, ,141,5.6,16.1,.349, , , ,5.6,16.1,.349,2.6,4.6,.556, , ,4.3,2.3, , , ,8.2,13.8
Walt Budko,PF,26,PHW,63, ,1126,3.1,7.7,.404, , , ,3.1,7.7,.404,1.9,2.8,.674, , ,7.4,2.9, , , ,6.3,8.1
Art Burris,SF,27,TOT,41, ,514,2.9,10.9,.269, , , ,2.9,10.9,.269,1.8,2.7,.667, , ,6.9,1.9, , , ,4.8,7.7
Art Burris,SF,27,FTW,29, ,245,2.6,11.0,.240, , , ,2.6,11.0,.240,1.0,1.8,.583, , ,7.2,1.6, , , ,5.7,6.3
Art Burris,SF,27,MLH,12, ,269,3.2,10.8,.296, , , ,3.2,10.8,.296,2.5,3.6,.704, , ,6.7,2.1, , , ,4.0,9.0
Gerry Calabrese,SG,26,SYR,58, ,937,4.2,12.2,.344, , , ,4.2,12.2,.344,2.8,4.0,.709, , ,3.2,3.2, , , ,4.1,11.2
Bill Calhoun,SG,24,BLB,55, ,1594,2.9,9.2,.315, , , ,2.9,9.2,.315,2.8,4.1,.683, , ,5.7,2.6, , , ,1.9,8.6
Al Cervi*,PG,34,SYR,55, ,850,4.2,11.9,.354, , , ,4.2,11.9,.354,9.3,10.5,.883, , ,3.7,6.3, , , ,7.5,17.7
Cal Christensen,SF,24,MLH,24, ,374,2.8,9.2,.302, , , ,2.8,9.2,.302,2.9,5.5,.526, , ,7.9,3.3, , , ,4.5,8.5
Nat Clifton*,PF,29,NYK,62, ,2101,4.2,12.5,.335, , , ,4.2,12.5,.335,2.9,4.4,.664, , ,12.5,3.6, , , ,3.9,11.3
Bill Closs,SF,30,FTW,57, ,1120,3.9,12.5,.308, , , ,3.9,12.5,.308,3.4,5.0,.682, , ,6.6,2.4, , , ,4.0,11.2
Jack Coleman,PF,27,ROC,66, ,2606,4.3,10.3,.415, , , ,4.3,10.3,.415,1.7,2.3,.710, , ,9.6,2.9, , , ,3.0,10.2
Chuck Cooper,SF,25,BOS,66, ,1976,3.6,9.9,.361, , , ,3.6,9.9,.361,2.7,3.7,.741, , ,9.1,2.4, , , ,4.0,9.9
Bob Cousy*,PG,23,BOS,66, ,2681,6.9,18.6,.369, , , ,6.9,18.6,.369,5.5,6.8,.808, , ,5.7,5.9, , , ,2.6,19.2
