Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jim Baechtold,SF,25,BLB,64, ,1893,4.6,11.8,.390, , , ,4.6,11.8,.390,3.4,4.6,.738, , ,4.2,2.9, , , ,3.9,12.6
Don Barksdale*,PF,29,BLB,65, ,2298,5.0,13.0,.387, , , ,5.0,13.0,.387,4.0,6.3,.641, , ,9.4,2.6, , , ,4.3,14.1
Leo Barnhorst,SF,28,INO,71, ,2871,5.0,13.0,.389, , , ,5.0,13.0,.389,2.0,3.2,.629, , ,6.1,3.5, , , ,3.1,12.1
Nelson Bobb,PG,28,PHW,55, ,1286,3.3,8.9,.374, , , ,3.3,8.9,.374,2.9,4.5,.648, , ,4.4,5.4, , , ,4.5,9.6
Vince Boryla,SF,25,NYK,66, ,2200,4.2,11.2,.370, , , ,4.2,11.2,.370,2.7,3.3,.821, , ,3.8,2.7, , , ,3.7,11.0
Don Boven,SF,27,TOT,67, ,1373,4.0,11.2,.358, , , ,4.0,11.2,.358,3.8,5.5,.694, , ,5.7,2.1, , , ,6.0,11.8
Don Boven,F-G,27,MLH,27, ,667,4.7,11.8,.397, , , ,4.7,11.8,.397,3.6,5.8,.626, , ,5.3,1.9, , , ,5.5,13.0
Don Boven,F-G,27,BLB,23, ,329,3.3,10.6,.309, , , ,3.3,10.6,.309,5.0,6.5,.780, , ,6.7,2.5, , , ,7.4,11.6
Don Boven,SF,27,FTW,17, ,377,3.4,10.6,.324, , , ,3.4,10.6,.324,3.1,4.1,.744, , ,5.5,2.0, , , ,5.4,9.9
Bob Brannum,PF,27,BOS,71, ,1900,3.6,10.3,.348, , , ,3.6,10.3,.348,2.1,3.5,.595, , ,10.2,2.8, , , ,5.4,9.2
Jim Brasco,G,21,TOT,20, ,248,3.6,13.6,.266, , , ,3.6,13.6,.266,3.9,4.9,.794, , ,3.5,3.0, , , ,4.4,11.2
Jim Brasco,G,21,SYR,10, ,111,3.6,15.6,.229, , , ,3.6,15.6,.229,3.6,4.5,.786, , ,4.9,3.9, , , ,5.8,10.7
Jim Brasco,G,21,MLH,10, ,137,3.7,12.1,.304, , , ,3.7,12.1,.304,4.2,5.3,.800, , ,2.4,2.4, , , ,3.2,11.6
Carl Braun,SG,25,NYK,70, ,2316,5.0,12.5,.400, , , ,5.0,12.5,.400,5.1,6.2,.825, , ,3.6,3.8, , , ,4.5,15.2
Frankie Brian,SG,29,FTW,68, ,1910,4.6,13.2,.351, , , ,4.6,13.2,.351,4.4,5.6,.795, , ,2.5,2.7, , , ,3.9,13.7
Dick Bunt,PG,22,TOT,26, ,271,3.9,13.9,.276, , , ,3.9,13.9,.276,4.5,6.4,.708, , ,3.7,2.3, , , ,5.3,12.2
Dick Bunt,PG,22,NYK,14, ,146,3.0,13.1,.226, , , ,3.0,13.1,.226,4.2,6.2,.680, , ,3.2,2.5, , , ,4.4,10.1
Dick Bunt,PG,22,BLB,12, ,125,4.9,15.0,.327, , , ,4.9,15.0,.327,4.9,6.6,.739, , ,4.3,2.0, , , ,6.3,14.7
Bill Calhoun,SF,25,TOT,62, ,2148,3.0,8.9,.337, , , ,3.0,8.9,.337,3.5,4.9,.723, , ,4.6,2.6, , , ,2.3,9.6
Bill Calhoun,F-G,25,SYR,13, ,239,2.4,8.3,.291, , , ,2.4,8.3,.291,4.8,6.8,.711, , ,4.1,2.3, , , ,3.0,9.6
Bill Calhoun,SF,25,MLH,49, ,1909,3.1,9.0,.342, , , ,3.1,9.0,.342,3.4,4.7,.725, , ,4.7,2.7, , , ,2.2,9.6
