Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,C,26,OKC,46,46,1232,6.0,10.1,.600,0.0,0.0,.000,6.0,10.1,.602,2.5,4.2,.586,4.4,7.9,12.4,3.5,0.9,1.5,2.0,2.6,14.6
Bam Adebayo,PF,22,MIA,51,51,1770,6.5,11.1,.585,0.0,0.2,.091,6.5,10.9,.596,3.7,5.3,.688,2.6,8.1,10.7,5.0,1.2,1.2,2.8,2.5,16.7
LaMarcus Aldridge,C,34,SAS,47,47,1554,8.0,15.9,.501,1.3,3.1,.417,6.7,12.9,.522,3.2,3.8,.842,2.1,6.0,8.1,2.6,0.7,1.8,1.4,2.6,20.5
Nickeil Alexander-Walker,SG,21,NOP,40,0,498,5.6,16.3,.342,2.9,8.5,.342,2.7,7.8,.343,1.2,2.0,.607,0.5,5.2,5.7,5.3,0.8,0.5,2.9,3.3,15.3
Grayson Allen,SG,24,MEM,30,0,498,5.7,12.7,.449,2.4,6.6,.363,3.3,6.1,.541,2.2,2.5,.857,0.4,4.4,4.8,3.1,0.4,0.1,1.7,2.6,16.0
Jarrett Allen,C,21,BRK,50,46,1350,5.8,9.1,.644,0.0,0.1,.000,5.8,8.9,.654,3.3,5.2,.629,4.1,8.9,13.0,1.9,0.9,2.0,1.5,3.2,14.9
Kadeem Allen,SG,27,NYK,10,0,117,5.8,13.5,.432,1.5,4.9,.313,4.3,8.6,.500,2.2,3.4,.636,0.6,2.2,2.8,6.5,1.5,0.6,2.5,2.2,15.4
Al-Farouq Aminu,PF,29,ORL,18,2,380,2.4,8.1,.291,0.9,3.4,.250,1.5,4.7,.320,1.8,2.7,.655,2.3,6.0,8.2,2.0,1.7,0.8,1.6,2.6,7.4
Justin Anderson,SF,26,BRK,3,0,17,2.1,12.7,.167,0.0,6.4,.000,2.1,6.4,.333,2.1,4.2,.500,0.0,4.2,4.2,0.0,0.0,2.1,0.0,4.2,6.4
Kyle Anderson,PF,26,MEM,46,7,811,4.3,8.9,.480,0.4,1.8,.200,3.9,7.1,.550,1.5,2.3,.635,1.9,6.3,8.2,4.4,1.5,1.0,1.8,3.0,10.3
Ryan Anderson,PF,31,HOU,2,0,14,5.1,18.0,.286,2.6,12.9,.200,2.6,5.1,.500,0.0,0.0, ,0.0,18.0,18.0,5.1,2.6,0.0,2.6,2.6,12.9
Giannis Antetokounmpo,PF,25,MIL,47,47,1449,13.0,23.5,.553,1.8,5.8,.313,11.2,17.7,.631,7.5,12.2,.612,2.8,12.8,15.6,6.7,1.3,1.2,4.2,3.7,35.3
Kostas Antetokounmpo,PF,22,LAL,3,0,5,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,7.2,7.2,7.2,0.0,0.0,0.0,0.0,0.0
Thanasis Antetokounmpo,SF,27,MIL,15,1,61,7.7,13.6,.565,0.0,1.8,.000,7.7,11.8,.650,2.4,5.3,.444,3.5,0.6,4.1,3.5,1.2,0.6,3.0,5.3,17.7
Carmelo Anthony,PF,35,POR,37,37,1205,6.4,15.3,.421,1.6,4.2,.366,4.9,11.0,.442,2.4,2.9,.845,1.4,5.9,7.3,1.7,0.9,0.5,1.9,3.3,16.8
OG Anunoby,SF,22,TOR,51,50,1477,5.0,10.3,.492,1.6,4.3,.369,3.5,6.0,.580,1.0,1.5,.656,1.3,5.3,6.6,1.9,1.4,0.8,1.5,3.0,12.6
Ryan Arcidiacono,PG,25,CHI,49,0,728,3.5,8.5,.409,2.2,5.3,.411,1.3,3.2,.406,1.0,1.4,.714,0.7,3.3,4.0,3.8,1.0,0.1,1.2,3.9,10.1
Trevor Ariza,SF,34,TOT,40,8,1036,3.2,7.7,.410,1.8,5.1,.358,1.3,2.6,.514,1.0,1.2,.800,0.9,5.5,6.4,2.2,1.6,0.3,1.3,2.9,9.1
Trevor Ariza,SF,34,SAC,32,0,791,2.9,7.5,.388,2.0,5.6,.352,1.0,2.0,.488,1.0,1.2,.778,1.0,5.7,6.6,2.3,1.6,0.3,1.3,2.9,8.7
Trevor Ariza,SF,34,POR,8,8,245,4.0,8.4,.474,1.5,3.8,.385,2.5,4.6,.548,1.0,1.2,.875,0.7,4.7,5.4,1.8,1.6,0.1,1.3,3.1,10.4
D.J. Augustin,PG,32,ORL,39,6,1013,4.5,11.6,.393,1.7,4.8,.346,2.9,6.8,.426,4.1,4.6,.877,0.5,2.8,3.4,6.5,1.0,0.0,1.9,1.6,14.8
Deandre Ayton,C,21,PHO,22,17,718,9.0,16.9,.534,0.0,0.1,.000,9.0,16.8,.536,2.2,2.7,.796,4.2,8.7,12.9,2.4,0.7,1.8,2.0,3.4,20.2
Dwayne Bacon,SG,24,CHO,38,11,673,4.5,12.9,.353,1.0,3.6,.284,3.5,9.3,.379,1.9,2.8,.660,0.7,4.3,5.0,2.7,1.2,0.1,1.9,2.8,12.0
Marvin Bagley,PF,20,SAC,13,6,334,8.4,18.0,.467,0.4,2.4,.182,8.0,15.6,.510,2.7,3.3,.806,3.1,7.3,10.5,1.1,0.6,1.3,1.9,4.6,19.9
Lonzo Ball,PG,22,NOP,44,35,1395,5.0,12.7,.393,2.7,7.4,.364,2.3,5.3,.434,0.7,1.3,.558,1.3,5.6,6.9,7.6,1.5,0.5,3.3,2.1,13.4
Mo Bamba,C,21,ORL,48,0,720,5.3,11.4,.469,1.4,4.1,.337,3.9,7.2,.545,1.1,1.6,.688,3.6,8.4,12.1,1.5,0.9,3.4,1.9,4.4,13.2
