Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,C,26,HOU,48, ,900,6.0,15.0,.397, , , ,6.0,15.0,.397,4.8,6.5,.735, , ,12.2,2.1, , , ,4.3,16.7
Kareem Abdul-Jabbar*,C,25,MIL,76, ,3254,10.9,19.6,.554, , , ,10.9,19.6,.554,3.6,5.1,.713, , ,13.5,4.2, , , ,2.3,25.4
Don Adams,SF,25,TOT,74, ,1874,5.1,13.0,.391, , , ,5.1,13.0,.391,2.8,3.5,.788, , ,8.5,2.2, , , ,4.4,13.0
Don Adams,SF,25,ATL,4, ,76,3.8,18.0,.211, , , ,3.8,18.0,.211,3.3,3.8,.875, , ,10.4,2.4, , , ,5.2,10.9
Don Adams,SF,25,DET,70, ,1798,5.1,12.8,.402, , , ,5.1,12.8,.402,2.8,3.5,.784, , ,8.4,2.2, , , ,4.4,13.1
Rick Adelman,PG,26,POR,76, ,1822,4.2,10.4,.408, , , ,4.2,10.4,.408,1.4,2.0,.716, , ,3.1,5.8, , , ,3.1,9.9
Lucius Allen,PG,25,MIL,80, ,2693,7.3,15.1,.484, , , ,7.3,15.1,.484,1.9,2.7,.715, , ,3.7,5.7, , , ,2.5,16.5
Tiny Archibald*,PG,24,KCO,80, ,3681,10.1,20.6,.488, , , ,10.1,20.6,.488,6.5,7.7,.847, , ,2.2,8.9, , , ,2.0,26.6
Dennis Awtrey,C,24,TOT,82, ,1687,3.1,6.5,.479, , , ,3.1,6.5,.479,1.8,3.3,.562, , ,9.5,4.8, , , ,5.0,8.1
Dennis Awtrey,C,24,PHI,3, ,37,2.9,6.8,.429, , , ,2.9,6.8,.429,1.0,3.9,.250, , ,13.6,1.9, , , ,7.8,6.8
Dennis Awtrey,C,24,CHI,79, ,1650,3.1,6.5,.480, , , ,3.1,6.5,.480,1.9,3.3,.570, , ,9.4,4.8, , , ,4.9,8.1
Dick Barnett,SG,36,NYK,51, ,514,6.2,15.8,.389, , , ,6.2,15.8,.389,1.1,2.1,.533, , ,2.9,3.5, , , ,3.6,13.4
Jim Barnett,PG,28,GSW,82, ,2215,6.4,13.7,.467, , , ,6.4,13.7,.467,3.0,3.5,.843, , ,4.1,4.9, , , ,2.4,15.8
Rick Barry*,SF,28,GSW,82, ,3075,8.6,19.1,.452, , , ,8.6,19.1,.452,4.2,4.6,.902, , ,8.5,4.7, , , ,2.9,21.4
