Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jay Arnette,SG,26,CIN,63, ,662,4.9,13.3,.371, , , ,4.9,13.3,.371,3.0,4.1,.747, , ,3.4,3.7, , , ,6.8,12.9
Al Attles,PG,28,SFW,73, ,1733,5.3,13.8,.384, , , ,5.3,13.8,.384,3.6,5.7,.624, , ,5.0,4.3, , , ,5.0,14.1
Jim Barnes,PF,23,NYK,75, ,2586,6.3,14.9,.424, , , ,6.3,14.9,.424,3.5,5.3,.662, , ,10.1,1.3, , , ,4.3,16.1
Dick Barnett,SG,28,LAL,74, ,2026,6.7,16.1,.413, , , ,6.7,16.1,.413,4.8,6.0,.799, , ,3.6,2.8, , , ,3.7,18.1
John Barnhill,SG,26,STL,41, ,777,5.6,14.5,.388, , , ,5.6,14.5,.388,2.1,3.2,.643, , ,4.2,3.5, , , ,2.6,13.3
Elgin Baylor*,SF,30,LAL,74, ,3056,9.0,22.4,.401, , , ,9.0,22.4,.401,5.7,7.2,.792, , ,11.2,3.3, , , ,2.8,23.7
Zelmo Beaty*,C,25,STL,80, ,2916,6.2,12.9,.482, , , ,6.2,12.9,.482,4.2,5.9,.715, , ,11.9,1.4, , , ,4.0,16.7
Walt Bellamy*,C,25,BAL,80, ,3301,8.0,15.7,.509, , , ,8.0,15.7,.509,5.6,8.2,.685, , ,12.7,2.1, , , ,2.8,21.6
Al Bianchi,PG,32,PHI,60, ,1116,5.6,15.7,.360, , , ,5.6,15.7,.360,1.7,2.5,.711, , ,3.1,4.5, , , ,5.7,13.0
Bucky Bockhorn,SG,31,CIN,19, ,424,5.1,13.3,.382, , , ,5.1,13.3,.382,2.4,3.3,.718, , ,4.7,3.8, , , ,4.4,12.6
Ron Bonham,SF,22,BOS,37, ,369,8.9,21.5,.414, , , ,8.9,21.5,.414,9.0,10.9,.821, , ,7.6,1.9, , , ,3.2,26.7
Bob Boozer,SF,27,NYK,80, ,2139,7.1,16.2,.440, , , ,7.1,16.2,.440,4.8,6.3,.768, , ,10.2,1.8, , , ,3.1,19.1
Gary Bradds,SF,22,BAL,41, ,335,4.9,11.9,.414, , , ,4.9,11.9,.414,4.8,6.8,.714, , ,9.0,2.0, , , ,3.9,14.7
Bill Bridges,PF,25,STL,79, ,2362,5.5,14.3,.386, , , ,5.5,14.3,.386,2.8,4.2,.676, , ,13.0,2.9, , , ,4.2,13.9
Em Bryant,PG,26,NYK,77, ,1332,3.9,11.8,.333, , , ,3.9,11.8,.333,2.4,3.6,.654, , ,4.5,4.5, , , ,5.7,10.2
Dave Budd,SF,26,NYK,62, ,1188,5.9,12.3,.482, , , ,5.9,12.3,.482,3.7,5.2,.712, , ,9.4,1.9, , , ,4.5,15.5
Ed Burton,F,25,STL,7, ,42,6.0,17.1,.350, , , ,6.0,17.1,.350,3.4,6.0,.571, , ,11.1,1.7, , , ,11.1,15.4
Donnie Butcher,PG,28,DET,71, ,1157,4.4,11.0,.405, , , ,4.4,11.0,.405,3.9,6.3,.618, , ,6.2,3.8, , , ,5.7,12.8
Al Butler,PG,26,BAL,25, ,172,5.0,15.3,.329, , , ,5.0,15.3,.329,2.3,3.1,.733, , ,4.4,2.5, , , ,5.2,12.3
Joe Caldwell,SF,23,DET,66, ,1543,6.8,18.1,.374, , , ,6.8,18.1,.374,3.0,4.9,.614, , ,10.3,2.8, , , ,4.0,16.5
Wilt Chamberlain*,C,28,TOT,73, ,3301,11.6,22.7,.510, , , ,11.6,22.7,.510,4.4,9.6,.464, , ,18.2,2.7, , , ,1.6,27.6
Wilt Chamberlain*,C,28,SFW,38, ,1743,13.1,26.3,.499, , , ,13.1,26.3,.499,4.3,10.3,.416, , ,18.4,2.4, , , ,1.6,30.6
Wilt Chamberlain*,C,28,PHI,35, ,1558,9.9,18.7,.528, , , ,9.9,18.7,.528,4.6,8.8,.526, , ,18.0,3.1, , , ,1.6,24.4
Len Chappell,C,24,NYK,43, ,655,8.0,20.2,.395, , , ,8.0,20.2,.395,3.7,5.5,.680, , ,7.7,0.8, , , ,4.0,19.7
Larry Costello,PG,33,PHI,64, ,1967,5.7,12.7,.445, , , ,5.7,12.7,.445,4.4,5.1,.877, , ,3.1,5.0, , , ,4.4,15.8
Mel Counts,C,23,BOS,54, ,572,6.3,17.1,.368, , , ,6.3,17.1,.368,3.7,4.7,.784, , ,16.7,1.2, , , ,8.4,16.2
Steve Courtin,SG,22,PHI,24, ,317,4.8,11.7,.408, , , ,4.8,11.7,.408,1.9,2.4,.810, , ,2.5,2.5, , , ,5.0,11.5
Dave DeBusschere*,PF,24,DET,79, ,2769,6.6,15.5,.425, , , ,6.6,15.5,.425,4.0,5.7,.700, , ,11.4,3.3, , , ,3.1,17.2
Connie Dierking,C,28,TOT,68, ,1294,6.1,15.0,.405, , , ,6.1,15.0,.405,2.8,4.7,.595, , ,12.1,2.0, , , ,4.6,14.9
Connie Dierking,C,28,PHI,38, ,729,6.0,15.4,.389, , , ,6.0,15.4,.389,2.7,4.1,.651, , ,11.8,2.1, , , ,5.0,14.6
Connie Dierking,C,28,SFW,30, ,565,6.2,14.5,.427, , , ,6.2,14.5,.427,2.9,5.4,.541, , ,12.5,1.9, , , ,4.1,15.3
Terry Dischinger,SG,24,DET,80, ,2698,7.6,15.4,.493, , , ,7.6,15.4,.493,4.3,5.7,.755, , ,6.4,2.6, , , ,3.4,19.4
Bob Duffy,PG,24,DET,4, ,26,5.5,15.2,.364, , , ,5.5,15.2,.364,8.3,9.7,.857, , ,5.5,6.9, , , ,5.5,19.4
Johnny Egan,PG,26,NYK,74, ,1664,5.6,11.4,.488, , , ,5.6,11.4,.488,3.5,4.3,.814, , ,3.1,5.5, , , ,3.0,14.7
Leroy Ellis,C,24,LAL,80, ,2026,5.5,12.4,.444, , , ,5.5,12.4,.444,3.5,5.0,.697, , ,11.6,0.9, , , ,3.5,14.6
Wayne Embry*,C,27,CIN,74, ,2243,5.6,12.4,.456, , , ,5.6,12.4,.456,3.8,6.0,.644, , ,11.9,1.5, , , ,4.8,15.1
Mike Farmer,SF,28,STL,60, ,1272,4.7,11.5,.409, , , ,4.7,11.5,.409,2.1,2.7,.798, , ,7.3,2.5, , , ,3.5,11.6
Bob Ferry,PF,27,BAL,77, ,1280,4.0,9.5,.423, , , ,4.0,9.5,.423,3.4,5.6,.613, , ,10.0,1.7, , , ,4.4,11.5
Dave Gambee,SF,27,PHI,80, ,1993,6.4,15.6,.412, , , ,6.4,15.6,.412,5.4,6.6,.813, , ,8.5,2.0, , , ,5.0,18.3
Tom Gola*,SG,32,NYK,77, ,1727,4.3,9.5,.448, , , ,4.3,9.5,.448,2.8,3.8,.739, , ,6.6,4.6, , , ,5.6,11.3
Johnny Green,PF,31,NYK,78, ,1720,7.2,15.4,.469, , , ,7.2,15.4,.469,3.5,6.3,.548, , ,11.4,2.7, , , ,4.1,17.9
Si Green,PG,31,BAL,70, ,1086,5.0,12.2,.413, , , ,5.0,12.2,.413,3.3,5.3,.627, , ,5.6,4.6, , , ,4.4,13.4
Jerry Greenspan,SG,23,PHI,5, ,49,5.9,9.6,.615, , , ,5.9,9.6,.615,5.9,5.9,1.000, , ,8.1,0.0, , , ,8.8,17.6
Hal Greer*,SG,28,PHI,70, ,2600,7.5,17.2,.433, , , ,7.5,17.2,.433,4.6,5.7,.811, , ,4.9,4.3, , , ,3.5,19.6
Jerry Grote,G,24,LAL,11, ,33,6.5,12.0,.545, , , ,6.5,12.0,.545,2.2,2.2,1.000, , ,4.4,4.4, , , ,5.5,15.3
Richie Guerin*,SG,32,STL,57, ,1678,6.3,14.2,.446, , , ,6.3,14.2,.446,5.0,6.5,.767, , ,3.2,5.8, , , ,4.1,17.6
Cliff Hagan*,SF,33,STL,77, ,1739,8.1,18.7,.436, , , ,8.1,18.7,.436,4.4,5.5,.799, , ,5.7,2.8, , , ,3.8,20.7
Happy Hairston,PF,22,CIN,61, ,736,6.4,17.2,.373, , , ,6.4,17.2,.373,5.4,8.1,.667, , ,14.3,1.3, , , ,4.6,18.2
Reggie Harding,C,22,DET,78, ,2699,5.4,13.2,.410, , , ,5.4,13.2,.410,1.7,2.8,.612, , ,12.1,2.4, , , ,3.4,12.5
Charlie Hardnett,PF,26,BAL,20, ,200,4.5,14.4,.313, , , ,4.5,14.4,.313,4.1,7.0,.590, , ,13.9,0.4, , , ,6.7,13.1
John Havlicek*,SG,24,BOS,75, ,2169,9.5,23.6,.401, , , ,9.5,23.6,.401,3.9,5.2,.744, , ,6.2,3.3, , , ,3.3,22.8
Tom Hawkins,SF,28,CIN,79, ,1864,4.2,10.4,.409, , , ,4.2,10.4,.409,2.2,3.9,.569, , ,9.2,1.5, , , ,4.6,10.7
