Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steve Francis,PG,24,HOU,57,56,2343,6.5,15.5,.417,1.0,3.2,.324,5.4,12.2,.442,5.0,6.5,.773,1.6,4.6,6.2,5.6,1.1,0.4,3.4,2.6,19.0
Lawrence Funderburke,PF,31,SAC,56,1,722,5.7,12.2,.469,0.0,0.1,.000,5.7,12.1,.475,1.7,2.8,.607,3.8,6.1,9.9,1.6,0.5,0.9,1.6,3.2,13.2
Kevin Garnett,PF,25,MIN,81,81,3175,7.5,15.9,.470,0.4,1.3,.319,7.1,14.6,.484,4.1,5.1,.801,2.8,8.4,11.1,4.8,1.1,1.4,2.6,2.1,19.4
Dean Garrett,C,35,TOT,34,0,183,3.5,10.8,.327,0.0,0.0, ,3.5,10.8,.327,0.0,0.6,.000,3.1,8.1,11.2,1.0,1.4,2.0,2.0,6.3,7.1
Dean Garrett,C,35,MIN,29,0,152,3.3,9.5,.350,0.0,0.0, ,3.3,9.5,.350,0.0,0.7,.000,3.1,8.1,11.1,0.9,1.2,2.1,1.7,6.2,6.6
Dean Garrett,C,35,GSW,5,0,31,4.6,17.4,.267,0.0,0.0, ,4.6,17.4,.267,0.0,0.0, ,3.5,8.1,11.6,1.2,2.3,1.2,3.5,7.0,9.3
Pat Garrity,PF,25,ORL,80,43,2406,4.9,11.5,.426,2.5,5.9,.427,2.4,5.6,.426,0.9,1.1,.836,1.2,3.9,5.1,1.5,0.9,0.4,1.0,3.4,13.2
Pau Gasol,C,21,MEM,82,79,3007,6.6,12.7,.518,0.0,0.1,.200,6.6,12.7,.519,4.0,5.7,.709,2.8,5.9,8.7,2.7,0.5,2.0,2.7,2.3,17.3
Chris Gatling,PF,34,MIA,54,1,809,5.8,13.0,.447,0.0,0.4,.125,5.8,12.7,.456,3.6,5.2,.701,3.2,6.0,9.2,1.1,0.8,0.5,2.6,4.9,15.4
Matt Geiger,C,32,PHI,4,0,36,1.0,8.0,.125,0.0,0.0, ,1.0,8.0,.125,1.0,2.0,.500,3.0,3.0,6.0,0.0,0.0,2.0,2.0,2.0,3.0
Devean George,SF,24,LAL,82,1,1759,4.4,10.7,.411,1.4,3.6,.371,3.0,7.1,.432,1.7,2.6,.675,1.6,4.6,6.2,2.3,1.5,0.9,1.4,3.9,11.9
Eddie Gill,PG,23,MEM,23,5,384,3.7,8.6,.424,0.7,2.1,.318,3.0,6.6,.457,2.9,3.7,.795,0.7,2.0,2.6,4.6,1.0,0.3,3.2,3.6,10.9
Kendall Gill,SG,33,MIA,65,49,1410,4.1,10.8,.384,0.2,1.1,.136,4.0,9.7,.413,1.1,1.6,.677,0.7,4.0,4.7,2.6,1.1,0.2,1.4,3.6,9.5
Dion Glover,SG,23,ATL,55,25,1156,6.0,14.2,.421,0.9,2.8,.330,5.0,11.4,.444,2.4,3.2,.757,1.1,4.1,5.3,2.6,1.4,0.4,2.4,2.8,15.3
Steve Goodrich,SF,25,NJN,9,0,50,1.4,7.2,.200,0.0,0.0, ,1.4,7.2,.200,0.7,1.4,.500,0.7,2.9,3.6,3.6,0.7,1.4,2.2,7.2,3.6
Brian Grant,PF,29,MIA,72,72,2256,4.6,9.7,.469,0.0,0.0,.000,4.6,9.7,.470,1.6,1.9,.849,2.7,6.5,9.2,2.2,0.8,0.5,1.9,3.8,10.7
Horace Grant,C,36,ORL,76,76,2210,4.3,8.4,.513,0.0,0.0, ,4.3,8.4,.513,1.3,1.8,.721,2.6,5.2,7.8,1.7,0.9,0.8,0.8,1.9,9.9
Adrian Griffin,SG,27,DAL,58,34,1383,4.7,9.3,.499,0.4,1.4,.296,4.2,7.9,.534,1.1,1.3,.837,1.8,4.2,6.0,2.8,2.0,0.3,1.1,3.7,10.8
Eddie Griffin,PF,19,HOU,73,24,1896,4.6,12.6,.366,1.7,5.2,.330,2.9,7.5,.392,1.2,1.6,.744,2.2,5.7,7.9,1.0,0.3,2.5,0.9,2.2,12.2
Tom Gugliotta,PF,32,PHO,44,40,1129,4.0,9.6,.422,0.1,0.3,.333,4.0,9.3,.425,0.9,1.2,.757,1.9,5.2,7.0,2.5,1.2,1.0,1.9,3.7,9.1
A.J. Guyton,PG,23,CHI,45,6,607,5.2,14.5,.361,2.7,7.3,.374,2.5,7.2,.347,1.3,1.6,.815,0.7,1.9,2.6,4.8,0.6,0.4,2.2,1.4,14.5
Darvin Ham,SF,28,MIL,70,2,1208,3.6,6.3,.569,0.0,0.2,.143,3.5,6.1,.583,1.8,3.7,.504,2.7,3.3,6.0,2.2,0.7,1.1,2.5,5.2,9.0
Richard Hamilton,SG,23,WAS,63,57,2203,7.7,17.7,.435,0.3,0.7,.381,7.5,17.0,.438,4.9,5.5,.890,1.2,2.3,3.5,2.8,0.6,0.2,2.2,2.2,20.6
Tang Hamilton,SF,23,MIA,9,2,98,3.7,7.0,.526,0.0,0.4,.000,3.7,6.6,.556,0.0,0.4,.000,2.2,4.4,6.6,1.8,1.5,0.0,0.7,3.7,7.3
Zendon Hamilton,PF,26,DEN,54,15,848,4.4,10.4,.420,0.0,0.0, ,4.4,10.4,.420,5.0,7.7,.652,4.7,6.1,10.7,0.6,0.9,0.8,2.5,4.4,13.8
Anfernee Hardaway,SG,30,PHO,80,55,2462,5.7,13.6,.418,0.3,1.2,.277,5.4,12.4,.432,2.3,2.9,.810,1.4,3.7,5.1,4.7,1.8,0.5,2.8,2.7,14.0
Tim Hardaway,PG,35,TOT,68,16,1601,5.1,13.9,.365,2.8,8.0,.347,2.3,6.0,.387,1.7,2.2,.794,0.3,2.5,2.8,6.3,1.3,0.2,2.5,2.5,14.7
Tim Hardaway,PG,35,DAL,54,2,1276,5.1,13.9,.362,2.7,7.9,.341,2.4,6.1,.391,1.8,2.2,.833,0.4,2.4,2.7,5.7,1.1,0.2,2.1,2.4,14.6
Tim Hardaway,PG,35,DEN,14,14,325,5.2,14.0,.373,3.1,8.3,.373,2.1,5.6,.373,1.3,2.1,.632,0.1,2.9,3.0,8.5,1.9,0.2,4.2,2.8,14.8
Matt Harpring,SF,25,PHI,81,81,2541,5.5,11.9,.461,0.3,1.0,.304,5.2,10.9,.475,2.3,3.1,.743,2.9,5.2,8.1,1.5,1.0,0.1,1.8,2.8,13.6
Al Harrington,PF,21,IND,44,1,1313,6.3,13.3,.475,0.0,0.1,.333,6.3,13.2,.476,3.2,3.9,.799,2.6,4.9,7.6,1.5,1.1,0.6,2.1,4.6,15.8
Othella Harrington,PF,28,NYK,77,4,1563,5.5,10.4,.527,0.0,0.0,.000,5.5,10.3,.529,2.8,4.0,.709,2.9,5.2,8.0,0.9,0.7,0.8,2.2,5.8,13.7
Lucious Harris,SG,31,NJN,74,0,1553,5.8,12.4,.464,1.0,2.7,.373,4.8,9.7,.489,3.1,3.7,.842,1.1,3.7,4.8,2.7,1.2,0.1,1.4,2.3,15.6
Jason Hart,PG,23,SAS,10,0,92,3.9,7.4,.526,0.0,0.8,.000,3.9,6.7,.588,2.3,2.3,1.000,1.6,3.5,5.1,4.7,2.7,0.4,3.1,6.3,10.2
