Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Arizin*,SF,29,PHW,68, ,2377,7.3,18.6,.393, , , ,7.3,18.6,.393,6.7,8.2,.809, , ,7.6,2.0, , , ,3.6,21.3
Dick Atha,SG,26,DET,18, ,160,3.8,10.6,.362, , , ,3.8,10.6,.362,2.3,2.7,.833, , ,5.4,4.3, , , ,5.4,9.9
Ernie Beck,SG,26,PHW,71, ,1974,5.0,12.5,.398, , , ,5.0,12.5,.398,3.1,3.7,.837, , ,5.6,3.5, , , ,3.2,13.0
Al Bianchi,SG,25,SYR,69, ,1421,5.4,15.8,.344, , , ,5.4,15.8,.344,3.5,5.2,.683, , ,5.6,2.9, , , ,4.8,14.4
Doug Bolstorff,G,26,DET,3, ,21,3.4,8.6,.400, , , ,3.4,8.6,.400,0.0,0.0, , , ,0.0,0.0, , , ,1.7,6.9
Carl Braun,PG,30,NYK,71, ,2475,6.2,14.8,.418, , , ,6.2,14.8,.418,4.7,5.5,.849, , ,4.8,5.7, , , ,2.7,17.1
George Brown,F,22,MNL,1, ,6,0.0,12.0,.000, , , ,0.0,12.0,.000,6.0,12.0,.500, , ,6.0,0.0, , , ,6.0,6.0
Bob Burrow,C,23,MNL,14, ,171,4.6,14.7,.314, , , ,4.6,14.7,.314,2.3,6.9,.333, , ,13.5,1.3, , , ,3.2,11.6
Nat Clifton*,PF,35,DET,68, ,1435,5.4,15.0,.363, , , ,5.4,15.0,.363,2.3,3.7,.623, , ,10.1,1.9, , , ,5.1,13.2
Jack Coleman,PF,33,STL,72, ,1506,5.5,13.4,.413, , , ,5.5,13.4,.413,2.0,3.1,.641, , ,11.6,2.8, , , ,4.0,13.1
Ed Conlin,SF,24,SYR,60, ,1871,6.6,16.9,.391, , , ,6.6,16.9,.391,4.1,5.2,.796, , ,8.4,2.6, , , ,3.2,17.3
Larry Costello,PG,26,SYR,72, ,2746,5.0,11.6,.426, , , ,5.0,11.6,.426,4.2,5.0,.847, , ,5.0,4.2, , , ,3.2,14.1
Bob Cousy*,PG,29,BOS,65, ,2222,7.2,20.4,.353, , , ,7.2,20.4,.353,4.5,5.3,.850, , ,5.2,7.5, , , ,2.2,18.9
Walt Davis,PF,27,TOT,61, ,663,4.6,13.2,.348, , , ,4.6,13.2,.348,3.3,4.5,.744, , ,9.4,1.6, , , ,7.8,12.5
Walt Davis,PF,27,PHW,35, ,376,4.2,12.4,.341, , , ,4.2,12.4,.341,1.5,2.3,.667, , ,8.4,1.7, , , ,7.8,10.0
Walt Davis,PF,27,STL,26, ,287,5.1,14.4,.357, , , ,5.1,14.4,.357,5.6,7.3,.776, , ,10.8,1.4, , , ,7.8,15.9
George Dempsey,PG,28,PHW,67, ,1048,3.8,10.7,.360, , , ,3.8,10.7,.360,2.4,3.6,.667, , ,7.4,4.4, , , ,3.9,10.1
Corky Devlin,SG,26,MNL,70, ,1248,4.9,14.1,.348, , , ,4.9,14.1,.348,3.8,5.0,.773, , ,3.8,4.8, , , ,3.0,13.6
Dick Duckett,PG,24,CIN,34, ,424,4.6,13.4,.342, , , ,4.6,13.4,.342,2.0,2.3,.889, , ,4.8,4.0, , , ,5.1,11.2
Walter Dukes,C,27,DET,72, ,2184,4.6,13.1,.349, , , ,4.6,13.1,.349,4.1,6.0,.675, , ,15.7,0.9, , , ,5.1,13.2
Pat Dunn,SG,26,PHW,28, ,206,4.9,15.7,.311, , , ,4.9,15.7,.311,2.4,3.0,.824, , ,5.4,4.9, , , ,3.5,12.2
Bill Ebben,G,22,DET,8, ,50,4.3,20.2,.214, , , ,4.3,20.2,.214,2.2,2.9,.750, , ,5.8,2.9, , , ,3.6,10.8
Bo Erias,SF,25,MNL,18, ,401,5.3,15.3,.347, , , ,5.3,15.3,.347,2.7,4.2,.638, , ,7.5,2.3, , , ,4.7,13.3
Ray Felix,C,27,NYK,72, ,1709,6.4,14.5,.442, , , ,6.4,14.5,.442,5.7,8.2,.697, , ,15.7,1.1, , , ,6.0,18.5
Ed Fleming,SF,24,MNL,72, ,1686,4.8,14.0,.345, , , ,4.8,14.0,.345,3.9,5.4,.710, , ,10.5,3.0, , , ,4.7,13.5
Larry Foust,C,29,MNL,72, ,2200,6.4,16.1,.398, , , ,6.4,16.1,.398,7.0,9.3,.756, , ,14.3,1.8, , , ,4.9,19.8
Larry Friend,SG,22,NYK,44, ,569,4.7,14.3,.327, , , ,4.7,14.3,.327,1.7,2.6,.659, , ,6.7,3.0, , , ,3.4,11.1
