Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jay Arnette,G,27,CIN,3, ,14,2.6,15.4,.167, , , ,2.6,15.4,.167,0.0,0.0, , , ,0.0,0.0, , , ,7.7,5.1
Al Attles,PG,29,SFW,79, ,2053,6.4,12.7,.503, , , ,6.4,12.7,.503,2.7,4.4,.611, , ,5.6,3.9, , , ,4.6,15.5
Jim Barnes,PF,24,TOT,73, ,2191,5.7,13.4,.425, , , ,5.7,13.4,.425,3.5,5.1,.684, , ,12.4,1.5, , , ,4.6,14.9
Jim Barnes,PF,24,NYK,7, ,263,5.5,12.3,.444, , , ,5.5,12.3,.444,4.1,5.7,.714, , ,9.9,1.2, , , ,4.5,15.1
Jim Barnes,PF,24,BAL,66, ,1928,5.8,13.6,.423, , , ,5.8,13.6,.423,3.4,5.0,.679, , ,12.8,1.6, , , ,4.7,14.9
Dick Barnett,SG,29,NYK,75, ,2589,8.8,18.7,.469, , , ,8.8,18.7,.469,6.5,8.4,.772, , ,4.3,3.6, , , ,3.3,24.0
John Barnhill,PG,27,TOT,76, ,1617,5.4,13.5,.401, , , ,5.4,13.5,.401,2.5,4.1,.614, , ,4.5,4.4, , , ,3.0,13.3
John Barnhill,PG,27,STL,31, ,691,5.4,12.7,.428, , , ,5.4,12.7,.428,2.8,4.5,.628, , ,4.7,4.3, , , ,3.0,13.6
John Barnhill,PG,27,DET,45, ,926,5.4,14.1,.383, , , ,5.4,14.1,.383,2.3,3.8,.602, , ,4.4,4.4, , , ,3.0,13.1
Rick Barry*,SF,21,SFW,80, ,2990,9.0,20.4,.439, , , ,9.0,20.4,.439,6.9,7.9,.862, , ,10.2,2.1, , , ,3.6,24.8
Elgin Baylor*,SF,31,LAL,65, ,1975,7.6,18.8,.401, , , ,7.6,18.8,.401,4.5,6.1,.739, , ,11.3,4.1, , , ,2.9,19.7
Zelmo Beaty*,C,26,STL,80, ,3072,7.2,15.2,.473, , , ,7.2,15.2,.473,5.0,6.6,.758, , ,12.7,1.5, , , ,4.0,19.4
Walt Bellamy*,C,26,TOT,80, ,3352,7.5,14.7,.506, , , ,7.5,14.7,.506,4.6,7.4,.624, , ,13.5,2.5, , , ,3.2,19.5
Walt Bellamy*,C,26,BAL,8, ,268,7.5,16.7,.452, , , ,7.5,16.7,.452,5.4,9.0,.597, , ,13.7,2.4, , , ,4.3,20.4
Walt Bellamy*,C,26,NYK,72, ,3084,7.5,14.6,.512, , , ,7.5,14.6,.512,4.6,7.3,.627, , ,13.4,2.5, , , ,3.1,19.5
Al Bianchi,PG,33,PHI,78, ,1312,5.9,15.4,.382, , , ,5.9,15.4,.382,1.8,2.7,.673, , ,3.7,3.7, , , ,6.4,13.6
Ron Bonham,SG,23,BOS,39, ,312,8.8,23.9,.367, , , ,8.8,23.9,.367,6.0,7.0,.852, , ,4.0,1.3, , , ,3.3,23.5
Bob Boozer,PF,28,LAL,78, ,1847,7.1,14.7,.484, , , ,7.1,14.7,.484,4.4,5.6,.779, , ,10.7,1.7, , , ,3.8,18.6
Gary Bradds,SF,23,BAL,3, ,15,4.8,14.4,.333, , , ,4.8,14.4,.333,7.2,9.6,.750, , ,19.2,2.4, , , ,2.4,16.8
Jesse Branson,SF,24,PHI,5, ,14,2.6,15.4,.167, , , ,2.6,15.4,.167,7.7,10.3,.750, , ,23.1,2.6, , , ,10.3,12.9
Bill Bridges,PF,26,STL,78, ,2677,5.1,12.5,.407, , , ,5.1,12.5,.407,3.5,4.9,.706, , ,12.8,2.8, , , ,4.5,13.6
Em Bryant,PG,27,NYK,71, ,1193,6.4,13.5,.472, , , ,6.4,13.5,.472,2.2,3.0,.733, , ,5.1,6.5, , , ,6.5,15.0
