Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,41,LAL,74,74,1695,6.6,14.0,.475,0.0,0.1,.000,6.6,13.9,.477,2.6,3.5,.739,2.2,4.9,7.1,1.6,0.8,1.8,2.0,4.2,15.9
Mark Acres,C,26,BOS,62,0,632,3.1,6.5,.482,0.1,0.1,1.000,3.1,6.4,.478,1.5,2.7,.542,3.4,5.0,8.3,1.1,1.1,0.3,1.3,5.4,7.8
Michael Adams,PG,26,DEN,77,77,2787,6.0,14.0,.433,2.1,6.0,.356,3.9,8.0,.490,4.2,5.1,.819,0.9,2.7,3.7,6.3,2.1,0.1,2.3,1.9,18.4
Mark Aguirre,SF,29,TOT,80,76,2597,8.1,17.6,.461,0.7,2.4,.293,7.4,15.2,.488,4.0,5.4,.733,2.0,3.3,5.4,3.9,0.6,0.5,2.9,3.2,20.9
Mark Aguirre,SF,29,DAL,44,44,1529,8.8,19.5,.450,0.7,2.3,.293,8.1,17.2,.471,4.2,5.7,.730,2.1,3.4,5.5,4.4,0.7,0.7,3.3,3.0,22.4
Mark Aguirre,SF,29,DET,36,32,1068,7.2,14.9,.483,0.7,2.5,.293,6.4,12.3,.522,3.7,5.0,.738,1.9,3.2,5.1,3.0,0.5,0.2,2.3,3.4,18.8
Danny Ainge,PG,29,TOT,73,54,2377,7.3,15.9,.457,1.8,4.6,.380,5.5,11.3,.488,3.1,3.6,.854,1.1,2.8,3.9,6.1,1.4,0.1,2.2,2.8,19.4
Danny Ainge,PG,29,BOS,45,28,1349,7.2,15.7,.460,1.5,4.1,.374,5.7,11.6,.491,3.0,3.4,.891,1.0,3.1,4.1,5.7,1.4,0.0,2.2,2.9,19.1
Danny Ainge,PG,29,SAC,28,26,1028,7.3,16.2,.452,2.0,5.3,.387,5.3,10.9,.484,3.2,3.9,.813,1.2,2.3,3.5,6.5,1.4,0.2,2.2,2.7,19.9
Mark Alarie,PF,25,WSB,74,5,1141,6.5,13.6,.478,0.4,1.2,.342,6.1,12.4,.491,2.3,2.7,.839,3.2,4.8,8.0,2.0,0.8,0.7,2.0,5.0,15.7
Steve Alford,PG,24,TOT,66,3,906,5.9,12.9,.457,0.8,2.2,.364,5.1,10.7,.476,2.0,2.4,.820,0.4,2.5,2.9,3.7,1.8,0.1,1.8,2.3,14.5
Steve Alford,PG,24,DAL,9,0,38,2.8,10.4,.273,0.0,1.9,.000,2.8,8.5,.333,0.9,1.9,.500,0.0,2.8,2.8,8.5,0.9,0.0,0.9,2.8,6.6
Steve Alford,PG,24,GSW,57,3,868,6.0,13.0,.463,0.8,2.2,.377,5.2,10.8,.481,2.0,2.4,.831,0.4,2.4,2.9,3.4,1.8,0.1,1.8,2.2,14.9
Randy Allen,SG,24,SAC,7,0,43,6.7,15.9,.421,0.0,0.8,.000,6.7,15.1,.444,0.8,1.7,.500,2.5,3.3,5.9,0.0,0.8,0.8,1.7,5.9,14.2
Greg Anderson,PF,24,SAS,82,56,2401,6.9,13.7,.503,0.0,0.0,.000,6.9,13.7,.505,3.1,6.0,.514,3.8,6.3,10.1,0.9,1.5,1.5,2.7,3.3,16.9
Michael Anderson,PG,22,SAS,36,12,730,3.6,8.6,.417,0.0,0.3,.143,3.6,8.3,.429,2.8,4.0,.695,2.2,2.2,4.4,7.5,2.2,0.1,4.1,3.2,10.1
Richard Anderson,PF,28,POR,72,3,1082,4.8,11.6,.417,1.6,4.7,.348,3.2,6.9,.464,1.1,1.3,.842,2.1,5.6,7.7,3.3,1.5,0.4,1.8,3.3,12.3
Ron Anderson,SF,30,PHI,82,12,2618,7.8,15.8,.491,0.0,0.2,.182,7.8,15.7,.494,2.7,3.1,.856,2.3,3.3,5.6,1.9,1.0,0.3,1.7,2.3,18.3
