Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,36,LAL,80,80,2622,9.8,17.0,.578,0.0,0.0,.000,9.8,17.0,.579,3.9,5.4,.723,2.3,5.7,8.1,2.9,0.8,2.0,3.0,2.9,23.6
Alvan Adams,C,29,PHO,70,13,1452,6.7,14.4,.462,0.0,0.1,.000,6.7,14.3,.465,3.3,4.0,.825,2.9,5.0,7.9,5.4,1.8,0.8,2.9,4.8,16.6
Mark Aguirre,SF,24,DAL,79,79,2900,11.5,21.9,.524,0.2,0.7,.268,11.3,21.2,.532,5.8,7.7,.749,2.0,3.8,5.8,4.4,1.0,0.3,3.5,3.1,28.9
Danny Ainge,SG,24,BOS,71,3,1154,5.2,11.3,.460,0.2,0.7,.273,5.0,10.6,.472,1.4,1.7,.821,0.9,2.7,3.6,5.1,1.3,0.1,2.2,4.5,12.0
J.J. Anderson,SF,23,UTA,48,0,311,6.4,15.0,.423,0.0,0.3,.000,6.4,14.7,.433,1.4,3.4,.414,4.4,2.9,7.3,2.5,1.7,1.0,2.3,3.2,14.1
Richard Anderson,PF,23,DEN,78,17,1380,7.1,16.6,.426,0.1,0.5,.158,7.0,16.1,.435,3.0,3.9,.773,3.5,7.0,10.6,5.0,1.2,0.7,2.8,4.8,17.3
Tiny Archibald*,PG,35,MIL,46,46,1038,4.7,9.7,.487,0.1,0.6,.222,4.6,9.1,.506,2.2,3.5,.634,0.6,2.1,2.6,5.5,1.1,0.0,2.7,2.7,11.8
Ken Austin,SF,22,DET,7,0,28,7.7,16.7,.462,0.0,0.0, ,7.7,16.7,.462,0.0,0.0, ,2.6,1.3,3.9,1.3,1.3,1.3,3.9,9.0,15.4
John Bagley,PG,23,CLE,76,19,1712,5.4,12.8,.423,0.0,0.4,.118,5.4,12.4,.432,3.3,4.2,.793,1.0,2.3,3.3,7.0,1.6,0.1,3.6,2.4,14.2
James Bailey,PF,26,HOU,73,0,1174,7.8,15.9,.491,0.0,0.0,.000,7.8,15.8,.492,4.2,5.9,.719,3.2,5.8,9.0,2.4,1.0,1.2,3.1,6.0,19.8
Thurl Bailey,PF,22,UTA,81,54,2009,5.4,10.6,.512,0.0,0.0, ,5.4,10.6,.512,1.6,2.1,.752,2.1,6.3,8.3,2.3,0.7,2.2,1.9,3.5,12.4
Greg Ballard,SF,29,WSB,82,82,2701,6.8,14.1,.481,0.0,0.2,.133,6.8,13.9,.486,2.2,2.8,.798,1.9,4.6,6.5,3.9,1.3,0.5,1.9,2.9,15.8
Gene Banks,PF,24,SAS,80,66,2600,5.9,10.3,.568,0.0,0.1,.167,5.9,10.3,.571,2.8,3.7,.741,2.8,5.2,8.1,3.5,1.5,0.3,2.3,3.5,14.5
Dave Batton,C,27,SAS,4,0,31,5.8,11.6,.500,0.0,0.0, ,5.8,11.6,.500,0.0,0.0, ,1.2,3.5,4.6,3.5,0.0,3.5,4.6,5.8,11.6
Kent Benson,C,29,DET,82,58,1734,5.1,9.4,.550,0.0,0.0,.000,5.1,9.3,.551,1.7,2.1,.822,2.4,6.1,8.5,2.7,1.5,1.1,1.6,4.8,12.0
Larry Bird*,PF,27,BOS,79,77,3028,9.0,18.3,.492,0.2,0.9,.247,8.8,17.5,.504,4.4,5.0,.888,2.2,7.3,9.5,6.2,1.7,0.8,2.8,2.3,22.7
Otis Birdsong,SG,28,NJN,69,57,2168,9.7,19.0,.508,0.1,0.3,.250,9.6,18.7,.513,3.2,5.3,.608,1.2,1.6,2.8,4.4,1.4,0.3,2.8,3.0,22.7
Rolando Blackman,SG,24,DAL,81,81,3025,8.6,15.7,.546,0.0,0.1,.091,8.6,15.6,.550,4.4,5.5,.812,1.5,3.0,4.4,3.4,0.7,0.4,2.0,1.5,21.6
Tom Boswell,PF,30,UTA,38,0,261,3.9,7.2,.538,0.1,0.1,1.000,3.7,7.0,.529,2.2,2.9,.762,3.9,5.0,8.8,2.2,1.2,0.0,1.8,8.0,10.1
Charles Bradley,SG,24,SEA,8,0,39,2.8,6.5,.429,0.0,0.0, ,2.8,6.5,.429,4.6,6.5,.714,0.0,2.8,2.8,4.6,0.0,0.9,7.4,5.5,10.2
Mike Bratz,PG,28,GSW,82,0,1428,5.4,13.1,.409,0.4,1.3,.294,5.0,11.8,.421,3.0,3.5,.876,1.0,2.6,3.6,6.4,2.1,0.2,2.7,3.9,14.1
Randy Breuer,C,23,MIL,57,8,472,5.2,13.5,.384,0.0,0.0, ,5.2,13.5,.384,2.4,3.5,.696,3.7,4.7,8.3,1.3,0.8,2.9,2.7,7.5,12.8
Ron Brewer,SG,28,TOT,53,8,992,6.5,14.6,.444,0.1,0.5,.214,6.4,14.1,.452,1.9,2.4,.776,0.8,1.5,2.3,1.8,0.9,0.8,1.5,2.3,15.0
Ron Brewer,SG,28,GSW,13,3,210,4.6,9.9,.466,0.0,0.2,.000,4.6,9.8,.474,1.9,2.9,.647,0.9,1.4,2.2,1.0,1.0,0.9,1.2,1.7,11.1
Ron Brewer,SG,28,SAS,40,5,782,7.0,15.9,.441,0.1,0.6,.231,6.9,15.3,.449,1.9,2.3,.820,0.8,1.5,2.3,2.0,0.8,0.7,1.5,2.5,16.0
Junior Bridgeman,SF,30,MIL,81,10,2431,7.5,16.2,.465,0.1,0.5,.194,7.4,15.7,.473,2.9,3.6,.807,1.2,3.7,4.9,3.9,0.8,0.2,2.2,3.3,18.1
Michael Brooks,SF,25,SDC,47,30,1405,5.5,11.4,.479,0.0,0.1,.000,5.5,11.3,.484,2.7,3.9,.689,3.6,5.1,8.8,2.3,1.3,0.4,2.0,3.2,13.6
Fred Brown,SG,35,SEA,71,1,1129,8.2,16.1,.510,0.3,1.1,.265,7.9,15.1,.528,2.5,2.7,.895,0.4,1.5,2.0,6.2,1.6,0.1,2.2,2.7,19.2
Rickey Brown,C,25,ATL,68,3,785,4.3,9.2,.468,0.0,0.0, ,4.3,9.2,.468,2.2,3.0,.738,3.1,5.2,8.3,1.3,0.8,1.1,2.4,7.4,10.8
Wallace Bryant,C,24,CHI,29,0,317,5.9,15.1,.391,0.0,0.0, ,5.9,15.1,.391,1.6,3.7,.424,4.2,4.9,9.1,1.5,1.0,1.2,1.8,5.5,13.4
Quinn Buckner,PG,29,BOS,79,0,1249,4.0,9.3,.427,0.0,0.2,.000,4.0,9.1,.435,1.4,2.1,.649,1.2,2.8,3.9,6.2,2.4,0.1,2.9,5.4,9.3
Don Buse,PG,33,KCK,76,10,1327,4.1,9.5,.426,0.5,1.6,.305,3.6,7.9,.451,1.7,2.2,.788,0.8,2.4,3.1,8.2,2.3,0.0,2.4,1.7,10.3
Kenny Carr,PF,28,POR,82,57,2455,7.6,13.5,.561,0.0,0.1,.000,7.6,13.5,.564,3.6,5.4,.673,3.1,6.4,9.4,2.3,1.0,0.5,3.0,4.0,18.8
M.L. Carr,SF,33,BOS,60,1,585,4.3,10.5,.409,0.2,0.9,.200,4.1,9.6,.429,2.6,3.0,.875,1.6,3.0,4.6,3.0,1.0,0.2,2.8,4.1,11.4
Joe Barry Carroll,C,25,GSW,80,80,2962,8.1,16.9,.477,0.0,0.0,.000,8.1,16.9,.477,3.8,5.3,.723,2.9,4.9,7.7,2.4,1.3,1.7,3.3,3.0,19.9
Butch Carter,SG,25,IND,73,54,2045,7.3,15.2,.479,0.3,0.8,.326,7.0,14.4,.488,2.4,3.1,.764,1.2,1.5,2.7,3.6,2.3,0.2,2.5,3.7,17.2
Howard Carter,SG,22,DEN,55,5,688,7.6,16.5,.459,0.3,1.0,.263,7.3,15.5,.471,2.5,3.2,.770,2.0,2.5,4.5,3.7,1.0,0.2,2.2,4.2,17.9
Bill Cartwright,C,26,NYK,77,77,2487,6.6,11.7,.561,0.0,0.0,.000,6.6,11.7,.561,5.8,7.3,.805,2.8,6.6,9.4,1.5,0.6,1.4,2.9,3.8,19.0
Harvey Catchings,PF,32,MIL,69,3,1156,1.9,4.8,.399,0.0,0.0,.000,1.9,4.7,.401,0.7,1.3,.524,2.8,5.7,8.4,1.3,0.8,2.5,1.8,5.4,4.5
Tom Chambers,PF,24,SEA,82,44,2570,7.8,15.5,.499,0.0,0.2,.000,7.8,15.4,.505,5.3,6.6,.800,3.1,4.4,7.5,1.9,0.7,0.7,2.7,4.3,20.8
Maurice Cheeks*,PG,27,PHI,75,75,2494,5.6,10.1,.550,0.1,0.3,.400,5.5,9.8,.554,2.5,3.3,.733,0.6,2.3,3.0,6.9,2.5,0.3,2.6,2.8,13.7
Carlos Clark,SG,23,BOS,31,0,127,5.4,14.7,.365,0.0,0.6,.000,5.4,14.2,.380,4.5,5.1,.889,2.0,2.8,4.8,4.8,2.3,0.3,3.4,3.7,15.3
Don Collins,SG,25,GSW,61,6,957,7.0,14.6,.483,0.0,0.2,.200,7.0,14.4,.487,2.4,3.3,.730,2.3,2.5,4.9,2.5,1.6,0.5,3.0,4.5,16.6
