Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ray Corley,G,23,TOT,34, , ,1.4,4.5,.303, , , ,1.4,4.5,.303,.303,0.9,1.6,.545, , ,2.3,1.8, , , ,1.5,3.6
Ray Corley,G,23,BLB,16, , ,1.1,4.2,.254, , , ,1.1,4.2,.254,.254,0.9,1.6,.538, , ,2.1,1.4, , , ,1.6,3.0
Ray Corley,G,23,TRI,18, , ,1.6,4.7,.341, , , ,1.6,4.7,.341,.341,0.9,1.6,.552, , ,2.4,2.1, , , ,1.4,4.1
Bob Cousy*,PG,22,BOS,69, , ,5.8,16.5,.352, , , ,5.8,16.5,.352,.352,4.0,5.3,.756, , ,6.9,4.9, , , ,2.7,15.6
Bob Davies*,PG,31,ROC,63, , ,5.2,13.9,.372, , , ,5.2,13.9,.372,.372,4.8,6.0,.795, , ,3.1,4.6, , , ,3.3,15.2
Hank DeZonie,C-F,28,TRI,5, , ,1.2,5.0,.240, , , ,1.2,5.0,.240,.240,1.0,1.4,.714, , ,3.6,1.8, , , ,1.2,3.4
Joe Dolhon,G,23,BLB,13, , ,1.3,4.3,.304, , , ,1.3,4.3,.304,.304,1.3,1.8,.739, , ,1.4,1.5, , , ,2.5,3.9
Bob Donham,SG,24,BOS,68, , ,2.2,4.4,.507, , , ,2.2,4.4,.507,.507,1.7,3.4,.498, , ,3.5,2.0, , , ,2.6,6.1
Andy Duncan,F-C,28,BOS,14, , ,0.5,2.9,.175, , , ,0.5,2.9,.175,.175,1.1,1.6,.682, , ,2.1,0.6, , , ,2.3,2.1
Dike Eddleman,SF,28,TRI,68, , ,5.9,16.5,.355, , , ,5.9,16.5,.355,.355,3.6,5.1,.699, , ,6.0,2.5, , , ,3.4,15.3
Ray Ellefson,C,28,NYK,3, , ,0.0,1.3,.000, , , ,0.0,1.3,.000,.000,1.3,1.3,1.000, , ,2.7,0.0, , , ,2.0,1.3
Arnie Ferrin,F-G,25,MNL,68, , ,1.8,5.5,.319, , , ,1.8,5.5,.319,.319,1.7,2.4,.695, , ,4.0,1.6, , , ,3.2,5.2
Larry Foust,C,22,FTW,68, , ,4.8,13.9,.346, , , ,4.8,13.9,.346,.346,3.8,5.8,.659, , ,10.0,1.3, , , ,3.6,13.5
Joe Fulks*,PF,29,PHW,66, , ,6.5,20.6,.316, , , ,6.5,20.6,.316,.316,5.7,6.7,.855, , ,7.9,1.8, , , ,3.7,18.7
Bill Gabor,SG,28,SYR,61, , ,4.2,12.2,.342, , , ,4.2,12.2,.342,.342,2.9,4.0,.740, , ,2.5,2.0, , , ,3.5,11.3
Harry Gallatin*,F-C,23,NYK,66, , ,4.4,10.7,.416, , , ,4.4,10.7,.416,.416,3.9,5.4,.732, , ,12.1,2.7, , , ,3.7,12.8
Vern Gardner,SG,25,PHW,61, , ,2.1,6.3,.337, , , ,2.1,6.3,.337,.337,1.1,1.6,.711, , ,3.9,1.5, , , ,2.4,5.4
Ed Gayda,G-F,23,TRI,15, , ,1.3,3.1,.413, , , ,1.3,3.1,.413,.413,1.2,1.6,.750, , ,2.6,0.9, , , ,2.3,3.7
Chuck Gilmur,F-C,28,WSC,16, , ,1.1,3.8,.279, , , ,1.1,3.8,.279,.279,1.1,2.0,.531, , ,4.7,1.1, , , ,3.6,3.2
Bud Grant,F,23,MNL,61, , ,0.9,3.0,.288, , , ,0.9,3.0,.288,.288,0.9,1.4,.627, , ,1.9,1.2, , , ,1.7,2.6
Alex Groza,C,24,INO,66, , ,7.5,15.8,.470, , , ,7.5,15.8,.470,.470,6.7,8.6,.786, , ,10.7,2.4, , , ,3.6,21.7
Chick Halbert,C,31,TOT,68, , ,2.4,6.6,.365, , , ,2.4,6.6,.365,.365,2.5,3.6,.694, , ,7.9,2.3, , , ,3.2,7.4
Chick Halbert,C,31,WSC,35, , ,2.0,5.9,.341, , , ,2.0,5.9,.341,.341,2.6,3.8,.684, , , ,2.2, , , ,3.4,6.6
Chick Halbert,C,31,BLB,33, , ,2.8,7.4,.385, , , ,2.8,7.4,.385,.385,2.5,3.5,.704, , , ,2.5, , , ,2.9,8.2
Bruce Hale,G-F,32,INO,26, , ,1.5,5.2,.296, , , ,1.5,5.2,.296,.296,0.5,0.9,.609, , ,1.9,1.6, , , ,1.2,3.6
Alex Hannum*,PF,27,SYR,63, , ,2.9,7.8,.368, , , ,2.9,7.8,.368,.368,1.7,3.1,.543, , ,4.8,1.9, , , ,4.3,7.5
John Hargis,G-F,30,TOT,29, , ,1.7,4.4,.378, , , ,1.7,4.4,.378,.378,0.9,1.4,.643, , ,2.3,0.9, , , ,2.0,4.2
John Hargis,G-F,30,FTW,14, , ,1.8,4.7,.379, , , ,1.8,4.7,.379,.379,1.2,1.7,.708, , ,2.1,0.6, , , ,1.8,4.8
John Hargis,G-F,30,TRI,15, , ,1.5,4.1,.377, , , ,1.5,4.1,.377,.377,0.7,1.2,.556, , ,2.4,1.1, , , ,2.2,3.7
Bob Harris,F-C,23,TOT,56, , ,1.8,5.3,.332, , , ,1.8,5.3,.332,.332,1.5,2.3,.677, , ,5.2,1.1, , , ,2.8,5.0
Bob Harris,F-C,23,FTW,12, , ,1.1,4.8,.228, , , ,1.1,4.8,.228,.228,1.3,1.7,.750, , ,3.7,0.7, , , ,1.6,3.4
Bob Harris,F-C,23,BOS,44, , ,1.9,5.4,.357, , , ,1.9,5.4,.357,.357,1.6,2.4,.664, , ,5.6,1.3, , , ,3.1,5.5
Bob Harrison,G,23,MNL,68, , ,2.2,6.4,.347, , , ,2.2,6.4,.347,.347,1.5,1.9,.789, , ,2.5,2.9, , , ,3.2,5.9
Billy Hassett,G,29,BLB,31, , ,1.5,5.2,.281, , , ,1.5,5.2,.281,.281,1.4,2.0,.683, , ,1.1,1.5, , , ,2.3,4.3
Kleggie Hermsen,C-F,27,TOT,71, , ,2.7,9.1,.293, , , ,2.7,9.1,.293,.293,2.2,3.3,.654, , ,6.3,1.3, , , ,3.7,7.5
Kleggie Hermsen,C-F,27,TRI,48, , ,2.7,9.4,.285, , , ,2.7,9.4,.285,.285,2.6,3.9,.670, , , ,1.5, , , ,4.0,8.0
Kleggie Hermsen,C-F,27,BOS,23, , ,2.6,8.3,.314, , , ,2.6,8.3,.314,.314,1.3,2.1,.592, , , ,0.9, , , ,3.0,6.5
Sonny Hertzberg,G,28,BOS,65, , ,3.2,10.0,.316, , , ,3.2,10.0,.316,.316,3.4,4.2,.826, , ,4.0,3.8, , , ,2.4,9.8
Paul Hoffman,G-F,25,BLB,41, , ,3.1,9.7,.318, , , ,3.1,9.7,.318,.318,2.6,3.8,.673, , ,4.9,2.7, , , ,3.3,8.8
Joe Holland,SF,25,INO,67, , ,2.9,8.9,.330, , , ,2.9,8.9,.330,.330,1.2,2.0,.569, , ,5.1,2.2, , , ,3.4,7.0
Red Holzman*,PG,30,ROC,68, , ,2.7,8.3,.326, , , ,2.7,8.3,.326,.326,1.9,2.6,.726, , ,2.2,2.2, , , ,1.4,7.3
Joe Hutton,SG,22,MNL,60, , ,1.0,3.0,.328, , , ,1.0,3.0,.328,.328,0.5,0.7,.674, , ,1.7,0.9, , , ,1.5,2.5
Gene James,F,25,TOT,48, , ,1.6,4.9,.336, , , ,1.6,4.9,.336,.336,0.9,1.5,.620, , ,2.9,1.5, , , ,2.5,4.2
Gene James,F,25,NYK,6, , ,0.2,0.5,.333, , , ,0.2,0.5,.333,.333,0.2,0.3,.500, , ,0.7,0.7, , , ,1.2,0.5
Gene James,F,25,BLB,42, , ,1.9,5.5,.336, , , ,1.9,5.5,.336,.336,1.0,1.6,.623, , ,3.3,1.6, , , ,2.6,4.7
Tony Jaros,F-G,30,MNL,63, , ,1.4,4.6,.307, , , ,1.4,4.6,.307,.307,1.0,1.6,.631, , ,2.1,1.1, , , ,2.1,3.8
Arnie Johnson,SF,30,ROC,68, , ,2.7,5.9,.459, , , ,2.7,5.9,.459,.459,4.0,5.5,.725, , ,6.6,2.6, , , ,4.3,9.4
Ralph Johnson,PG,29,FTW,68, , ,3.5,10.8,.319, , , ,3.5,10.8,.319,.319,1.7,2.4,.704, , ,4.0,2.7, , , ,3.6,8.6
Wah Wah Jones,PF,24,INO,22, , ,4.2,10.8,.392, , , ,4.2,10.8,.392,.392,2.8,3.5,.792, , ,5.7,3.9, , , ,3.4,11.2
Noble Jorgensen,C,25,TOT,63, , ,3.5,9.5,.372, , , ,3.5,9.5,.372,.372,2.9,4.2,.687, , ,5.4,1.4, , , ,3.8,10.0
Noble Jorgensen,C,25,TRI,22, , ,4.0,10.8,.366, , , ,4.0,10.8,.366,.366,3.3,4.6,.706, , ,5.1,1.2, , , ,4.2,11.2
Noble Jorgensen,C,25,SYR,41, , ,3.3,8.8,.376, , , ,3.3,8.8,.376,.376,2.7,4.0,.675, , ,5.5,1.6, , , ,3.5,9.3
George Kaftan,SF,22,NYK,61, , ,1.8,4.7,.388, , , ,1.8,4.7,.388,.388,1.3,2.0,.624, , ,2.5,1.2, , , ,1.7,4.9
Jack Kerris,PF,26,FTW,68, , ,3.8,10.1,.370, , , ,3.8,10.1,.370,.370,3.0,4.3,.681, , ,7.0,2.7, , , ,3.7,10.5
Duane Klueh,G,25,FTW,61, , ,2.6,7.5,.343, , , ,2.6,7.5,.343,.343,2.2,3.0,.734, , ,3.0,1.3, , , ,2.3,7.4
Frank Kudelka,G-F,25,TOT,62, , ,2.9,8.4,.346, , , ,2.9,8.4,.346,.346,1.3,1.9,.697, , ,2.5,1.7, , , ,3.4,7.1
Frank Kudelka,G-F,25,WSC,35, , ,3.6,10.5,.340, , , ,3.6,10.5,.340,.340,1.8,2.6,.685, , , ,2.1, , , ,4.3,8.9
Frank Kudelka,G-F,25,BOS,27, , ,2.0,5.6,.360, , , ,2.0,5.6,.360,.360,0.7,1.0,.741, , , ,1.1, , , ,2.3,4.7
Tony Lavelli,F,24,NYK,30, , ,1.1,3.1,.344, , , ,1.1,3.1,.344,.344,1.2,1.4,.854, , ,2.0,0.8, , , ,1.9,3.3
Bob Lavoy,PF,24,INO,63, , ,3.5,9.8,.357, , , ,3.5,9.8,.357,.357,1.3,2.1,.632, , ,4.9,1.2, , , ,3.0,8.3
Ed Leede,F-G,23,BOS,57, , ,2.1,6.5,.322, , , ,2.1,6.5,.322,.322,2.5,3.3,.741, , ,2.1,1.7, , , ,2.5,6.6
Ron Livingstone,C,25,PHW,63, , ,1.7,5.6,.295, , , ,1.7,5.6,.295,.295,1.2,1.7,.697, , ,4.7,1.2, , , ,3.5,4.5
Earl Lloyd*,SF,22,WSC,7, , ,2.3,5.0,.457, , , ,2.3,5.0,.457,.457,1.6,1.9,.846, , ,6.7,1.6, , , ,3.7,6.1
Don Lofgran,F-C,21,TOT,61, , ,1.3,4.4,.293, , , ,1.3,4.4,.293,.293,1.3,2.1,.622, , ,2.6,0.6, , , ,2.2,3.9
Don Lofgran,F-C,21,SYR,47, , ,1.1,3.7,.297, , , ,1.1,3.7,.297,.297,1.2,2.0,.624, , , ,0.6, , , ,2.2,3.4
Don Lofgran,F-C,21,INO,14, , ,1.9,6.8,.284, , , ,1.9,6.8,.284,.284,1.5,2.4,.618, , , ,0.5, , , ,2.1,5.4
John Logan,G,30,TRI,30, , ,2.8,9.0,.312, , , ,2.8,9.0,.312,.312,2.1,2.8,.750, , ,4.5,4.0, , , ,2.3,7.7
Ray Lumpp,G,27,NYK,64, , ,2.4,5.9,.404, , , ,2.4,5.9,.404,.404,1.9,2.5,.775, , ,2.0,1.8, , , ,2.5,6.7
Ed Macauley*,C-F,22,BOS,68, , ,6.8,14.5,.466, , , ,6.8,14.5,.466,.466,6.9,9.0,.759, , ,9.1,3.7, , , ,3.0,20.4
Johnny Macknowski,G-F,28,SYR,58, , ,2.3,7.5,.301, , , ,2.3,7.5,.301,.301,2.1,2.9,.718, , ,1.9,1.2, , , ,2.3,6.6
Norm Mager,F,24,BLB,24, , ,1.7,5.9,.282, , , ,1.7,5.9,.282,.282,1.8,2.3,.786, , ,2.0,1.0, , , ,2.8,5.2
John Mahnken,C,28,TOT,58, , ,1.9,6.1,.316, , , ,1.9,6.1,.316,.316,0.8,1.2,.643, , ,3.8,1.3, , , ,2.8,4.6
John Mahnken,C,28,BOS,46, , ,2.2,6.5,.342, , , ,2.2,6.5,.342,.342,0.8,1.2,.648, , ,4.0,1.5, , , ,3.3,5.2
John Mahnken,C,28,INO,12, , ,0.8,4.4,.170, , , ,0.8,4.4,.170,.170,0.8,1.3,.625, , ,2.9,0.8, , , ,1.0,2.3
