Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Arizin*,SF,30,PHW,70, ,40.0,9.0,20.9,.431, , , ,9.0,20.9,.431,.431,8.4,10.3,.813, , ,9.1,1.7, , , ,3.8,26.4
Elgin Baylor*,SF,24,MNL,70, ,40.8,8.6,21.2,.408, , , ,8.6,21.2,.408,.408,7.6,9.8,.777, , ,15.0,4.1, , , ,3.9,24.9
Ernie Beck,SG,27,PHW,70, ,14.5,2.3,6.0,.390, , , ,2.3,6.0,.390,.390,0.6,0.9,.662, , ,2.5,1.3, , , ,1.8,5.3
Al Bianchi,PG,26,SYR,72, ,24.7,4.0,10.5,.377, , , ,4.0,10.5,.377,.377,2.1,2.9,.723, , ,2.8,2.2, , , ,3.6,10.0
Jerry Bird,F,23,NYK,11, ,4.1,1.1,2.9,.375, , , ,1.1,2.9,.375,.375,0.1,0.1,1.000, , ,1.1,0.4, , , ,0.6,2.3
Bucky Bockhorn,SG,25,CIN,71, ,31.7,4.1,10.9,.381, , , ,4.1,10.9,.381,.381,1.9,2.8,.704, , ,6.5,2.9, , , ,3.0,10.2
Carl Braun,PG,31,NYK,72, ,27.2,4.0,9.5,.420, , , ,4.0,9.5,.420,.420,2.5,3.0,.826, , ,3.5,4.8, , , ,2.5,10.5
Pete Brennan,F,22,NYK,16, ,8.5,0.8,2.7,.302, , , ,0.8,2.7,.302,.302,0.9,1.6,.560, , ,1.9,0.4, , , ,0.9,2.5
Barney Cable,PF,23,DET,31, ,8.7,1.4,4.1,.341, , , ,1.4,4.1,.341,.341,0.7,0.9,.793, , ,2.8,0.4, , , ,1.0,3.5
Gene Conley,PF,28,BOS,50, ,13.3,1.7,5.2,.328, , , ,1.7,5.2,.328,.328,0.7,1.3,.578, , ,5.5,0.4, , , ,2.3,4.2
Ed Conlin,SG,25,TOT,72, ,27.2,4.6,12.4,.369, , , ,4.6,12.4,.369,.369,2.7,3.8,.719, , ,5.5,1.8, , , ,2.6,11.9
Ed Conlin,F-G,25,SYR,57, ,28.1,4.6,12.6,.365, , , ,4.6,12.6,.365,.365,2.7,3.7,.739, , ,5.3,2.0, , , ,2.7,11.9
Ed Conlin,SG,25,DET,15, ,23.6,4.5,11.7,.389, , , ,4.5,11.7,.389,.389,2.7,4.2,.651, , ,6.1,1.1, , , ,2.1,11.8
Larry Costello,PG,27,SYR,70, ,39.3,5.9,13.5,.437, , , ,5.9,13.5,.437,.437,4.0,5.0,.802, , ,5.2,5.4, , , ,3.8,15.8
Bob Cousy*,PG,30,BOS,65, ,37.0,7.4,19.4,.384, , , ,7.4,19.4,.384,.384,5.1,5.9,.855, , ,5.5,8.6, , , ,2.1,20.0
Archie Dees,PF,22,CIN,68, ,18.4,2.9,8.3,.356, , , ,2.9,8.3,.356,.356,2.3,3.0,.779, , ,5.0,0.8, , , ,1.7,8.2
George Dempsey,PG,29,TOT,57, ,12.2,1.6,3.8,.428, , , ,1.6,3.8,.428,.428,1.4,1.9,.764, , ,2.8,1.2, , , ,1.7,4.6
George Dempsey,PG,29,PHW,23, ,12.3,1.6,3.3,.480, , , ,1.6,3.3,.480,.480,1.0,1.4,.697, , ,2.6,1.4, , , ,1.3,4.1
George Dempsey,PG,29,SYR,34, ,12.1,1.6,4.1,.400, , , ,1.6,4.1,.400,.400,1.7,2.1,.795, , ,2.9,1.1, , , ,1.9,5.0
Connie Dierking,C,22,SYR,64, ,11.3,1.6,4.5,.362, , , ,1.6,4.5,.362,.362,1.3,2.2,.593, , ,3.6,0.5, , , ,2.3,4.6
Walter Dukes,C,28,DET,72, ,32.5,4.4,12.6,.352, , , ,4.4,12.6,.352,.352,4.1,6.3,.657, , ,13.3,0.9, , , ,4.6,13.0
Boo Ellis,PF,22,MNL,72, ,16.7,2.3,5.3,.430, , , ,2.3,5.3,.430,.430,1.4,2.0,.708, , ,5.3,0.8, , , ,1.9,5.9
Wayne Embry*,C,21,CIN,66, ,24.1,4.1,10.6,.387, , , ,4.1,10.6,.387,.387,3.1,4.8,.656, , ,9.0,1.5, , , ,3.5,11.4
Dick Farley,SG,26,DET,70, ,18.3,2.5,6.4,.395, , , ,2.5,6.4,.395,.395,2.0,2.7,.737, , ,2.8,1.8, , , ,1.9,7.0
