Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mike Farmer,SF,22,NYK,72, ,21.5,2.4,6.9,.353, , , ,2.4,6.9,.353,.353,1.2,1.4,.838, , ,4.4,0.9, , , ,2.1,6.0
Ray Felix,C,28,NYK,72, ,22.1,3.6,9.7,.371, , , ,3.6,9.7,.371,.371,3.2,4.5,.713, , ,7.9,0.7, , , ,3.8,10.4
Al Ferrari,SG,25,STL,72, ,16.5,1.9,5.3,.348, , , ,1.9,5.3,.348,.348,2.0,2.8,.729, , ,2.0,1.7, , , ,2.2,5.7
Ed Fleming,SG,25,MNL,71, ,15.9,2.3,5.9,.387, , , ,2.3,5.9,.387,.387,1.9,2.7,.721, , ,4.0,1.3, , , ,2.1,6.5
Larry Foust,C,30,MNL,72, ,26.8,4.2,10.7,.390, , , ,4.2,10.7,.390,.390,3.9,5.1,.765, , ,8.7,1.3, , , ,3.2,12.3
Dave Gambee,SF,21,STL,2, ,3.5,0.5,0.5,1.000, , , ,0.5,0.5,1.000,1.000,0.0,0.0, , , ,1.0,0.0, , , ,1.0,1.0
Dick Garmaker,SG,26,MNL,72, ,34.6,4.9,12.3,.395, , , ,4.9,12.3,.395,.395,3.9,5.1,.772, , ,4.5,2.9, , , ,3.1,13.7
Jack George,PG,30,TOT,71, ,26.5,3.3,9.5,.346, , , ,3.3,9.5,.346,.346,2.2,2.9,.754, , ,4.1,3.1, , , ,2.1,8.7
Jack George,PG,30,PHW,46, ,30.2,3.7,10.9,.341, , , ,3.7,10.9,.341,.341,2.4,3.3,.730, , ,4.6,3.6, , , ,2.1,9.8
Jack George,PG,30,NYK,25, ,19.8,2.5,6.9,.358, , , ,2.5,6.9,.358,.358,1.7,2.0,.824, , ,3.3,2.2, , , ,2.0,6.6
Tom Gola*,SG,26,PHW,64, ,36.5,4.8,12.1,.401, , , ,4.8,12.1,.401,.401,4.4,5.6,.787, , ,11.1,4.2, , , ,3.8,14.1
Joe Graboski,PF,29,PHW,72, ,34.5,5.5,15.5,.353, , , ,5.5,15.5,.353,.353,3.8,5.0,.750, , ,10.4,2.1, , , ,3.5,14.7
Si Green,PG,25,TOT,46, ,24.1,3.2,9.0,.352, , , ,3.2,9.0,.352,.352,2.3,3.5,.650, , ,5.5,2.5, , , ,2.8,8.6
Si Green,G-F,25,CIN,20, ,33.3,5.0,13.4,.373, , , ,5.0,13.4,.373,.373,2.5,3.7,.685, , ,7.0,4.3, , , ,3.3,12.5
Si Green,PG,25,STL,26, ,17.0,1.8,5.7,.313, , , ,1.8,5.7,.313,.313,2.1,3.3,.621, , ,4.3,1.1, , , ,2.4,5.6
Hal Greer*,SG,22,SYR,68, ,23.9,4.5,10.0,.454, , , ,4.5,10.0,.454,.454,2.0,2.6,.778, , ,2.9,1.5, , , ,2.8,11.1
Richie Guerin*,SG,26,NYK,71, ,36.0,6.2,14.7,.424, , , ,6.2,14.7,.424,.424,5.7,7.1,.802, , ,7.3,5.1, , , ,3.6,18.2
Cliff Hagan*,SF,27,STL,72, ,37.5,9.0,19.7,.456, , , ,9.0,19.7,.456,.456,5.8,7.4,.774, , ,10.9,3.4, , , ,3.8,23.7
Steve Hamilton,SF,24,MNL,67, ,12.6,1.6,4.4,.371, , , ,1.6,4.4,.371,.371,1.1,1.6,.679, , ,3.3,0.5, , , ,2.1,4.4
Vern Hatton,PG,23,TOT,64, ,17.3,2.3,6.5,.356, , , ,2.3,6.5,.356,.356,1.2,1.6,.733, , ,2.8,1.1, , , ,1.7,5.9
Vern Hatton,G,23,CIN,22, ,29.9,3.0,9.4,.319, , , ,3.0,9.4,.319,.319,1.5,2.3,.667, , ,3.7,1.4, , , ,2.5,7.5
Vern Hatton,PG,23,PHW,42, ,10.8,2.0,5.0,.393, , , ,2.0,5.0,.393,.393,1.0,1.3,.796, , ,2.3,1.0, , , ,1.3,5.0
Tom Heinsohn*,PF,24,BOS,66, ,31.7,7.0,18.1,.390, , , ,7.0,18.1,.390,.390,4.7,5.9,.798, , ,9.7,2.5, , , ,4.1,18.8
Joe Holup,SF,24,DET,68, ,22.1,3.1,8.5,.360, , , ,3.1,8.5,.360,.360,2.2,2.9,.760, , ,5.2,1.1, , , ,3.5,8.4
Bob Hopkins,PF,24,SYR,67, ,22.7,3.7,9.1,.403, , , ,3.7,9.1,.403,.403,2.6,3.5,.752, , ,6.5,1.0, , , ,2.7,10.0
Hot Rod Hundley,PG,24,MNL,71, ,23.4,3.6,10.1,.360, , , ,3.6,10.1,.360,.360,2.3,3.1,.752, , ,3.5,2.9, , , ,2.0,9.6
Andy Johnson,SF,26,PHW,67, ,17.3,2.6,7.0,.373, , , ,2.6,7.0,.373,.373,1.7,2.9,.602, , ,3.2,1.3, , , ,2.6,6.9
Neil Johnston*,C,29,PHW,28, ,14.0,1.9,5.9,.329, , , ,1.9,5.9,.329,.329,2.5,3.1,.784, , ,5.0,0.8, , , ,1.8,6.3
K.C. Jones*,PG,26,BOS,49, ,12.4,1.3,3.9,.339, , , ,1.3,3.9,.339,.339,0.8,1.4,.603, , ,2.6,1.4, , , ,1.2,3.5
Sam Jones*,SF,25,BOS,71, ,20.6,4.3,9.9,.434, , , ,4.3,9.9,.434,.434,2.1,2.8,.770, , ,6.0,1.4, , , ,1.4,10.7
Phil Jordon,PF,25,DET,72, ,28.6,5.5,13.4,.413, , , ,5.5,13.4,.413,.413,3.2,4.2,.762, , ,8.3,1.2, , , ,2.7,14.3
Tommy Kearns,G,22,SYR,1, ,7.0,1.0,1.0,1.000, , , ,1.0,1.0,1.000,1.000,0.0,0.0, , , ,0.0,0.0, , , ,1.0,2.0
Red Kerr,C,26,SYR,72, ,37.1,7.0,15.8,.441, , , ,7.0,15.8,.441,.441,3.9,5.1,.766, , ,14.0,2.0, , , ,2.5,17.8
Jim Krebs,C,23,MNL,72, ,21.9,3.8,9.4,.399, , , ,3.8,9.4,.399,.399,1.3,1.7,.748, , ,6.8,0.7, , , ,2.9,8.8
Slick Leonard*,PG,26,MNL,58, ,27.6,3.6,9.5,.373, , , ,3.6,9.5,.373,.373,2.1,2.8,.750, , ,3.1,3.2, , , ,2.1,9.2
Earl Lloyd*,SF,30,DET,72, ,24.9,3.3,9.3,.349, , , ,3.3,9.3,.349,.349,1.9,2.5,.753, , ,6.9,1.3, , , ,4.0,8.4
Jim Loscutoff,SF,28,BOS,66, ,25.5,3.7,10.4,.353, , , ,3.7,10.4,.353,.353,0.9,1.3,.738, , ,7.0,0.9, , , ,4.3,8.3
Clyde Lovellette*,C,29,STL,70, ,22.8,5.7,12.6,.454, , , ,5.7,12.6,.454,.454,2.9,3.6,.820, , ,8.6,1.3, , , ,3.1,14.4
Ed Macauley*,C,30,STL,14, ,14.0,1.6,5.4,.293, , , ,1.6,5.4,.293,.293,1.5,2.5,.600, , ,2.9,0.9, , , ,1.4,4.6
Tom Marshall,SF,28,CIN,18, ,15.1,1.3,4.4,.291, , , ,1.3,4.4,.291,.291,1.0,1.6,.621, , ,2.9,1.5, , , ,1.2,3.6
Slater Martin*,PG,33,STL,71, ,35.3,3.5,9.9,.347, , , ,3.5,9.9,.347,.347,2.8,3.6,.776, , ,3.6,4.7, , , ,3.2,9.7
Brendan McCann,PG,23,NYK,1, ,7.0,0.0,3.0,.000, , , ,0.0,3.0,.000,.000,0.0,0.0, , , ,1.0,1.0, , , ,1.0,0.0
Johnny McCarthy,PG,24,CIN,47, ,38.9,5.2,14.0,.373, , , ,5.2,14.0,.373,.373,2.5,3.7,.667, , ,4.8,4.8, , , ,3.4,12.9
Dick McGuire*,PG,33,DET,71, ,29.1,3.3,7.6,.427, , , ,3.3,7.6,.427,.427,2.7,3.6,.740, , ,4.0,6.2, , , ,2.1,9.2
Jack McMahon,SG,30,STL,72, ,31.0,3.4,9.6,.358, , , ,3.4,9.6,.358,.358,1.3,2.2,.615, , ,2.3,4.1, , , ,3.1,8.2
Shellie McMillon,PF,22,DET,48, ,14.6,2.6,6.0,.439, , , ,2.6,6.0,.439,.439,1.1,2.2,.529, , ,5.9,0.5, , , ,2.3,6.4
Vern Mikkelsen*,PF,30,MNL,72, ,29.7,4.9,12.6,.390, , , ,4.9,12.6,.390,.390,4.0,4.9,.806, , ,7.9,2.2, , , ,3.4,13.8
Willie Naulls,SF,24,NYK,68, ,30.3,6.0,15.8,.378, , , ,6.0,15.8,.378,.378,3.8,4.6,.830, , ,10.6,1.5, , , ,3.4,15.7
Chuck Noble,SG,27,DET,65, ,14.4,2.9,8.6,.338, , , ,2.9,8.6,.338,.338,1.3,1.7,.735, , ,1.8,1.8, , , ,1.9,7.1
Togo Palazzi,SF,26,SYR,71, ,14.8,3.4,8.6,.392, , , ,3.4,8.6,.392,.392,1.6,2.2,.728, , ,3.7,0.9, , , ,2.5,8.4
Jim Palmer,C,25,CIN,67, ,24.2,3.8,9.4,.404, , , ,3.8,9.4,.404,.404,2.7,3.7,.724, , ,7.0,1.0, , , ,3.1,10.3
Med Park,SG,25,TOT,62, ,18.2,2.3,5.8,.402, , , ,2.3,5.8,.402,.402,1.9,2.4,.767, , ,3.0,1.7, , , ,1.5,6.5
Med Park,SG,25,STL,29, ,7.9,1.2,2.9,.405, , , ,1.2,2.9,.405,.405,0.6,0.8,.750, , ,1.3,1.0, , , ,0.8,3.0
Med Park,SG,25,CIN,33, ,27.2,3.4,8.4,.401, , , ,3.4,8.4,.401,.401,2.9,3.8,.770, , ,4.5,2.4, , , ,2.2,9.7
Jack Parr,C,22,CIN,66, ,15.7,1.7,4.7,.355, , , ,1.7,4.7,.355,.355,0.7,1.1,.603, , ,4.2,0.8, , , ,2.1,4.0
Bob Pettit*,PF,26,STL,72, ,39.9,10.0,22.8,.438, , , ,10.0,22.8,.438,.438,9.3,12.2,.759, , ,16.4,3.1, , , ,2.8,29.2
Dave Piontek,PF,24,CIN,72, ,23.3,4.2,11.3,.375, , , ,4.2,11.3,.375,.375,2.2,3.2,.687, , ,5.3,1.7, , , ,2.3,10.6
Frank Ramsey*,SG,27,BOS,72, ,28.0,5.3,14.1,.378, , , ,5.3,14.1,.378,.378,4.7,6.1,.782, , ,6.8,2.0, , , ,3.7,15.4
Hub Reed,C,22,STL,65, ,14.6,2.1,4.9,.429, , , ,2.1,4.9,.429,.429,0.8,1.1,.746, , ,4.9,0.5, , , ,2.6,5.0
Guy Rodgers*,PG,23,PHW,45, ,34.8,4.7,11.9,.394, , , ,4.7,11.9,.394,.394,1.4,2.5,.545, , ,6.2,5.8, , , ,2.9,10.7
Phil Rollins,PG,25,TOT,44, ,15.7,1.9,5.3,.359, , , ,1.9,5.3,.359,.359,1.4,2.0,.700, , ,2.7,2.3, , , ,1.1,5.2
Phil Rollins,G,25,PHW,23, ,10.9,1.3,3.8,.333, , , ,1.3,3.8,.333,.333,1.2,2.0,.622, , ,1.3,1.9, , , ,0.8,3.7
Phil Rollins,PG,25,CIN,21, ,21.0,2.6,6.9,.375, , , ,2.6,6.9,.375,.375,1.7,2.1,.778, , ,4.1,2.8, , , ,1.4,6.8
Lennie Rosenbluth,SF,26,PHW,29, ,7.1,1.5,5.0,.297, , , ,1.5,5.0,.297,.297,0.7,1.0,.724, , ,1.9,0.2, , , ,0.7,3.7
Bill Russell*,C,24,BOS,70, ,42.6,6.5,14.2,.457, , , ,6.5,14.2,.457,.457,3.7,6.1,.598, , ,23.0,3.2, , , ,2.3,16.7
Woody Sauldsberry,C,24,PHW,72, ,38.1,7.0,19.2,.363, , , ,7.0,19.2,.363,.363,1.5,2.4,.625, , ,11.5,1.0, , , ,3.8,15.4
Dolph Schayes*,PF,30,SYR,72, ,36.7,7.0,18.1,.387, , , ,7.0,18.1,.387,.387,7.3,8.5,.864, , ,13.4,2.5, , , ,3.9,21.3
Kenny Sears,PF,25,NYK,71, ,35.2,6.9,14.1,.490, , , ,6.9,14.1,.490,.490,7.1,8.3,.861, , ,9.3,1.9, , , ,3.3,21.0
Frank Selvy,SG,26,NYK,68, ,21.3,3.4,8.9,.385, , , ,3.4,8.9,.385,.385,3.0,3.9,.767, , ,3.6,1.4, , , ,1.7,9.8
Paul Seymour,SG,31,SYR,21, ,12.7,1.5,4.7,.327, , , ,1.5,4.7,.327,.327,1.2,1.4,.897, , ,1.9,1.7, , , ,1.2,4.3
Chuck Share,C,31,STL,72, ,23.8,2.0,5.3,.386, , , ,2.0,5.3,.386,.386,1.9,2.6,.755, , ,9.1,1.4, , , ,3.6,6.0
Bill Sharman*,SG,32,BOS,72, ,33.1,7.8,19.1,.408, , , ,7.8,19.1,.408,.408,4.8,5.1,.932, , ,4.1,2.5, , , ,2.4,20.4
Gene Shue,PG,27,DET,72, ,38.1,6.4,16.6,.388, , , ,6.4,16.6,.388,.388,4.7,5.8,.803, , ,4.7,3.2, , , ,1.8,17.6
Ron Sobie,PG,24,NYK,50, ,17.1,2.9,8.0,.360, , , ,2.9,8.0,.360,.360,2.2,2.7,.842, , ,3.1,1.6, , , ,1.7,8.0
Guy Sparrow,PF,26,TOT,67, ,12.6,1.9,6.1,.318, , , ,1.9,6.1,.318,.318,1.2,2.1,.565, , ,3.6,1.0, , , ,2.4,5.0
Guy Sparrow,F,26,NYK,44, ,13.8,2.2,7.0,.312, , , ,2.2,7.0,.312,.312,1.3,2.2,.582, , ,4.3,1.0, , , ,2.6,5.7
Guy Sparrow,PF,26,PHW,23, ,10.2,1.4,4.3,.337, , , ,1.4,4.3,.337,.337,0.9,1.7,.525, , ,2.5,1.0, , , ,1.9,3.8
Larry Staverman,PF,22,CIN,57, ,11.9,1.8,3.8,.470, , , ,1.8,3.8,.470,.470,0.8,1.0,.763, , ,3.8,0.9, , , ,1.8,4.3
Bennie Swain,PF,25,BOS,58, ,12.2,1.7,4.2,.406, , , ,1.7,4.2,.406,.406,1.2,1.9,.609, , ,4.5,0.5, , , ,2.2,4.6
Lou Tsioropoulos,SF,28,BOS,35, ,13.9,1.7,5.4,.316, , , ,1.7,5.4,.316,.316,0.7,0.9,.758, , ,3.1,0.6, , , ,2.1,4.1
Jack Twyman*,SF,24,CIN,72, ,37.7,9.9,23.5,.420, , , ,9.9,23.5,.420,.420,6.1,7.8,.783, , ,9.1,2.9, , , ,3.8,25.8
Charlie Tyra,C,23,NYK,69, ,23.0,3.5,8.8,.396, , , ,3.5,8.8,.396,.396,1.9,2.8,.679, , ,7.0,0.5, , , ,2.6,8.8
Win Wilfong,PG,25,STL,63, ,11.8,1.6,4.5,.347, , , ,1.6,4.5,.347,.347,1.0,1.3,.756, , ,1.9,0.8, , , ,1.6,4.1
George Yardley*,SF,30,TOT,61, ,30.1,7.3,17.1,.428, , , ,7.3,17.1,.428,.428,5.2,6.7,.779, , ,7.1,1.1, , , ,2.6,19.8
George Yardley*,SF,30,DET,46, ,30.8,7.6,18.3,.415, , , ,7.6,18.3,.415,.415,5.6,6.9,.816, , ,7.1,0.9, , , ,2.7,20.8
George Yardley*,SF,30,SYR,15, ,28.0,6.4,13.3,.482, , , ,6.4,13.3,.482,.482,3.9,6.1,.648, , ,6.9,1.7, , , ,2.5,16.7
