Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Gary Alcorn,C,23,DET,58, ,11.6,1.6,5.4,.292, , , ,1.6,5.4,.292,.292,0.8,1.4,.571, , ,4.8,0.4, , , ,2.1,4.0
Bob Anderegg,SF,22,NYK,33, ,11.3,1.7,4.3,.385, , , ,1.7,4.3,.385,.385,0.7,1.3,.548, , ,2.1,0.9, , , ,1.0,4.0
Paul Arizin*,SF,31,PHW,72, ,36.4,8.2,19.4,.424, , , ,8.2,19.4,.424,.424,5.8,7.3,.798, , ,8.6,2.3, , , ,3.7,22.3
Dick Barnett,SG,23,SYR,57, ,21.7,5.1,12.3,.412, , , ,5.1,12.3,.412,.412,2.2,3.2,.711, , ,2.7,2.8, , , ,1.7,12.4
Elgin Baylor*,SF,25,MNL,70, ,41.0,10.8,25.4,.424, , , ,10.8,25.4,.424,.424,8.1,11.0,.732, , ,16.4,3.5, , , ,3.3,29.6
Ernie Beck,SG,28,PHW,66, ,12.3,1.7,4.5,.388, , , ,1.7,4.5,.388,.388,0.4,0.5,.844, , ,1.9,1.1, , , ,1.4,3.9
Whitey Bell,PG,27,NYK,31, ,14.5,2.3,6.0,.378, , , ,2.3,6.0,.378,.378,0.9,1.4,.651, , ,2.8,1.8, , , ,1.9,5.4
Al Bianchi,PG,27,SYR,69, ,18.2,3.1,8.3,.366, , , ,3.1,8.3,.366,.366,1.6,2.2,.703, , ,2.6,2.4, , , ,3.3,7.7
Bucky Bockhorn,SG,26,CIN,75, ,28.0,4.3,10.8,.398, , , ,4.3,10.8,.398,.398,1.9,2.6,.747, , ,5.1,3.4, , , ,3.3,10.5
Carl Braun,PG,32,NYK,54, ,28.0,5.3,12.2,.432, , , ,5.3,12.2,.432,.432,2.4,2.9,.838, , ,3.1,5.0, , , ,2.4,12.9
Barney Cable,SF,24,TOT,57, ,12.5,1.9,5.1,.376, , , ,1.9,5.1,.376,.376,0.8,1.2,.657, , ,3.9,0.7, , , ,1.6,4.6
Barney Cable,F,24,DET,7, ,16.6,3.1,8.6,.367, , , ,3.1,8.6,.367,.367,0.6,1.4,.400, , ,6.9,0.9, , , ,2.7,6.9
Barney Cable,SF,24,SYR,50, ,12.0,1.7,4.6,.378, , , ,1.7,4.6,.378,.378,0.8,1.1,.702, , ,3.5,0.7, , , ,1.5,4.3
Wilt Chamberlain*,C,23,PHW,72, ,46.4,14.8,32.1,.461, , , ,14.8,32.1,.461,.461,8.0,13.8,.582, , ,27.0,2.3, , , ,2.1,37.6
Gene Conley,PF,29,BOS,71, ,18.7,2.8,7.6,.373, , , ,2.8,7.6,.373,.373,1.1,1.6,.667, , ,8.3,0.5, , , ,3.8,6.7
Ed Conlin,SG,26,DET,70, ,23.4,4.3,11.9,.361, , , ,4.3,11.9,.361,.361,2.6,3.4,.761, , ,4.9,1.8, , , ,2.3,11.2
Larry Costello,PG,28,SYR,71, ,34.8,5.2,11.6,.453, , , ,5.2,11.6,.453,.453,3.5,4.1,.862, , ,5.5,6.3, , , ,3.3,14.0
Bob Cousy*,PG,31,BOS,75, ,34.5,7.6,19.7,.384, , , ,7.6,19.7,.384,.384,4.3,5.4,.792, , ,4.7,9.5, , , ,1.9,19.4
Archie Dees,PF,23,DET,73, ,17.0,3.7,8.5,.439, , , ,3.7,8.5,.439,.439,2.3,2.8,.809, , ,5.4,0.6, , , ,2.6,9.7
Connie Dierking,C,23,SYR,71, ,15.8,2.7,7.4,.365, , , ,2.7,7.4,.365,.365,1.5,2.6,.574, , ,6.4,0.8, , , ,2.4,6.9
Walter Dukes,C,29,DET,66, ,32.4,4.8,13.2,.361, , , ,4.8,13.2,.361,.361,5.7,7.7,.740, , ,13.4,1.2, , , ,4.7,15.2
Boo Ellis,PF,23,MNL,46, ,14.6,1.4,4.0,.346, , , ,1.4,4.0,.346,.346,1.1,1.7,.671, , ,5.1,0.6, , , ,1.4,3.9
Wayne Embry*,C,22,CIN,73, ,21.8,4.2,9.5,.439, , , ,4.2,9.5,.439,.439,2.3,4.5,.514, , ,9.5,1.1, , , ,3.1,10.6
Mike Farmer,SF,23,NYK,67, ,22.9,3.2,8.5,.373, , , ,3.2,8.5,.373,.373,1.0,1.2,.843, , ,5.7,0.9, , , ,1.9,7.4
Ray Felix,C,29,TOT,47, ,18.8,2.9,7.6,.383, , , ,2.9,7.6,.383,.383,1.5,2.4,.625, , ,7.2,0.7, , , ,3.8,7.3
Ray Felix,C,29,NYK,16, ,11.6,1.9,5.9,.330, , , ,1.9,5.9,.330,.330,1.2,2.1,.576, , ,5.1,0.1, , , ,2.8,5.1
Ray Felix,C,29,MNL,31, ,22.5,3.4,8.4,.402, , , ,3.4,8.4,.402,.402,1.6,2.5,.646, , ,8.3,0.9, , , ,4.3,8.4
Al Ferrari,SG,26,STL,71, ,22.1,3.0,7.4,.413, , , ,3.0,7.4,.413,.413,2.5,3.2,.782, , ,2.3,2.6, , , ,2.9,8.6
Bob Ferry,C,22,STL,62, ,14.1,2.3,5.5,.426, , , ,2.3,5.5,.426,.426,1.2,1.9,.639, , ,3.8,0.6, , , ,2.1,5.9
Ed Fleming,SG,26,MNL,27, ,15.3,2.2,5.2,.418, , , ,2.2,5.2,.418,.418,2.0,2.6,.768, , ,3.2,1.4, , , ,1.7,6.3
Larry Foust,C-F,31,TOT,72, ,27.3,4.3,10.6,.407, , , ,4.3,10.6,.407,.407,3.5,4.4,.791, , ,8.6,1.3, , , ,3.3,12.2
Larry Foust,C,31,MNL,47, , , , , , , , , , , , , , , , , , , , , , , , 
