Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Carl Braun,SG,25,NYK,70, ,33.1,4.6,11.5,.400, , , ,4.6,11.5,.400,.400,4.7,5.7,.825, , ,3.3,3.5, , , ,4.1,14.0
Frankie Brian,SG,29,FTW,68, ,28.1,3.6,10.3,.351, , , ,3.6,10.3,.351,.351,3.5,4.4,.795, , ,2.0,2.1, , , ,3.0,10.7
Dick Bunt,PG,22,TOT,26, ,10.4,1.1,4.0,.276, , , ,1.1,4.0,.276,.276,1.3,1.8,.708, , ,1.1,0.7, , , ,1.5,3.5
Dick Bunt,PG,22,NYK,14, ,10.4,0.9,3.8,.226, , , ,0.9,3.8,.226,.226,1.2,1.8,.680, , ,0.9,0.7, , , ,1.3,2.9
Dick Bunt,PG,22,BLB,12, ,10.4,1.4,4.3,.327, , , ,1.4,4.3,.327,.327,1.4,1.9,.739, , ,1.3,0.6, , , ,1.8,4.3
Bill Calhoun,SF,25,TOT,62, ,34.6,2.9,8.6,.337, , , ,2.9,8.6,.337,.337,3.4,4.7,.723, , ,4.5,2.5, , , ,2.2,9.2
Bill Calhoun,F-G,25,SYR,13, ,18.4,1.2,4.2,.291, , , ,1.2,4.2,.291,.291,2.5,3.5,.711, , ,2.1,1.2, , , ,1.5,4.9
Bill Calhoun,SF,25,MLH,49, ,39.0,3.3,9.8,.342, , , ,3.3,9.8,.342,.342,3.7,5.0,.725, , ,5.1,2.9, , , ,2.4,10.3
Al Cervi*,PG,35,SYR,38, ,7.9,0.8,1.9,.437, , , ,0.8,1.9,.437,.437,2.1,2.6,.810, , ,0.6,0.7, , , ,2.4,3.8
Cal Christensen,SF,25,ROC,59, ,13.2,1.2,3.9,.313, , , ,1.2,3.9,.313,.313,1.2,1.9,.596, , ,3.4,0.9, , , ,2.5,3.6
Nat Clifton*,PF,30,NYK,70, ,35.7,3.9,11.3,.343, , , ,3.9,11.3,.343,.343,2.9,4.9,.583, , ,10.9,3.3, , , ,3.9,10.6
Jack Coleman,PF,28,ROC,70, ,37.5,4.5,10.7,.420, , , ,4.5,10.7,.420,.420,1.9,3.0,.649, , ,11.1,3.3, , , ,3.5,10.9
Gene Conley,PF,22,BOS,39, ,11.8,0.9,2.8,.324, , , ,0.9,2.8,.324,.324,0.5,0.8,.581, , ,4.4,0.5, , , ,1.9,2.3
Chuck Cooper,SF,26,BOS,70, ,28.5,2.2,6.7,.337, , , ,2.2,6.7,.337,.337,2.1,2.7,.758, , ,6.3,1.6, , , ,3.7,6.5
Ray Corley,G,25,FTW,8, ,8.1,0.4,3.0,.125, , , ,0.4,3.0,.125,.125,0.6,0.8,.833, , ,0.6,0.6, , , ,2.3,1.4
Bob Cousy*,PG,24,BOS,71, ,41.5,6.5,18.6,.352, , , ,6.5,18.6,.352,.352,6.7,8.3,.816, , ,6.3,7.7, , , ,3.2,19.8
Dillard Crocker,PF,28,MLH,61, ,12.7,1.6,4.7,.352, , , ,1.6,4.7,.352,.352,2.1,3.1,.688, , ,1.7,1.0, , , ,3.3,5.4
Pete Darcey,C,22,MLH,12, ,7.5,0.3,1.5,.167, , , ,0.3,1.5,.167,.167,0.4,0.8,.556, , ,0.8,0.2, , , ,2.4,0.9
Bob Davies*,PG,33,ROC,66, ,33.6,5.1,13.3,.385, , , ,5.1,13.3,.385,.385,5.3,7.1,.753, , ,3.0,4.2, , , ,4.0,15.6
Blaine Denning,G,22,BLB,1, ,9.0,2.0,5.0,.400, , , ,2.0,5.0,.400,.400,1.0,1.0,1.000, , ,4.0,0.0, , , ,3.0,5.0
Bob Donham,SG,26,BOS,71, ,20.2,2.4,5.0,.479, , , ,2.4,5.0,.479,.479,1.6,3.4,.471, , ,3.4,2.2, , , ,3.0,6.4
Dike Eddleman,SF,30,FTW,69, ,22.8,3.5,10.0,.351, , , ,3.5,10.0,.351,.351,1.9,3.4,.561, , ,3.4,1.5, , , ,3.2,8.9
George Feigenbaum,PG,23,MLH,5, ,15.8,0.8,4.4,.182, , , ,0.8,4.4,.182,.182,1.6,3.0,.533, , ,1.4,1.8, , , ,2.8,3.2
Jake Fendley,PG,23,FTW,45, ,8.4,0.7,1.8,.400, , , ,0.7,1.8,.400,.400,0.9,1.3,.667, , ,1.0,0.8, , , ,1.8,2.3
Danny Finn,SG,24,PHW,31, ,32.7,4.4,13.2,.330, , , ,4.4,13.2,.330,.330,3.2,5.9,.544, , ,5.6,4.7, , , ,4.0,11.9
Jerry Fleishman,SG,30,PHW,33, ,26.7,3.0,9.2,.330, , , ,3.0,9.2,.330,.330,2.9,4.2,.686, , ,4.6,3.3, , , ,3.6,9.0
Larry Foust,C,24,FTW,67, ,34.4,4.6,12.9,.360, , , ,4.6,12.9,.360,.360,5.0,6.9,.723, , ,11.5,2.3, , , ,4.0,14.3
Joe Fulks*,PF,31,PHW,70, ,29.8,4.7,13.7,.346, , , ,4.7,13.7,.346,.346,2.4,3.3,.727, , ,5.5,2.0, , , ,4.6,11.9
Bill Gabor,SG,30,SYR,69, ,19.4,3.1,8.9,.350, , , ,3.1,8.9,.350,.350,3.1,4.1,.764, , ,1.5,1.9, , , ,3.8,9.4
Harry Gallatin*,PF,25,NYK,70, ,33.3,4.0,9.1,.444, , , ,4.0,9.1,.444,.444,4.3,6.1,.700, , ,13.1,1.8, , , ,3.2,12.4
Joe Graboski,C,23,INO,69, ,40.1,3.9,11.6,.340, , , ,3.9,11.6,.340,.340,5.1,7.4,.682, , ,10.0,2.3, , , ,4.4,13.0
Dick Groat,PG,22,FTW,26, ,25.5,3.8,10.5,.368, , , ,3.8,10.5,.368,.368,4.2,5.3,.790, , ,3.3,2.7, , , ,3.5,11.9
Alex Hannum*,PF,29,ROC,68, ,18.9,1.9,5.3,.358, , , ,1.9,5.3,.358,.358,1.3,2.0,.662, , ,4.1,1.2, , , ,3.8,5.1
Don Hanrahan,F,23,INO,18, ,6.7,0.6,1.8,.344, , , ,0.6,1.8,.344,.344,0.6,0.8,.733, , ,1.7,0.6, , , ,1.3,1.8
Bob Harris,SF,25,BOS,70, ,28.2,2.7,6.6,.418, , , ,2.7,6.6,.418,.418,1.9,3.2,.588, , ,6.9,1.4, , , ,3.4,7.4
Bob Harrison,SG,25,MNL,70, ,23.5,2.8,7.4,.376, , , ,2.8,7.4,.376,.376,1.5,2.4,.648, , ,2.2,2.3, , , ,3.8,7.1
Don Henriksen,C,23,BLB,68, ,33.3,2.9,7.0,.419, , , ,2.9,7.0,.419,.419,2.6,4.1,.626, , ,7.4,1.9, , , ,3.6,8.4
Kleggie Hermsen,C-F,29,TOT,10, ,6.2,0.4,3.1,.129, , , ,0.4,3.1,.129,.129,0.3,0.5,.600, , ,1.9,0.4, , , ,1.8,1.1
Kleggie Hermsen,C-F,29,BOS,4, ,5.5,0.0,2.3,.000, , , ,0.0,2.3,.000,.000,0.3,0.5,.500, , ,1.8,0.0, , , ,1.5,0.3
Kleggie Hermsen,C-F,29,INO,6, ,6.7,0.7,3.7,.182, , , ,0.7,3.7,.182,.182,0.3,0.5,.667, , ,2.0,0.7, , , ,2.0,1.7
Lew Hitch,PF,23,MNL,70, ,14.7,1.3,3.6,.349, , , ,1.3,3.6,.349,.349,1.2,1.9,.610, , ,3.9,0.9, , , ,1.7,3.7
Paul Hoffman,SG,27,BLB,69, ,28.3,3.5,9.5,.366, , , ,3.5,9.5,.366,.366,3.2,5.0,.655, , ,4.6,3.4, , , ,4.1,10.2
Jim Holstein,SF,22,MNL,66, ,15.0,1.5,4.2,.358, , , ,1.5,4.2,.358,.358,1.1,1.6,.667, , ,2.6,1.1, , , ,1.9,4.0
Red Holzman*,PG,32,ROC,46, ,8.5,0.8,3.2,.255, , , ,0.8,3.2,.255,.255,0.6,0.8,.711, , ,0.9,0.8, , , ,1.2,2.2
Mel Hutchins,C,24,MLH,71, ,40.7,4.5,11.9,.379, , , ,4.5,11.9,.379,.379,2.7,4.2,.654, , ,11.2,3.2, , , ,3.0,11.7
Arnie Johnson,SF,32,ROC,70, ,28.3,2.0,5.3,.379, , , ,2.0,5.3,.379,.379,4.3,5.8,.748, , ,6.0,2.2, , , ,4.0,8.3
Ralph Johnson,PG,31,FTW,3, ,10.0,1.0,3.0,.333, , , ,1.0,3.0,.333,.333,0.7,1.0,.667, , ,0.3,1.7, , , ,2.0,2.7
Neil Johnston*,C,23,PHW,70, ,45.2,7.2,15.9,.452, , , ,7.2,15.9,.452,.452,7.9,11.3,.700, , ,13.9,2.8, , , ,3.5,22.3
Noble Jorgensen,C,27,SYR,70, ,19.4,2.1,6.2,.333, , , ,2.1,6.2,.333,.333,2.1,2.8,.734, , ,3.4,1.1, , , ,3.5,6.2
George Kaftan,SF,24,BLB,23, ,16.5,2.0,6.2,.317, , , ,2.0,6.2,.317,.317,1.9,2.9,.657, , ,3.3,1.3, , , ,2.6,5.8
Jack Kerris,PF,28,TOT,69, ,20.6,1.3,3.7,.363, , , ,1.3,3.7,.363,.363,1.3,2.0,.629, , ,4.3,2.3, , , ,2.4,4.0
Jack Kerris,F-C,28,FTW,52, ,18.9,1.1,3.4,.330, , , ,1.1,3.4,.330,.330,1.2,1.9,.616, , ,4.0,2.1, , , ,2.3,3.4
Jack Kerris,PF,28,BLB,17, ,26.0,2.0,4.5,.442, , , ,2.0,4.5,.442,.442,1.6,2.4,.659, , ,5.2,2.8, , , ,2.8,5.6
Jack Kiley,SG,24,FTW,6, ,4.5,0.3,1.7,.200, , , ,0.3,1.7,.200,.200,0.3,0.3,1.000, , ,0.3,0.5, , , ,1.2,1.0
George King,PG,24,SYR,71, ,35.5,3.6,8.9,.402, , , ,3.6,8.9,.402,.402,4.0,6.2,.643, , ,4.0,5.1, , , ,3.4,11.2
Frank Kudelka,SG,27,TOT,36, ,15.8,1.6,5.4,.306, , , ,1.6,5.4,.306,.306,1.2,1.9,.647, , ,2.4,1.9, , , ,3.0,4.5
Frank Kudelka,G-F,27,BLB,16, ,14.2,1.8,5.3,.333, , , ,1.8,5.3,.333,.333,1.4,2.3,.639, , ,2.7,1.8, , , ,3.1,4.9
Frank Kudelka,SG,27,PHW,20, ,17.0,1.6,5.5,.284, , , ,1.6,5.5,.284,.284,1.1,1.6,.656, , ,2.3,2.1, , , ,3.0,4.2
Bob Lavoy,PF,26,INO,70, ,33.2,3.2,8.0,.402, , , ,3.2,8.0,.402,.402,2.4,3.5,.694, , ,7.5,1.9, , , ,3.9,8.8
Andrew Levane,SG,32,MLH,7, ,9.7,0.4,3.4,.125, , , ,0.4,3.4,.125,.125,0.3,0.4,.667, , ,1.3,1.3, , , ,2.1,1.1
Earl Lloyd*,SF,24,SYR,64, ,28.2,2.4,7.1,.344, , , ,2.4,7.1,.344,.344,2.5,3.6,.693, , ,6.9,1.0, , , ,3.8,7.4
Bob Lochmueller,SF,25,SYR,62, ,12.9,1.3,4.0,.322, , , ,1.3,4.0,.322,.322,1.2,2.0,.607, , ,2.6,0.8, , , ,2.3,3.7
Don Lofgran,SF,23,PHW,64, ,27.9,2.7,8.2,.330, , , ,2.7,8.2,.330,.330,2.0,2.7,.728, , ,5.3,1.7, , , ,2.8,7.4
Ray Lumpp,PG,29,TOT,55, ,25.9,3.4,9.2,.372, , , ,3.4,9.2,.372,.372,2.8,3.7,.743, , ,2.6,3.1, , , ,3.2,9.6
Ray Lumpp,G,29,NYK,6, ,16.5,1.3,5.0,.267, , , ,1.3,5.0,.267,.267,2.0,2.0,1.000, , ,3.7,2.5, , , ,2.8,4.7
Ray Lumpp,PG,29,BLB,49, ,27.0,3.7,9.7,.378, , , ,3.7,9.7,.378,.378,2.9,4.0,.727, , ,2.4,3.1, , , ,3.3,10.2
Ed Macauley*,C,24,BOS,69, ,42.1,6.5,14.4,.452, , , ,6.5,14.4,.452,.452,7.2,9.7,.750, , ,9.1,4.1, , , ,2.7,20.3
John Mahnken,C,30,BOS,69, ,11.2,1.1,3.7,.302, , , ,1.1,3.7,.302,.302,0.6,0.8,.696, , ,2.6,1.1, , , ,1.6,2.8
Mo Mahoney,F,25,BOS,6, ,5.7,0.7,1.7,.400, , , ,0.7,1.7,.400,.400,0.7,0.8,.800, , ,1.2,0.2, , , ,1.2,2.0
Slater Martin*,PG,27,MNL,70, ,36.5,3.7,9.1,.410, , , ,3.7,9.1,.410,.410,3.2,4.1,.780, , ,2.7,3.6, , , ,3.5,10.6
Al Masino,PG,24,MLH,72, ,24.6,1.9,5.6,.335, , , ,1.9,5.6,.335,.335,1.8,2.8,.627, , ,2.5,2.2, , , ,3.5,5.5
Jack McCloskey,SG,27,PHW,1, ,16.0,3.0,9.0,.333, , , ,3.0,9.0,.333,.333,0.0,0.0, , , ,3.0,1.0, , , ,2.0,6.0
Bucky McConnell,PG,24,MLH,14, ,21.2,1.9,5.1,.380, , , ,1.9,5.1,.380,.380,1.0,2.1,.483, , ,2.4,2.9, , , ,2.8,4.9
Alfred McGuire*,PG,24,NYK,58, ,21.2,1.9,4.9,.390, , , ,1.9,4.9,.390,.390,2.2,3.5,.637, , ,2.9,2.5, , , ,3.6,6.1
Dick McGuire*,PG,27,NYK,61, ,29.2,2.3,6.1,.381, , , ,2.3,6.1,.381,.381,2.5,4.4,.569, , ,4.6,4.9, , , ,2.8,7.2
George McLeod,F,22,BLB,10, ,8.5,0.2,1.6,.125, , , ,0.2,1.6,.125,.125,0.8,1.5,.533, , ,2.1,0.4, , , ,1.6,1.2
Jack McMahon,PG,24,ROC,70, ,23.8,2.5,7.6,.330, , , ,2.5,7.6,.330,.330,2.2,3.4,.657, , ,2.6,2.7, , , ,3.6,7.2
Monk Meineke,PF,22,FTW,68, ,33.1,3.5,9.3,.381, , , ,3.5,9.3,.381,.381,3.6,4.6,.783, , ,6.9,2.2, , , ,4.9,10.7
Stan Miasek,SF,29,TOT,65, ,24.4,2.7,7.5,.365, , , ,2.7,7.5,.365,.365,2.4,3.8,.629, , ,5.5,1.9, , , ,3.5,7.9
Stan Miasek,C-F,29,BLB,25, ,33.4,3.9,9.7,.405, , , ,3.9,9.7,.405,.405,3.5,5.0,.690, , ,8.0,2.9, , , ,4.2,11.3
Stan Miasek,SF,29,MLH,40, ,18.7,2.0,6.2,.325, , , ,2.0,6.2,.325,.325,1.7,3.1,.566, , ,4.0,1.3, , , ,3.1,5.7
Ed Mikan,C,27,TOT,62, ,15.0,1.3,4.7,.267, , , ,1.3,4.7,.267,.267,1.3,1.6,.806, , ,3.8,0.6, , , ,2.0,3.8
Ed Mikan,C,27,PHW,19, ,18.8,2.1,7.1,.291, , , ,2.1,7.1,.291,.291,1.4,1.8,.794, , ,6.3,1.2, , , ,2.1,5.5
Ed Mikan,C,27,INO,43, ,13.2,0.9,3.7,.247, , , ,0.9,3.7,.247,.247,1.2,1.5,.813, , ,2.7,0.4, , , ,2.0,3.0
George Mikan*,C,28,MNL,70, ,37.9,7.1,17.9,.399, , , ,7.1,17.9,.399,.399,6.3,8.1,.780, , ,14.4,2.9, , , ,4.1,20.6
Vern Mikkelsen*,PF,24,MNL,70, ,35.2,5.4,12.4,.435, , , ,5.4,12.4,.435,.435,4.2,5.5,.752, , ,9.3,2.1, , , ,4.1,15.0
Eddie Miller,C,21,TOT,70, ,28.8,3.9,11.2,.350, , , ,3.9,11.2,.350,.350,2.7,4.1,.652, , ,9.6,1.6, , , ,3.6,10.5
Eddie Miller,C,21,MLH,10, ,16.0,1.5,5.6,.268, , , ,1.5,5.6,.268,.268,0.9,1.7,.529, , ,6.0,0.6, , , ,2.6,3.9
Eddie Miller,C,21,BLB,60, ,31.0,4.3,12.1,.356, , , ,4.3,12.1,.356,.356,3.0,4.5,.659, , ,10.2,1.8, , , ,3.7,11.6
Dave Minor,PG,30,TOT,59, ,27.3,2.6,7.1,.367, , , ,2.6,7.1,.367,.367,1.7,2.2,.742, , ,4.3,2.2, , , ,3.6,6.9
Dave Minor,G-F,30,BLB,19, ,15.8,1.8,5.0,.358, , , ,1.8,5.0,.358,.358,1.1,1.4,.769, , ,2.2,1.2, , , ,1.8,4.6
Dave Minor,PG,30,MLH,40, ,32.7,3.0,8.1,.369, , , ,3.0,8.1,.369,.369,2.0,2.7,.736, , ,5.3,2.6, , , ,4.4,8.0
Bill Mlkvy,SF,22,PHW,31, ,19.6,2.4,7.9,.305, , , ,2.4,7.9,.305,.305,1.0,1.5,.646, , ,3.3,2.0, , , ,1.7,5.8
Jim Mooney,SF,22,PHW,18, ,29.4,3.0,8.2,.365, , , ,3.0,8.2,.365,.365,1.5,2.2,.675, , ,3.9,1.9, , , ,2.8,7.5
Bob Naber,F,23,INO,4, ,2.8,0.0,1.0,.000, , , ,0.0,1.0,.000,.000,0.3,0.5,.500, , ,1.3,0.3, , , ,1.5,0.3
Jack Nichols,PF,26,MLH,69, ,38.1,6.2,17.0,.363, , , ,6.2,17.0,.363,.363,3.5,4.9,.708, , ,7.7,2.8, , , ,3.4,15.8
John O'Boyle,SG,24,MLH,5, ,19.4,1.6,5.2,.308, , , ,1.6,5.2,.308,.308,1.0,1.4,.714, , ,2.0,1.0, , , ,4.0,4.2
Ralph O'Brien,PG,24,TOT,55, ,13.8,1.7,5.2,.336, , , ,1.7,5.2,.336,.336,1.4,1.7,.848, , ,1.3,1.0, , , ,1.3,4.9
Ralph O'Brien,G,24,INO,34, ,15.5,1.7,5.6,.311, , , ,1.7,5.6,.311,.311,1.7,1.9,.877, , ,1.5,1.0, , , ,1.1,5.1
Ralph O'Brien,G,24,FTW,7, ,7.1,1.4,3.4,.417, , , ,1.4,3.4,.417,.417,0.4,0.7,.600, , ,0.0,0.6, , , ,1.0,3.3
Ralph O'Brien,PG,24,BLB,14, ,13.0,1.9,5.1,.375, , , ,1.9,5.1,.375,.375,1.3,1.6,.818, , ,1.4,1.2, , , ,2.1,5.1
Mike O'Neill,SF, ,MLH,4, ,12.5,1.0,4.3,.235, , , ,1.0,4.3,.235,.235,1.0,1.0,1.000, , ,2.3,0.8, , , ,2.5,3.0
Kevin O'Shea,SG,27,BLB,46, ,14.0,1.5,4.1,.376, , , ,1.5,4.1,.376,.376,1.0,1.8,.593, , ,1.7,1.9, , , ,1.8,4.1
Wally Osterkorn,SF,24,SYR,49, ,20.7,1.7,5.3,.324, , , ,1.7,5.3,.324,.324,2.2,3.4,.631, , ,4.4,1.2, , , ,2.6,5.6
Don Otten,C,31,MLH,24, ,16.0,1.4,3.6,.391, , , ,1.4,3.6,.391,.391,2.7,3.8,.703, , ,3.7,0.9, , , ,2.8,5.5
Claude Overton,SG,25,PHW,15, ,12.1,1.3,5.0,.253, , , ,1.3,5.0,.253,.253,1.3,2.0,.667, , ,1.7,1.0, , , ,1.7,3.9
Johnny Payak,SG,26,MLH,68, ,21.6,1.9,5.5,.343, , , ,1.9,5.5,.343,.343,2.6,3.6,.726, , ,1.7,2.1, , , ,2.9,6.4
Mel Payton,SF,26,INO,66, ,21.6,2.6,7.3,.357, , , ,2.6,7.3,.357,.357,1.8,2.4,.745, , ,4.7,1.2, , , ,1.8,7.1
Andy Phillip*,G-F,30,TOT,70, ,38.4,3.6,9.0,.397, , , ,3.6,9.0,.397,.397,3.2,4.3,.738, , ,5.2,5.7, , , ,3.3,10.3
Andy Phillip*,PG,30,PHW,13, ,41.8,3.7,9.5,.387, , , ,3.7,9.5,.387,.387,4.5,5.8,.763, , , ,8.5, , , ,3.7,11.8
Andy Phillip*,SG,30,FTW,57, ,37.7,3.5,8.9,.400, , , ,3.5,8.9,.400,.400,2.9,3.9,.729, , , ,5.0, , , ,3.2,10.0
Jim Pollard*,SF,30,MNL,66, ,36.4,5.0,14.1,.357, , , ,5.0,14.1,.357,.357,2.9,3.8,.769, , ,6.8,3.5, , , ,2.9,13.0
Ralph Polson,PF,23,TOT,49, ,16.5,1.3,3.7,.363, , , ,1.3,3.7,.363,.363,1.2,2.0,.635, , ,4.3,0.5, , , ,2.1,3.9
Ralph Polson,PF,23,NYK,3, ,12.3,1.0,3.0,.333, , , ,1.0,3.0,.333,.333,1.3,2.0,.667, , ,2.7,0.7, , , ,2.7,3.3
Ralph Polson,PF,23,PHW,46, ,16.8,1.3,3.7,.365, , , ,1.3,3.7,.365,.365,1.2,2.0,.633, , ,4.4,0.5, , , ,2.0,3.9
Bob Priddy,F,22,BLB,16, ,9.3,0.9,2.4,.368, , , ,0.9,2.4,.368,.368,0.5,0.9,.571, , ,2.3,0.4, , , ,2.3,2.3
Moe Radovich,PG,23,PHW,4, ,8.3,1.3,3.3,.385, , , ,1.3,3.3,.385,.385,1.0,1.0,1.000, , ,0.3,2.0, , , ,1.3,3.5
Sherwin Raiken,G,24,NYK,6, ,10.5,0.5,3.5,.143, , , ,0.5,3.5,.143,.143,0.5,1.3,.375, , ,1.3,1.0, , , ,1.7,1.5
George Ratkovicz,PF,30,TOT,71, ,31.5,2.9,8.7,.336, , , ,2.9,8.7,.336,.336,3.7,5.3,.702, , ,7.4,3.1, , , ,4.0,9.5
George Ratkovicz,PF,30,BLB,10, ,19.7,1.6,4.3,.372, , , ,1.6,4.3,.372,.372,1.9,3.7,.514, , ,5.2,1.8, , , ,3.3,5.1
George Ratkovicz,PF,30,MLH,61, ,33.4,3.1,9.4,.333, , , ,3.1,9.4,.333,.333,4.0,5.5,.723, , ,7.7,3.3, , , ,4.2,10.3
Gene Rhodes,SG,25,INO,65, ,17.9,1.7,5.3,.319, , , ,1.7,5.3,.319,.319,1.8,2.6,.704, , ,1.5,1.4, , , ,1.2,5.2
Arnie Risen*,C,28,ROC,68, ,33.6,4.3,11.8,.368, , , ,4.3,11.8,.368,.368,4.3,6.3,.685, , ,11.0,2.0, , , ,4.0,13.0
Red Rocha,C,29,SYR,69, ,35.6,3.9,10.0,.388, , , ,3.9,10.0,.388,.388,3.4,4.5,.755, , ,7.4,2.0, , , ,3.7,11.2
Kenny Rollins,PG,29,BOS,43, ,9.9,0.9,2.7,.330, , , ,0.9,2.7,.330,.330,0.5,0.6,.815, , ,1.0,1.1, , , ,1.5,2.3
Pep Saul,SG,28,MNL,70, ,25.7,2.7,6.7,.397, , , ,2.7,6.7,.397,.397,2.0,2.9,.710, , ,2.0,1.6, , , ,2.5,7.4
Fred Schaus,SF,27,FTW,69, ,36.8,3.5,10.4,.334, , , ,3.5,10.4,.334,.334,3.5,4.3,.821, , ,6.0,3.6, , , ,3.8,10.5
Dolph Schayes*,PF,24,SYR,71, ,37.6,5.3,14.1,.374, , , ,5.3,14.1,.374,.374,7.2,8.7,.827, , ,13.0,3.2, , , ,3.8,17.8
Howie Schultz,PF,30,MNL,40, ,11.9,0.6,2.3,.267, , , ,0.6,2.3,.267,.267,1.1,1.6,.694, , ,2.0,0.7, , , ,1.8,2.3
Fred Scolari,PG,30,TOT,62, ,34.2,4.5,13.0,.342, , , ,4.5,13.0,.342,.342,4.5,5.3,.844, , ,3.4,3.8, , , ,3.4,13.4
Fred Scolari,PG,30,BLB,46, ,35.2,4.7,14.1,.334, , , ,4.7,14.1,.334,.334,4.8,5.6,.849, , ,3.5,4.3, , , ,3.4,14.2
Fred Scolari,PG,30,FTW,16, ,31.6,3.8,10.1,.377, , , ,3.8,10.1,.377,.377,3.5,4.3,.824, , ,2.9,2.3, , , ,3.4,11.1
George Senesky,PG,30,PHW,69, ,33.9,2.3,7.0,.330, , , ,2.3,7.0,.330,.330,1.3,2.1,.637, , ,3.7,3.8, , , ,2.4,6.0
Paul Seymour,SG,25,SYR,67, ,40.1,4.6,11.9,.383, , , ,4.6,11.9,.383,.383,5.1,6.2,.817, , ,3.7,4.4, , , ,3.1,14.2
Chuck Share,C,25,FTW,67, ,15.6,1.4,3.8,.358, , , ,1.4,3.8,.358,.358,2.6,3.5,.735, , ,5.6,1.1, , , ,3.2,5.3
Bill Sharman*,SG,26,BOS,71, ,32.9,5.7,13.0,.436, , , ,5.7,13.0,.436,.436,4.8,5.6,.850, , ,4.1,2.7, , , ,3.4,16.2
Connie Simmons,C,27,NYK,65, ,26.3,3.7,9.8,.377, , , ,3.7,9.8,.377,.377,3.8,5.2,.732, , ,7.0,2.0, , , ,3.9,11.2
Whitey Skoog,SG,26,MNL,68, ,14.6,1.5,3.9,.386, , , ,1.5,3.9,.386,.386,0.7,0.9,.754, , ,1.8,1.2, , , ,2.0,3.7
Odie Spears,SF,28,ROC,62, ,22.8,3.2,8.0,.401, , , ,3.2,8.0,.401,.401,3.2,3.9,.819, , ,4.0,1.8, , , ,3.7,9.6
Dick Surhoff,SF,23,NYK,26, ,7.2,0.5,2.3,.213, , , ,0.5,2.3,.213,.213,0.7,1.2,.633, , ,1.0,0.3, , , ,1.4,1.7
Bill Tosheff,PG,26,INO,67, ,36.7,3.8,11.7,.323, , , ,3.8,11.7,.323,.323,3.8,4.7,.806, , ,3.4,3.6, , , ,3.6,11.3
Ernie Vandeweghe,SG,24,NYK,61, ,28.6,4.5,10.2,.435, , , ,4.5,10.2,.435,.435,3.1,4.0,.766, , ,5.6,2.4, , , ,4.0,12.0
Paul Walther,SG,25,INO,67, ,36.8,3.4,9.6,.352, , , ,3.4,9.6,.352,.352,3.9,5.3,.746, , ,4.2,3.1, , , ,3.9,10.7
