Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Arizin*,SF,27,PHW,72, ,37.8,8.6,19.1,.448, , , ,8.6,19.1,.448,.448,7.0,8.7,.810, , ,7.5,2.6, , , ,3.9,24.2
Jesse Arnelle,PF,22,FTW,31, ,13.2,1.7,5.3,.317, , , ,1.7,5.3,.317,.317,1.4,2.2,.623, , ,5.5,0.6, , , ,1.9,4.7
Dick Atha,SG,24,NYK,25, ,11.5,1.4,3.5,.409, , , ,1.4,3.5,.409,.409,0.8,1.1,.778, , ,1.7,1.3, , , ,1.6,3.7
Jim Baechtold,SF,28,NYK,70, ,24.8,3.8,9.9,.386, , , ,3.8,9.9,.386,.386,3.3,4.2,.801, , ,3.1,2.3, , , ,2.2,11.0
Ernie Barrett,SG,26,BOS,72, ,20.2,2.9,7.4,.388, , , ,2.9,7.4,.388,.388,1.3,1.6,.788, , ,3.4,2.4, , , ,2.6,7.0
Ernie Beck,SG,24,PHW,67, ,15.0,2.0,5.2,.387, , , ,2.0,5.2,.387,.387,1.1,1.6,.717, , ,2.9,1.2, , , ,1.3,5.2
Don Bielke,C, ,FTW,7, ,5.4,0.7,1.3,.556, , , ,0.7,1.3,.556,.556,0.6,1.0,.571, , ,1.3,0.1, , , ,1.3,2.0
Carl Braun*,SG,28,NYK,72, ,32.2,5.5,14.8,.372, , , ,5.5,14.8,.372,.372,4.4,5.3,.838, , ,3.6,4.1, , , ,3.0,15.4
Frankie Brian,PG,32,FTW,37, ,18.4,2.1,7.1,.297, , , ,2.1,7.1,.297,.297,1.9,2.4,.818, , ,2.4,2.0, , , ,1.7,6.2
Nat Clifton*,PF,33,NYK,64, ,24.0,3.3,8.5,.394, , , ,3.3,8.5,.394,.394,2.1,3.0,.707, , ,6.0,2.4, , , ,3.0,8.8
Jack Coleman,PF,31,TOT,75, ,36.5,5.2,12.6,.412, , , ,5.2,12.6,.412,.412,2.4,3.3,.711, , ,9.2,3.9, , , ,3.2,12.8
Jack Coleman,PF,31,ROC,34, ,40.3,5.7,13.9,.412, , , ,5.7,13.9,.412,.412,2.6,3.7,.712, , ,10.1,4.3, , , ,3.6,14.1
Jack Coleman,PF,31,STL,41, ,33.4,4.8,11.5,.412, , , ,4.8,11.5,.412,.412,2.1,3.0,.710, , ,8.4,3.6, , , ,3.0,11.7
