Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,C,34,LAL,76,76,35.2,9.9,17.1,.579,0.0,0.0,.000,9.9,17.1,.580,.579,4.1,5.8,.706,2.3,6.4,8.7,3.0,0.8,2.7,3.0,2.9,23.9
Alvan Adams,C,27,PHO,79,75,30.3,6.4,13.0,.494,0.0,0.0,.000,6.4,13.0,.494,.494,2.3,2.9,.781,1.7,5.7,7.4,4.5,1.4,1.0,2.5,3.4,15.1
Mark Aguirre,SF,22,DAL,51,20,28.8,7.5,16.1,.465,0.5,1.4,.352,7.0,14.7,.475,.480,3.3,4.8,.680,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3.0,18.7
Danny Ainge,SG,22,BOS,53,1,10.6,1.5,4.2,.357,0.1,0.3,.294,1.4,3.8,.363,.369,1.1,1.2,.862,0.5,0.6,1.1,1.6,0.7,0.1,1.0,1.6,4.1
Tiny Archibald*,PG,33,BOS,68,51,31.9,4.5,9.6,.472,0.1,0.2,.375,4.4,9.4,.475,.477,3.5,4.6,.747,0.4,1.3,1.7,8.0,0.8,0.0,2.6,1.9,12.6
Dennis Awtrey,C,33,POR,10,3,12.1,0.5,1.5,.333,0.0,0.0, ,0.5,1.5,.333,.333,0.5,0.9,.556,0.7,0.7,1.4,0.8,0.1,0.2,0.6,2.8,1.5
Carl Bailey,C,23,POR,1,0,7.0,1.0,1.0,1.000,0.0,0.0, ,1.0,1.0,1.000,1.000,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
James Bailey,PF,24,TOT,77,0,19.1,3.4,6.6,.517,0.0,0.0, ,3.4,6.6,.517,.517,1.8,2.9,.612,1.6,3.4,5.1,0.8,0.5,1.1,1.8,3.5,8.6
James Bailey,PF,24,SEA,10,0,18.0,3.1,6.5,.477,0.0,0.0, ,3.1,6.5,.477,.477,0.4,1.1,.364,1.7,3.1,4.8,1.3,0.3,0.7,1.9,4.2,6.6
James Bailey,PF,24,NJN,67,0,19.2,3.4,6.6,.523,0.0,0.0, ,3.4,6.6,.523,.523,2.0,3.2,.624,1.6,3.5,5.1,0.8,0.6,1.1,1.8,3.4,8.9
Greg Ballard,SF,27,WSB,79,79,37.3,7.9,16.5,.475,0.1,0.3,.409,7.7,16.3,.476,.479,3.0,3.6,.830,1.7,6.3,8.0,3.2,1.7,0.3,1.5,2.6,18.8
Gene Banks,SF,22,SAS,80,4,21.3,3.9,8.2,.477,0.0,0.1,.000,3.9,8.1,.483,.477,1.8,2.7,.684,2.0,3.2,5.1,1.8,0.7,0.2,1.3,2.5,9.6
Mike Bantom,SF,30,TOT,82,38,24.6,4.1,8.7,.469,0.0,0.1,.333,4.0,8.6,.470,.471,2.0,3.3,.629,2.1,3.2,5.4,1.4,0.8,0.7,1.8,3.3,10.2
Mike Bantom,SF,30,IND,39,37,26.6,4.6,10.4,.438,0.0,0.1,.333,4.5,10.3,.439,.440,2.6,3.9,.660,2.2,3.3,5.5,1.7,1.0,0.6,2.2,3.6,11.7
Mike Bantom,SF,30,PHI,43,1,22.8,3.6,7.1,.510,0.0,0.1,.333,3.6,7.0,.512,.511,1.6,2.7,.588,2.0,3.2,5.3,1.1,0.6,0.9,1.5,3.1,8.8
Billy Ray Bates,SG,25,POR,75,0,16.4,4.4,9.2,.473,0.2,0.5,.293,4.2,8.7,.484,.481,2.2,2.8,.787,0.7,0.7,1.4,1.5,0.5,0.1,1.2,1.3,11.1
Mel Bennett,PF,27,CLE,3,0,7.7,0.7,1.3,.500,0.0,0.0, ,0.7,1.3,.500,.500,0.3,2.0,.167,0.3,0.7,1.0,0.0,0.3,0.0,1.3,0.7,1.7
Kent Benson,C,27,DET,75,72,32.9,5.4,10.7,.505,0.0,0.1,.273,5.4,10.5,.508,.507,1.7,2.1,.804,2.9,5.8,8.7,2.1,0.9,1.3,2.1,2.9,12.5
Larry Bird*,PF,25,BOS,77,58,38.0,9.2,18.4,.503,0.1,0.7,.212,9.1,17.7,.514,.507,4.3,4.9,.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9
Otis Birdsong,SG,26,NJN,37,22,27.7,6.1,13.0,.469,0.0,0.3,.000,6.1,12.7,.479,.469,2.0,3.4,.583,0.8,1.8,2.6,3.4,0.8,0.1,1.7,2.0,14.2
Rolando Blackman,SG,22,DAL,82,16,24.1,5.4,10.4,.513,0.0,0.0,.250,5.3,10.4,.515,.514,2.6,3.4,.768,1.2,1.9,3.1,1.3,0.6,0.4,1.4,1.5,13.3
Ray Blume,SG,23,CHI,49,2,11.1,2.1,4.5,.459,0.1,0.4,.222,2.0,4.2,.480,.468,0.4,0.6,.643,0.3,0.6,0.8,1.4,0.5,0.0,1.1,1.2,4.6
Alex Bradley,SF,22,NYK,39,0,8.5,1.4,2.6,.524,0.0,0.0,.000,1.4,2.6,.529,.524,0.7,1.2,.604,0.8,0.9,1.7,0.3,0.3,0.1,0.7,0.9,3.5
Charles Bradley,SG,22,BOS,51,1,6.6,1.1,2.4,.451,0.0,0.0,.000,1.1,2.4,.455,.451,0.8,1.2,.677,0.2,0.5,0.7,0.4,0.3,0.1,0.7,1.2,3.0
Dudley Bradley,SG,24,PHO,64,3,14.6,2.0,4.4,.445,0.0,0.1,.250,1.9,4.3,.448,.447,1.2,1.6,.740,0.5,0.9,1.4,1.3,1.2,0.2,1.1,1.8,5.1
Brad Branson,PF,23,CLE,10,3,17.6,2.1,5.2,.404,0.0,0.0, ,2.1,5.2,.404,.404,1.1,1.2,.917,1.4,1.9,3.3,0.6,0.5,0.4,1.3,1.7,5.3
Mike Bratz,PG,26,SAS,81,3,20.0,2.8,7.0,.407,0.6,1.7,.333,2.3,5.3,.431,.448,1.5,1.9,.783,0.5,1.6,2.0,5.4,0.8,0.1,1.7,2.3,7.7
Jim Brewer,PF,30,LAL,71,9,13.6,1.1,2.5,.463,0.0,0.1,.167,1.1,2.4,.473,.466,0.1,0.3,.368,1.5,2.2,3.7,0.6,0.5,0.6,0.5,1.8,2.4
Ron Brewer,SG,26,TOT,72,45,32.2,7.9,16.6,.477,0.1,0.4,.258,7.8,16.2,.482,.480,2.9,3.6,.812,0.8,1.5,2.2,2.6,1.1,0.4,1.7,2.1,18.8
Ron Brewer,SG,26,SAS,25,4,23.8,7.3,14.4,.504,0.1,0.4,.300,7.2,14.0,.510,.508,3.1,3.5,.875,0.5,1.5,2.0,2.7,0.9,0.3,1.4,1.5,17.8
Ron Brewer,SG,26,CLE,47,41,36.7,8.2,17.7,.465,0.1,0.4,.238,8.1,17.3,.470,.468,2.9,3.7,.779,0.9,1.5,2.4,2.6,1.3,0.5,1.9,2.4,19.4
Junior Bridgeman,SF,28,MIL,41,4,22.5,5.1,10.6,.483,0.1,0.2,.444,5.0,10.3,.483,.487,2.2,2.5,.864,0.9,2.1,3.0,2.7,0.7,0.1,1.6,2.2,12.5
Allan Bristow,SF,30,DAL,82,54,24.8,2.7,6.1,.437,0.0,0.2,.167,2.6,5.9,.447,.440,1.6,2.0,.817,1.5,2.7,4.1,5.5,0.8,0.1,2.0,2.7,7.0
Jim Brogan,SG,23,SDC,63,19,16.3,2.6,5.8,.453,0.1,0.5,.281,2.5,5.3,.470,.466,1.0,1.3,.726,1.0,0.9,1.9,2.5,0.8,0.2,1.3,2.0,6.3
Michael Brooks,SF,23,SDC,82,73,33.5,6.5,13.0,.504,0.0,0.1,.000,6.5,12.9,.507,.504,2.5,3.3,.757,2.5,5.1,7.6,2.9,1.4,0.5,2.4,3.5,15.6
Fred Brown,SG,33,SEA,82,2,21.8,4.8,10.5,.455,0.3,0.9,.325,4.5,9.6,.468,.470,1.4,1.6,.860,0.5,1.2,1.7,2.9,0.8,0.0,1.2,1.4,11.2
Rickey Brown,C,23,GSW,82,11,15.4,2.3,5.1,.459,0.0,0.0, ,2.3,5.1,.459,.459,1.0,1.5,.705,1.7,2.8,4.4,0.2,0.4,0.4,1.0,3.0,5.7
Joe Bryant,SF,27,SDC,75,49,26.5,4.5,9.3,.486,0.1,0.4,.267,4.4,8.9,.496,.492,2.6,3.3,.785,1.1,2.6,3.7,2.5,1.0,0.4,2.4,3.3,11.8
Quinn Buckner,PG,27,MIL,70,70,30.8,5.7,11.7,.482,0.1,0.2,.267,5.6,11.5,.486,.484,1.6,2.4,.655,1.1,2.5,3.6,4.7,2.5,0.0,2.6,3.1,12.9
Roger Burkman,SG,23,CHI,6,0,5.0,0.0,0.7,.000,0.0,0.2,.000,0.0,0.5,.000,.000,0.8,1.0,.833,0.3,0.7,1.0,0.8,1.0,0.3,0.5,1.0,0.8
David Burns,PG,23,TOT,9,1,9.7,0.8,1.8,.438,0.0,0.0, ,0.8,1.8,.438,.438,1.0,1.7,.600,0.1,0.4,0.6,1.7,0.3,0.0,1.4,1.9,2.6
David Burns,PG,23,NJN,3,0,11.3,0.7,1.7,.400,0.0,0.0, ,0.7,1.7,.400,.400,1.0,2.0,.500,0.0,0.7,0.7,1.3,0.3,0.0,1.7,1.3,2.3
David Burns,PG,23,DEN,6,1,8.8,0.8,1.8,.455,0.0,0.0, ,0.8,1.8,.455,.455,1.0,1.5,.667,0.2,0.3,0.5,1.8,0.3,0.0,1.3,2.2,2.7
Don Buse,PG,31,IND,82,78,30.8,3.8,8.4,.455,0.9,2.3,.386,2.9,6.0,.482,.509,1.2,1.5,.813,0.6,2.2,2.7,5.0,2.0,0.3,1.2,2.1,9.7
Kenny Carr,PF,26,TOT,74,48,26.0,4.7,9.4,.503,0.0,0.1,.100,4.7,9.2,.509,.504,2.7,4.1,.656,2.3,4.9,7.2,1.2,0.9,0.3,2.1,3.4,12.1
Kenny Carr,PF,26,CLE,46,42,32.2,5.9,11.4,.517,0.0,0.2,.111,5.9,11.2,.524,.518,3.2,4.8,.659,2.5,6.1,8.6,1.4,1.3,0.3,2.4,3.9,15.0
Kenny Carr,PF,26,DET,28,6,15.9,2.8,6.0,.458,0.0,0.0,.000,2.8,6.0,.461,.458,1.9,2.9,.646,1.9,3.0,4.9,0.8,0.2,0.2,1.4,2.5,7.4
M.L. Carr,SF,31,BOS,56,27,23.1,3.3,7.3,.450,0.1,0.3,.294,3.2,7.0,.457,.456,1.5,2.1,.707,1.0,1.7,2.7,2.3,1.2,0.4,1.1,2.4,8.1
Joe Barry Carroll,C,23,GSW,76,75,34.6,6.9,13.4,.519,0.0,0.0,.000,6.9,13.4,.519,.519,3.1,4.3,.728,2.8,5.6,8.3,0.8,0.8,1.7,2.7,3.5,17.0
Butch Carter,SG,23,IND,75,0,13.8,2.5,5.4,.468,0.1,0.3,.320,2.4,5.0,.477,.478,0.8,0.9,.829,0.4,0.7,1.1,0.8,0.5,0.1,0.7,1.5,5.9
Reggie Carter,SG,24,NYK,75,1,12.3,1.6,3.7,.425,0.0,0.0, ,1.6,3.7,.425,.425,0.9,1.1,.800,0.5,0.8,1.3,1.7,0.5,0.1,1.0,1.7,4.0
Bill Cartwright,C,24,NYK,72,50,28.6,5.4,9.6,.562,0.0,0.0, ,5.4,9.6,.562,.562,3.6,4.7,.763,1.6,4.2,5.8,1.2,0.7,0.9,2.3,2.9,14.4
Harvey Catchings,PF,30,MIL,80,9,20.0,1.2,2.8,.420,0.0,0.0, ,1.2,2.8,.420,.420,0.5,0.9,.594,1.6,2.8,4.5,1.2,0.5,1.7,1.2,3.0,2.9
Bobby Cattage,PF,23,UTA,49,0,6.9,1.2,2.8,.444,0.0,0.0,.000,1.2,2.7,.451,.444,0.6,0.8,.732,0.4,1.0,1.5,0.1,0.1,0.0,0.4,1.2,3.1
Tom Chambers,PF,22,SDC,81,58,33.1,6.8,13.0,.525,0.0,0.0,.000,6.8,13.0,.526,.525,3.5,5.7,.620,2.6,4.3,6.9,1.8,0.7,0.6,2.7,4.2,17.2
Maurice Cheeks*,PG,25,PHI,79,79,31.6,4.5,8.6,.521,0.1,0.3,.273,4.4,8.3,.529,.525,2.2,2.8,.777,0.6,2.5,3.1,8.4,2.6,0.4,2.3,3.1,11.2
Jim Chones,C,32,WSB,59,13,14.7,1.3,2.9,.433,0.0,0.0, ,1.3,2.9,.433,.433,0.6,0.8,.783,0.7,2.5,3.1,1.1,0.3,0.5,0.7,1.9,3.1
Don Collins,SG,23,WSB,79,18,20.4,4.2,8.3,.511,0.0,0.2,.083,4.2,8.1,.520,.512,1.5,2.1,.716,1.3,1.2,2.5,1.9,1.1,0.3,1.7,2.5,10.0
Darwin Cook,PG,23,NJN,82,17,25.5,4.7,9.8,.482,0.1,0.4,.226,4.6,9.4,.492,.486,1.4,2.0,.728,0.6,1.3,1.9,3.9,1.8,0.3,2.1,2.4,11.0
Jeff Cook,PF,25,PHO,76,22,17.1,2.0,4.7,.422,0.0,0.0,.000,2.0,4.7,.424,.422,1.2,1.8,.664,1.5,2.5,4.0,1.3,0.5,0.3,1.1,2.3,5.1
Joe Cooper,C,24,NJN,1,0,11.0,1.0,2.0,.500,0.0,0.0, ,1.0,2.0,.500,.500,0.0,0.0, ,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0
Michael Cooper,SG,25,LAL,76,14,28.9,5.0,9.8,.517,0.0,0.2,.118,5.0,9.5,.526,.518,1.8,2.3,.813,1.1,2.4,3.5,3.0,1.6,0.8,2.0,2.8,11.9
Wayne Cooper,C,25,DAL,76,38,23.9,3.7,8.8,.420,0.0,0.1,.125,3.7,8.7,.424,.421,1.6,2.1,.744,2.6,4.6,7.2,1.5,0.5,1.4,1.2,3.8,9.0
Hollis Copeland,SF,26,NYK,18,0,6.6,0.9,2.1,.421,0.0,0.0, ,0.9,2.1,.421,.421,0.3,0.3,.833,0.2,0.1,0.3,0.5,0.2,0.1,0.2,1.1,2.1
Dave Corzine,C,25,SAS,82,21,26.7,4.1,7.9,.519,0.0,0.0,.250,4.1,7.9,.520,.519,1.9,2.6,.746,2.6,5.1,7.7,1.6,0.4,1.5,1.7,2.9,10.1
Charlie Criss,PG,33,TOT,55,20,25.3,4.0,9.1,.446,0.2,0.5,.345,3.9,8.5,.452,.456,2.6,2.9,.887,0.2,1.3,1.5,3.4,0.8,0.1,1.5,1.7,10.8
Charlie Criss,PG,33,ATL,27,0,20.4,3.1,7.8,.400,0.1,0.3,.250,3.0,7.5,.406,.405,2.4,2.7,.890,0.2,1.2,1.4,2.8,0.9,0.1,1.1,1.5,8.7
Charlie Criss,PG,33,SDC,28,20,30.0,4.9,10.3,.479,0.3,0.8,.381,4.6,9.5,.487,.493,2.7,3.1,.884,0.3,1.3,1.6,4.0,0.8,0.1,1.9,2.0,12.9
Geoff Crompton,C,26,MIL,35,1,5.8,0.3,0.9,.344,0.0,0.0, ,0.3,0.9,.344,.344,0.2,0.4,.400,0.3,0.9,1.2,0.4,0.2,0.3,0.5,1.1,0.8
Pat Cummings,PF,25,MIL,78,7,14.5,2.8,5.5,.509,0.0,0.0,.000,2.8,5.5,.512,.509,0.9,1.2,.736,0.8,2.4,3.1,1.3,0.3,0.1,1.4,2.9,6.5
Earl Cureton,PF,24,PHI,66,8,14.5,2.3,4.6,.487,0.0,0.0,.000,2.3,4.6,.490,.487,0.8,1.4,.543,1.4,2.7,4.1,0.5,0.5,0.4,0.7,2.2,5.3
Bob Dandridge,SF,34,MIL,11,0,15.8,1.9,5.0,.382,0.0,0.0, ,1.9,5.0,.382,.382,0.9,1.5,.588,0.4,1.2,1.5,1.2,0.5,0.2,1.0,2.3,4.7
Adrian Dantley*,SF,25,UTA,81,81,39.8,11.2,19.6,.570,0.0,0.0,.333,11.1,19.5,.570,.570,8.0,10.1,.792,2.9,3.5,6.3,4.0,1.2,0.2,3.7,3.1,30.3
Brad Davis,PG,26,DAL,82,82,31.9,4.8,9.4,.515,0.2,0.6,.286,4.7,8.8,.530,.524,2.3,2.8,.804,0.4,2.3,2.8,6.2,0.9,0.1,1.9,2.7,12.1
Charles Davis,SF,23,WSB,54,10,10.6,1.6,3.4,.478,0.0,0.0,.000,1.6,3.4,.484,.478,0.6,0.7,.811,1.0,1.5,2.5,0.6,0.2,0.2,0.8,1.6,3.8
Johnny Davis,SG,26,IND,82,70,32.5,6.6,14.1,.467,0.1,0.3,.185,6.5,13.7,.473,.469,3.8,4.8,.799,0.9,1.3,2.2,4.2,0.9,0.1,2.3,2.1,17.0
Ron Davis,SF,27,SDC,7,0,9.6,1.4,3.6,.400,0.0,0.0, ,1.4,3.6,.400,.400,0.4,0.9,.500,1.0,0.9,1.9,0.6,0.0,0.0,0.7,1.1,3.3
Walter Davis,SF,27,PHO,55,12,21.5,6.4,12.2,.523,0.1,0.3,.188,6.3,11.9,.531,.525,1.7,2.0,.820,0.4,1.5,1.9,2.9,0.8,0.1,2.0,1.9,14.4
Darryl Dawkins,C,25,PHI,48,36,23.4,4.3,7.6,.564,0.0,0.0,.000,4.3,7.6,.567,.564,2.4,3.4,.695,1.4,4.9,6.4,1.1,0.4,1.1,2.0,4.0,11.0
Larry Demic,PF,24,NYK,48,0,7.4,0.8,1.7,.470,0.0,0.0,.000,0.8,1.7,.476,.470,0.3,0.8,.359,0.6,1.0,1.6,0.3,0.1,0.1,0.5,1.4,1.9
Kenny Dennard,PF,23,KCK,30,3,20.2,2.1,4.0,.512,0.0,0.0, ,2.1,4.0,.512,.512,0.9,1.3,.650,1.6,2.9,4.4,1.4,1.2,0.3,1.2,2.7,5.0
Coby Dietrick,C,33,CHI,74,0,13.5,1.2,2.7,.460,0.0,0.0,.000,1.2,2.7,.462,.460,0.5,0.7,.704,0.9,1.7,2.5,1.2,0.7,0.4,0.6,1.8,3.0
Mickey Dillard,PG,23,CLE,33,0,6.7,0.9,2.4,.367,0.0,0.1,.000,0.9,2.3,.387,.367,0.5,0.7,.652,0.2,0.3,0.5,1.0,0.2,0.1,0.5,1.2,2.2
James Donaldson,C,24,SEA,82,1,20.9,3.1,5.1,.609,0.0,0.0, ,3.1,5.1,.609,.609,1.8,2.9,.629,1.7,4.3,6.0,0.6,0.3,1.7,1.4,2.3,8.1
John Douglas,SG,25,SDC,64,9,16.1,2.8,6.1,.465,0.3,0.9,.305,2.5,5.2,.494,.488,1.0,1.6,.657,0.4,1.0,1.4,2.3,0.8,0.1,1.4,2.3,7.0
Leon Douglas,C,27,KCK,63,17,17.3,1.1,2.2,.500,0.0,0.0, ,1.1,2.2,.500,.500,0.5,1.3,.400,1.8,2.8,4.6,0.6,0.2,0.6,0.9,3.3,2.7
John Drew,SF,27,ATL,70,51,29.1,6.6,13.7,.486,0.1,0.2,.333,6.6,13.5,.488,.488,5.2,7.0,.741,2.4,2.9,5.4,1.4,0.9,0.0,2.5,3.6,18.5
Larry Drew,PG,23,KCK,81,19,24.4,4.4,9.3,.473,0.1,0.3,.296,4.3,9.0,.479,.478,1.9,2.3,.794,0.4,1.5,1.8,5.2,1.4,0.0,2.1,1.9,10.8
Terry Duerod,SG,25,BOS,21,0,7.0,1.6,3.7,.442,0.0,0.0,.000,1.6,3.6,.447,.442,0.2,0.6,.333,0.3,0.4,0.7,0.6,0.1,0.0,0.1,0.4,3.4
Mike Dunleavy,SG,27,HOU,70,15,18.8,2.9,6.4,.458,0.5,1.2,.384,2.5,5.2,.475,.494,1.1,1.5,.708,0.3,1.1,1.5,3.2,0.6,0.0,1.1,2.3,7.4
T.R. Dunn,SG,26,DEN,82,80,30.7,3.1,6.1,.512,0.0,0.0,.000,3.1,6.1,.513,.512,1.9,2.6,.712,2.6,4.2,6.8,2.3,1.6,0.4,1.5,2.6,8.2
John Duren,PG,23,UTA,79,9,13.4,1.5,3.4,.451,0.0,0.1,.273,1.5,3.3,.459,.457,0.3,0.5,.730,0.2,0.9,1.1,2.0,0.3,0.1,0.9,1.8,3.4
Craig Dykema,SF,22,PHO,32,0,3.2,0.5,1.2,.459,0.1,0.1,.500,0.5,1.0,.455,.486,0.2,0.3,.778,0.1,0.3,0.4,0.5,0.1,0.0,0.2,0.6,1.3
Franklin Edwards,PG,22,PHI,42,3,6.9,1.5,3.6,.433,0.0,0.2,.000,1.5,3.4,.461,.433,0.5,0.6,.741,0.2,0.4,0.6,1.1,0.4,0.1,0.6,0.9,3.6
James Edwards,C,26,CLE,77,75,33.0,6.9,13.4,.511,0.0,0.1,.000,6.9,13.4,.513,.511,3.0,4.4,.684,2.5,5.1,7.5,1.6,0.3,1.5,2.1,4.5,16.7
