Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,C,26,OKC,46,46,26.8,4.5,7.5,.600,0.0,0.0,.000,4.5,7.5,.602,.600,1.8,3.2,.586,3.3,5.9,9.2,2.6,0.7,1.1,1.5,1.9,10.8
Bam Adebayo,PF,22,MIA,51,51,34.7,6.3,10.7,.585,0.0,0.2,.091,6.2,10.5,.596,.586,3.5,5.2,.688,2.5,7.8,10.4,4.8,1.2,1.2,2.7,2.4,16.1
LaMarcus Aldridge,C,34,SAS,47,47,33.1,7.3,14.6,.501,1.2,2.8,.417,6.2,11.8,.522,.541,3.0,3.5,.842,2.0,5.5,7.4,2.4,0.6,1.7,1.3,2.4,18.8
Nickeil Alexander-Walker,SG,21,NOP,40,0,12.5,1.9,5.6,.342,1.0,2.9,.342,0.9,2.7,.343,.431,0.4,0.7,.607,0.2,1.8,2.0,1.9,0.3,0.2,1.0,1.1,5.3
Grayson Allen,SG,24,MEM,30,0,16.6,2.6,5.9,.449,1.1,3.0,.363,1.5,2.8,.541,.543,1.0,1.2,.857,0.2,2.0,2.2,1.4,0.2,0.0,0.8,1.2,7.4
Jarrett Allen,C,21,BRK,50,46,27.0,4.4,6.8,.644,0.0,0.1,.000,4.4,6.7,.654,.644,2.4,3.9,.629,3.1,6.6,9.7,1.4,0.6,1.5,1.2,2.4,11.2
Kadeem Allen,SG,27,NYK,10,0,11.7,1.9,4.4,.432,0.5,1.6,.313,1.4,2.8,.500,.489,0.7,1.1,.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0
Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
Justin Anderson,SF,26,BRK,3,0,5.7,0.3,2.0,.167,0.0,1.0,.000,0.3,1.0,.333,.167,0.3,0.7,.500,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.7,1.0
Kyle Anderson,PF,26,MEM,46,7,17.6,2.1,4.3,.480,0.2,0.9,.200,1.9,3.5,.550,.500,0.7,1.1,.635,0.9,3.1,4.0,2.2,0.7,0.5,0.9,1.5,5.1
Ryan Anderson,PF,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0, ,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
Giannis Antetokounmpo,PF,25,MIL,47,47,30.8,11.1,20.1,.553,1.6,5.0,.313,9.6,15.2,.631,.591,6.4,10.5,.612,2.4,10.9,13.4,5.8,1.1,1.0,3.6,3.1,30.2
Kostas Antetokounmpo,PF,22,LAL,3,0,1.7,0.0,0.0, ,0.0,0.0, ,0.0,0.0, , ,0.0,0.0, ,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
Thanasis Antetokounmpo,SF,27,MIL,15,1,4.1,0.9,1.5,.565,0.0,0.2,.000,0.9,1.3,.650,.565,0.3,0.6,.444,0.4,0.1,0.5,0.4,0.1,0.1,0.3,0.6,2.0
Carmelo Anthony,PF,35,POR,37,37,32.6,5.8,13.8,.421,1.4,3.8,.366,4.4,10.0,.442,.472,2.2,2.6,.845,1.2,5.3,6.6,1.5,0.8,0.5,1.7,2.9,15.2
OG Anunoby,SF,22,TOR,51,50,29.0,4.1,8.3,.492,1.3,3.5,.369,2.8,4.8,.580,.569,0.8,1.2,.656,1.1,4.3,5.3,1.5,1.1,0.6,1.2,2.4,10.2
Ryan Arcidiacono,PG,25,CHI,49,0,14.9,1.4,3.5,.409,0.9,2.2,.411,0.5,1.3,.406,.538,0.4,0.6,.714,0.3,1.3,1.7,1.6,0.4,0.1,0.5,1.6,4.2
Trevor Ariza,SF,34,TOT,40,8,25.9,2.3,5.6,.410,1.3,3.7,.358,1.0,1.9,.514,.529,0.7,0.9,.800,0.7,3.9,4.6,1.6,1.2,0.2,0.9,2.1,6.6
