Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Arizin*,SF,23,PHW,66, ,44.5,8.3,18.5,.448, , , ,8.3,18.5,.448,.448,8.8,10.7,.818, , ,11.3,2.6, , , ,3.8,25.4
Cliff Barker,SG,31,INO,44, ,11.2,1.1,3.7,.298, , , ,1.1,3.7,.298,.298,0.7,1.2,.588, , ,1.8,1.6, , , ,1.3,2.9
Don Barksdale*,PF,28,BLB,62, ,32.5,4.4,13.0,.338, , , ,4.4,13.0,.338,.338,3.8,5.5,.691, , ,9.7,2.2, , , ,3.7,12.6
Leo Barnhorst,SF,27,INO,66, ,35.5,5.3,13.6,.389, , , ,5.3,13.6,.389,.389,1.8,2.8,.652, , ,6.5,3.9, , , ,3.0,12.4
Elmer Behnke,C,22,MLH,4, ,13.8,1.5,5.5,.273, , , ,1.5,5.5,.273,.273,1.0,1.8,.571, , ,4.3,1.0, , , ,3.3,4.0
Charlie Black,F-C,30,MLH,13, ,9.0,0.5,2.4,.194, , , ,0.5,2.4,.194,.194,0.4,0.9,.417, , ,2.4,0.7, , , ,2.4,1.3
Nelson Bobb,PG,27,PHW,62, ,19.2,1.8,4.9,.359, , , ,1.8,4.9,.359,.359,1.6,2.7,.593, , ,2.4,2.7, , , ,2.9,5.1
Vince Boryla,SF,24,NYK,42, ,34.3,4.8,12.4,.387, , , ,4.8,12.4,.387,.387,2.3,2.7,.835, , ,5.2,2.1, , , ,2.9,11.9
Don Boven,SG,26,MLH,66, ,30.0,3.0,10.1,.299, , , ,3.0,10.1,.299,.299,3.9,5.3,.731, , ,5.1,2.7, , , ,4.1,9.9
Bob Brannum,PF,26,BOS,66, ,20.1,2.3,6.1,.369, , , ,2.3,6.1,.369,.369,1.6,2.6,.626, , ,6.2,1.2, , , ,3.6,6.1
Frankie Brian,SG,28,FTW,66, ,40.5,5.2,14.7,.352, , , ,5.2,14.7,.352,.352,5.6,6.6,.848, , ,3.5,3.5, , , ,3.3,15.9
Stan Brown,F,22,PHW,15, ,9.4,1.5,4.2,.349, , , ,1.5,4.2,.349,.349,0.7,1.2,.556, , ,1.1,0.6, , , ,2.1,3.6
Walt Budko,PF,26,PHW,63, ,17.9,1.5,3.8,.404, , , ,1.5,3.8,.404,.404,1.0,1.4,.674, , ,3.7,1.4, , , ,3.1,4.0
Art Burris,SF,27,TOT,41, ,12.5,1.0,3.8,.269, , , ,1.0,3.8,.269,.269,0.6,1.0,.667, , ,2.4,0.7, , , ,1.7,2.7
Art Burris,SF,27,FTW,29, ,8.4,0.6,2.6,.240, , , ,0.6,2.6,.240,.240,0.2,0.4,.583, , ,1.7,0.4, , , ,1.3,1.5
Art Burris,SF,27,MLH,12, ,22.4,2.0,6.8,.296, , , ,2.0,6.8,.296,.296,1.6,2.3,.704, , ,4.2,1.3, , , ,2.5,5.6
Gerry Calabrese,SG,26,SYR,58, ,16.2,1.9,5.5,.344, , , ,1.9,5.5,.344,.344,1.3,1.8,.709, , ,1.4,1.4, , , ,1.8,5.0
Bill Calhoun,SG,24,BLB,55, ,29.0,2.3,7.4,.315, , , ,2.3,7.4,.315,.315,2.3,3.3,.683, , ,4.6,2.1, , , ,1.5,7.0
Al Cervi*,PG,34,SYR,55, ,15.5,1.8,5.1,.354, , , ,1.8,5.1,.354,.354,4.0,4.5,.883, , ,1.6,2.7, , , ,3.2,7.6
Cal Christensen,SF,24,MLH,24, ,15.6,1.2,4.0,.302, , , ,1.2,4.0,.302,.302,1.3,2.4,.526, , ,3.4,1.4, , , ,2.0,3.7
Nat Clifton*,PF,29,NYK,62, ,33.9,3.9,11.8,.335, , , ,3.9,11.8,.335,.335,2.7,4.1,.664, , ,11.8,3.4, , , ,3.7,10.6
Bill Closs,SF,30,FTW,57, ,19.6,2.1,6.8,.308, , , ,2.1,6.8,.308,.308,1.9,2.8,.682, , ,3.6,1.3, , , ,2.2,6.1
