Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Arizin*,SF,29,PHW,68, ,35.0,7.1,18.1,.393, , , ,7.1,18.1,.393,.393,6.5,8.0,.809, , ,7.4,2.0, , , ,3.5,20.7
Dick Atha,SG,26,DET,18, ,8.9,0.9,2.6,.362, , , ,0.9,2.6,.362,.362,0.6,0.7,.833, , ,1.3,1.1, , , ,1.3,2.4
Ernie Beck,SG,26,PHW,71, ,27.8,3.8,9.6,.398, , , ,3.8,9.6,.398,.398,2.4,2.9,.837, , ,4.3,2.7, , , ,2.4,10.1
Al Bianchi,SG,25,SYR,69, ,20.6,3.1,9.1,.344, , , ,3.1,9.1,.344,.344,2.0,3.0,.683, , ,3.2,1.7, , , ,2.7,8.3
Doug Bolstorff,G,26,DET,3, ,7.0,0.7,1.7,.400, , , ,0.7,1.7,.400,.400,0.0,0.0, , , ,0.0,0.0, , , ,0.3,1.3
Carl Braun,PG,30,NYK,71, ,34.9,6.0,14.3,.418, , , ,6.0,14.3,.418,.418,4.5,5.3,.849, , ,4.6,5.5, , , ,2.6,16.5
George Brown,F,22,MNL,1, ,6.0,0.0,2.0,.000, , , ,0.0,2.0,.000,.000,1.0,2.0,.500, , ,1.0,0.0, , , ,1.0,1.0
Bob Burrow,C,23,MNL,14, ,12.2,1.6,5.0,.314, , , ,1.6,5.0,.314,.314,0.8,2.4,.333, , ,4.6,0.4, , , ,1.1,3.9
Nat Clifton*,PF,35,DET,68, ,21.1,3.2,8.8,.363, , , ,3.2,8.8,.363,.363,1.3,2.1,.623, , ,5.9,1.1, , , ,3.0,7.7
Jack Coleman,PF,33,STL,72, ,20.9,3.2,7.8,.413, , , ,3.2,7.8,.413,.413,1.2,1.8,.641, , ,6.7,1.6, , , ,2.3,7.6
Ed Conlin,SF,24,SYR,60, ,31.2,5.7,14.6,.391, , , ,5.7,14.6,.391,.391,3.6,4.5,.796, , ,7.3,2.2, , , ,2.8,15.0
Larry Costello,PG,26,SYR,72, ,38.1,5.3,12.3,.426, , , ,5.3,12.3,.426,.426,4.4,5.3,.847, , ,5.3,4.4, , , ,3.4,14.9
Bob Cousy*,PG,29,BOS,65, ,34.2,6.8,19.4,.353, , , ,6.8,19.4,.353,.353,4.3,5.0,.850, , ,5.0,7.1, , , ,2.1,18.0
Walt Davis,PF,27,TOT,61, ,10.9,1.4,4.0,.348, , , ,1.4,4.0,.348,.348,1.0,1.3,.744, , ,2.9,0.5, , , ,2.3,3.8
Walt Davis,PF,27,PHW,35, ,10.7,1.3,3.7,.341, , , ,1.3,3.7,.341,.341,0.5,0.7,.667, , ,2.5,0.5, , , ,2.3,3.0
Walt Davis,PF,27,STL,26, ,11.0,1.6,4.4,.357, , , ,1.6,4.4,.357,.357,1.7,2.2,.776, , ,3.3,0.4, , , ,2.4,4.9
George Dempsey,PG,28,PHW,67, ,15.6,1.7,4.6,.360, , , ,1.7,4.6,.360,.360,1.0,1.6,.667, , ,3.2,1.9, , , ,1.7,4.4
Corky Devlin,SG,26,MNL,70, ,17.8,2.4,7.0,.348, , , ,2.4,7.0,.348,.348,1.9,2.5,.773, , ,1.9,2.4, , , ,1.5,6.8
Dick Duckett,PG,24,CIN,34, ,12.5,1.6,4.6,.342, , , ,1.6,4.6,.342,.342,0.7,0.8,.889, , ,1.6,1.4, , , ,1.8,3.9
Walter Dukes,C,27,DET,72, ,30.3,3.9,11.1,.349, , , ,3.9,11.1,.349,.349,3.4,5.1,.675, , ,13.3,0.7, , , ,4.3,11.2
Pat Dunn,SG,26,PHW,28, ,7.4,1.0,3.2,.311, , , ,1.0,3.2,.311,.311,0.5,0.6,.824, , ,1.1,1.0, , , ,0.7,2.5
Bill Ebben,G,22,DET,8, ,6.3,0.8,3.5,.214, , , ,0.8,3.5,.214,.214,0.4,0.5,.750, , ,1.0,0.5, , , ,0.6,1.9
Bo Erias,SF,25,MNL,18, ,22.3,3.3,9.4,.347, , , ,3.3,9.4,.347,.347,1.7,2.6,.638, , ,4.6,1.4, , , ,2.9,8.2
Ray Felix,C,27,NYK,72, ,23.7,4.2,9.6,.442, , , ,4.2,9.6,.442,.442,3.8,5.4,.697, , ,10.4,0.7, , , ,3.9,12.2
Ed Fleming,SF,24,MNL,72, ,23.4,3.1,9.1,.345, , , ,3.1,9.1,.345,.345,2.5,3.5,.710, , ,6.8,1.9, , , ,3.1,8.8
Larry Foust,C,29,MNL,72, ,30.6,5.4,13.6,.398, , , ,5.4,13.6,.398,.398,5.9,7.9,.756, , ,12.2,1.5, , , ,4.2,16.8
Larry Friend,SG,22,NYK,44, ,12.9,1.7,5.1,.327, , , ,1.7,5.1,.327,.327,0.6,0.9,.659, , ,2.4,1.1, , , ,1.2,4.0
Harry Gallatin*,PF,30,DET,72, ,27.6,4.7,12.5,.379, , , ,4.7,12.5,.379,.379,5.4,6.9,.787, , ,10.4,1.2, , , ,3.0,14.9
Dick Garmaker,SG,25,MNL,68, ,32.6,5.7,14.5,.395, , , ,5.7,14.5,.395,.395,4.6,6.0,.764, , ,5.4,2.7, , , ,2.8,16.1
