Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zaid Abdul-Aziz,C,29,SEA,27, ,8.3,1.3,2.8,.467, , , ,1.3,2.8,.467,.467,0.6,1.1,.552,1.1,1.7,2.8,0.6,0.3,0.6, ,1.1,3.2
Kareem Abdul-Jabbar*,C,28,LAL,82, ,41.2,11.1,21.1,.529, , , ,11.1,21.1,.529,.529,5.5,7.8,.703,3.3,13.5,16.9,5.0,1.5,4.1, ,3.6,27.7
Alvan Adams,C,21,PHO,80, ,33.2,7.9,16.8,.469, , , ,7.9,16.8,.469,.469,3.3,4.4,.735,2.7,6.4,9.1,5.6,1.5,1.5, ,3.4,19.0
Don Adams,SF,28,BUF,56, ,12.6,1.2,3.0,.394, , , ,1.2,3.0,.394,.394,0.7,1.0,.702,0.7,1.9,2.6,1.3,0.5,0.1, ,2.3,3.1
Lucius Allen,PG,28,LAL,76, ,31.4,6.1,13.2,.459, , , ,6.1,13.2,.459,.459,2.6,3.3,.776,0.8,2.0,2.8,4.7,1.3,0.3, ,3.2,14.7
Dan Anderson,PG,25,POR,52, ,11.8,1.7,3.5,.486, , , ,1.7,3.5,.486,.486,1.0,1.2,.836,0.3,0.9,1.2,1.6,0.4,0.0, ,1.1,4.4
Jerome Anderson,SG,22,BOS,22, ,5.7,1.1,2.0,.556, , , ,1.1,2.0,.556,.556,0.5,0.7,.688,0.2,0.4,0.6,0.3,0.1,0.1, ,1.1,2.8
Tiny Archibald*,PG,27,KCK,78, ,40.8,9.2,20.3,.453, , , ,9.2,20.3,.453,.453,6.4,8.0,.802,0.9,1.9,2.7,7.9,1.6,0.2, ,2.2,24.8
Jim Ard,C,27,BOS,81, ,10.5,1.3,3.6,.364, , , ,1.3,3.6,.364,.364,0.9,1.2,.710,1.2,2.4,3.6,0.6,0.1,0.4, ,1.7,3.5
Dennis Awtrey,C,27,PHO,74, ,18.6,1.9,4.1,.467, , , ,1.9,4.1,.467,.467,1.0,1.5,.688,1.3,2.7,4.0,2.1,0.3,0.3, ,2.1,4.9
Gus Bailey,SG,24,HOU,30, ,8.7,0.9,2.6,.364, , , ,0.9,2.6,.364,.364,0.5,0.9,.500,0.7,1.0,1.7,1.4,0.5,0.3, ,1.1,2.3
Mike Bantom,SF,24,TOT,73, ,21.5,3.0,6.5,.462, , , ,3.0,6.5,.462,.462,1.9,2.7,.683,1.9,3.4,5.4,1.4,0.4,0.4, ,3.0,7.9
Mike Bantom,SF,24,PHO,7, ,9.7,1.1,3.7,.308, , , ,1.1,3.7,.308,.308,0.7,0.7,1.000,1.0,2.3,3.3,0.4,0.3,0.3, ,1.9,3.0
Mike Bantom,SF,24,SEA,66, ,22.8,3.2,6.8,.471, , , ,3.2,6.8,.471,.471,2.0,2.9,.675,2.0,3.6,5.6,1.5,0.4,0.4, ,3.2,8.4
Jim Barnett,SG,31,NYK,71, ,14.5,2.3,5.2,.442, , , ,2.3,5.2,.442,.442,1.3,1.6,.789,0.7,0.6,1.2,1.3,0.3,0.0, ,1.2,5.9
Rick Barry*,SF,31,GSW,81, ,38.5,8.7,20.0,.435, , , ,8.7,20.0,.435,.435,3.5,3.8,.923,0.9,5.2,6.1,6.1,2.5,0.3, ,2.7,21.0
Jerry Baskerville,SF,24,PHI,21, ,5.0,0.4,1.2,.308, , , ,0.4,1.2,.308,.308,0.5,0.8,.625,0.6,0.7,1.3,0.1,0.3,0.2, ,1.5,1.2
Butch Beard,PG,28,TOT,75, ,22.7,3.0,6.6,.460, , , ,3.0,6.6,.460,.460,1.9,2.6,.750,1.4,2.8,4.1,2.9,1.1,0.1, ,2.9,8.0
Butch Beard,PG,28,CLE,15, ,17.0,2.3,6.0,.389, , , ,2.3,6.0,.389,.389,1.8,2.5,.730,0.9,1.9,2.9,3.0,0.7,0.1, ,2.4,6.5
Butch Beard,PG,28,NYK,60, ,24.2,3.2,6.8,.475, , , ,3.2,6.8,.475,.475,2.0,2.6,.755,1.5,3.0,4.5,2.9,1.2,0.1, ,3.0,8.4
Ron Behagen,PF,25,NOJ,66, ,26.3,4.7,10.5,.446, , , ,4.7,10.5,.446,.446,2.2,2.7,.804,2.9,5.5,8.4,2.1,1.0,0.4, ,3.4,11.5
Dennis Bell,SF,24,NYK,10, ,7.6,0.8,2.1,.381, , , ,0.8,2.1,.381,.381,0.3,0.7,.429,0.4,1.0,1.4,0.3,0.6,0.1, ,1.1,1.9
Leon Benbow,SG,25,CHI,76, ,20.9,2.9,7.3,.397, , , ,2.9,7.3,.397,.397,1.4,1.8,.750,0.9,1.5,2.3,2.1,0.8,0.1, ,2.4,7.1
Henry Bibby,PG,26,NOJ,79, ,22.4,3.4,7.9,.428, , , ,3.4,7.9,.428,.428,2.5,3.2,.797,0.7,1.5,2.3,2.8,0.8,0.0, ,2.1,9.3
Bob Bigelow,SF,22,KCK,31, ,5.3,0.5,1.5,.340, , , ,0.5,1.5,.340,.340,0.8,1.1,.727,0.3,0.6,0.9,0.3,0.1,0.0, ,0.6,1.8
Dave Bing*,PG,32,WSB,82, ,35.9,6.1,13.6,.447, , , ,6.1,13.6,.447,.447,4.0,5.1,.787,1.1,1.7,2.9,6.0,1.4,0.3, ,3.2,16.2
John Block,PF,31,CHI,2, ,3.5,1.0,2.0,.500, , , ,1.0,2.0,.500,.500,0.0,1.0,.000,0.0,1.0,1.0,0.0,0.5,0.0, ,1.0,2.0
Tom Boerwinkle,C,30,CHI,74, ,27.6,3.6,7.2,.500, , , ,3.6,7.2,.500,.500,1.6,2.4,.667,3.6,7.1,10.7,3.8,0.6,0.7, ,3.6,8.8
Tom Boswell,PF,22,BOS,35, ,7.9,1.2,2.7,.441, , , ,1.2,2.7,.441,.441,0.4,0.7,.583,0.7,1.3,2.0,0.5,0.1,0.0, ,2.0,2.7
