Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ed Conlin,SG,23,SYR,71, ,31.7,4.7,12.6,.374, , , ,4.7,12.6,.374,.374,4.0,5.2,.769, , ,6.1,2.9, , , ,2.4,13.4
Larry Costello,PG,25,PHW,72, ,29.3,2.6,6.9,.374, , , ,2.6,6.9,.374,.374,2.4,3.1,.788, , ,4.5,3.3, , , ,2.5,7.6
Bob Cousy*,PG,28,BOS,64, ,36.9,7.5,19.8,.378, , , ,7.5,19.8,.378,.378,5.7,6.9,.821, , ,4.8,7.5, , , ,2.1,20.6
Walt Davis,PF,26,PHW,65, ,19.2,2.7,6.7,.407, , , ,2.7,6.7,.407,.407,1.1,1.6,.698, , ,4.7,0.8, , , ,3.6,6.6
George Dempsey,PG,27,PHW,71, ,16.2,1.9,4.3,.444, , , ,1.9,4.3,.444,.444,0.8,1.4,.539, , ,3.5,1.9, , , ,1.5,4.5
Corky Devlin,SG,25,FTW,71, ,17.5,2.7,7.1,.378, , , ,2.7,7.1,.378,.378,1.4,2.0,.678, , ,2.1,2.0, , , ,1.6,6.7
Walter Dukes,C,26,MNL,71, ,26.3,3.2,8.8,.364, , , ,3.2,8.8,.364,.364,3.7,5.4,.689, , ,11.2,0.8, , , ,3.8,10.1
Ray Felix,C,26,NYK,72, ,22.5,4.1,9.8,.416, , , ,4.1,9.8,.416,.416,3.8,5.2,.747, , ,8.2,0.5, , , ,3.9,12.0
Ed Fleming,SG,23,ROC,51, ,18.2,2.1,7.1,.299, , , ,2.1,7.1,.299,.299,2.7,3.7,.728, , ,3.6,1.6, , , ,1.8,7.0
Larry Foust,C,28,FTW,61, ,25.1,4.0,10.1,.394, , , ,4.0,10.1,.394,.394,4.5,6.2,.718, , ,9.1,1.2, , , ,3.6,12.4
Harry Gallatin*,PF,29,NYK,72, ,27.0,4.6,11.3,.406, , , ,4.6,11.3,.406,.406,5.8,7.2,.800, , ,10.1,1.2, , , ,2.8,15.0
Dick Garmaker,SG,24,MNL,72, ,33.4,5.6,14.1,.400, , , ,5.6,14.1,.400,.400,5.1,6.0,.839, , ,4.7,2.6, , , ,2.8,16.3
Jack George,SG,28,PHW,67, ,33.3,3.8,11.2,.337, , , ,3.8,11.2,.337,.337,3.0,4.4,.683, , ,4.7,4.6, , , ,2.5,10.5
Joe Graboski,PF,27,PHW,72, ,34.7,5.4,15.5,.349, , , ,5.4,15.5,.349,.349,3.5,4.5,.783, , ,8.5,1.9, , , ,3.4,14.3
Si Green,SG,23,ROC,13, ,32.5,3.8,11.0,.350, , , ,3.8,11.0,.350,.350,3.8,5.3,.710, , ,5.2,3.6, , , ,2.8,11.5
Richie Guerin*,SG,24,NYK,72, ,24.9,3.6,9.7,.368, , , ,3.6,9.7,.368,.368,2.5,4.1,.620, , ,4.6,2.5, , , ,2.6,9.7
Cliff Hagan*,SF,25,STL,67, ,14.5,2.0,5.5,.361, , , ,2.0,5.5,.361,.361,1.5,2.2,.690, , ,3.7,1.3, , , ,2.5,5.5
Alex Hannum*,F-C,33,TOT,59, ,10.9,1.3,3.8,.345, , , ,1.3,3.8,.345,.345,0.6,0.9,.661, , ,2.7,0.5, , , ,2.3,3.2
Alex Hannum*,PF,33,FTW, , , , , , , , , , , , , , , , , , , , , , , , , 
Alex Hannum*,PF,33,STL, , , , , , , , , , , , , , , , , , , , , , , , , 
Bob Harrison,G,29,TOT,66, ,27.4,3.7,9.5,.386, , , ,3.7,9.5,.386,.386,1.4,2.0,.715, , ,2.4,2.4, , , ,3.3,8.8
Bob Harrison,G,29,STL, , , , , , , , , , , , , , , , , , , , , , , , , 
Bob Harrison,SG,29,SYR, , , , , , , , , , , , , , , , , , , , , , , , , 
Tom Heinsohn*,PF,22,BOS,72, ,29.9,6.2,15.6,.397, , , ,6.2,15.6,.397,.397,3.8,4.8,.790, , ,9.8,1.6, , , ,4.2,16.2
Dick Hemric,PF,23,BOS,67, ,15.7,1.6,4.7,.344, , , ,1.6,4.7,.344,.344,2.2,3.1,.695, , ,4.5,0.6, , , ,1.5,5.4
Larry Hennessy,SG,27,SYR,21, ,17.8,2.7,8.3,.320, , , ,2.7,8.3,.320,.320,1.1,1.5,.719, , ,2.1,1.3, , , ,1.3,6.4
Lew Hitch,PF,27,TOT,68, ,16.7,1.6,4.4,.375, , , ,1.6,4.4,.375,.375,0.9,1.3,.716, , ,3.7,0.6, , , ,1.5,4.2
Lew Hitch,PF,27,ROC,30, ,18.5,1.8,4.8,.372, , , ,1.8,4.8,.372,.372,1.2,1.7,.725, , ,4.0,0.5, , , ,1.8,4.8
Lew Hitch,PF,27,PHW,38, ,15.2,1.5,4.0,.377, , , ,1.5,4.0,.377,.377,0.7,1.0,.703, , ,3.5,0.7, , , ,1.3,3.7
Joe Holup,SF,22,SYR,71, ,18.1,2.3,6.9,.329, , , ,2.3,6.9,.329,.329,2.9,3.6,.806, , ,3.9,1.2, , , ,2.5,7.4
Bob Hopkins,C,22,SYR,62, ,12.3,2.1,5.5,.379, , , ,2.1,5.5,.379,.379,1.5,2.0,.746, , ,3.8,0.4, , , ,1.7,5.7
Bob Houbregs*,C,24,FTW,60, ,26.5,4.2,9.8,.432, , , ,4.2,9.8,.432,.432,2.8,3.9,.714, , ,6.7,1.9, , , ,2.0,11.2
Mel Hutchins,PF,28,FTW,72, ,36.8,5.1,13.2,.387, , , ,5.1,13.2,.387,.387,2.1,2.9,.738, , ,7.9,2.9, , , ,2.5,12.4
Neil Johnston*,C,27,PHW,69, ,36.7,7.5,16.9,.447, , , ,7.5,16.9,.447,.447,7.8,9.4,.826, , ,12.4,2.9, , , ,3.3,22.8
Phil Jordon,C-F,23,NYK,9, ,10.1,2.0,5.4,.367, , , ,2.0,5.4,.367,.367,0.9,1.3,.667, , ,3.8,0.2, , , ,1.7,4.9
Ed Kalafat,SF,24,MNL,65, ,24.9,2.7,7.8,.351, , , ,2.7,7.8,.351,.351,3.0,4.6,.661, , ,6.5,1.6, , , ,3.7,8.5
Billy Kenville,SG,26,FTW,71, ,24.0,2.9,8.6,.336, , , ,2.9,8.6,.336,.336,2.5,3.1,.798, , ,4.6,2.4, , , ,2.4,8.2
Red Kerr,C,24,SYR,72, ,30.4,4.6,11.5,.403, , , ,4.6,11.5,.403,.403,3.1,4.3,.719, , ,11.2,1.3, , , ,2.6,12.4
Hal Lear,G,22,PHW,3, ,4.7,0.7,2.0,.333, , , ,0.7,2.0,.333,.333,0.0,0.0, , , ,0.3,0.3, , , ,1.0,1.3
Slick Leonard*,PG,24,MNL,72, ,27.0,4.2,12.0,.349, , , ,4.2,12.0,.349,.349,2.6,3.3,.772, , ,3.1,2.3, , , ,1.9,11.0
Earl Lloyd*,SF,28,SYR,72, ,27.3,3.6,9.5,.373, , , ,3.6,9.5,.373,.373,1.9,2.5,.749, , ,6.0,1.6, , , ,3.9,9.0
Jim Loscutoff,SF,26,BOS,70, ,31.7,4.4,12.7,.345, , , ,4.4,12.7,.345,.345,1.9,2.7,.706, , ,10.4,1.3, , , ,3.5,10.6
Clyde Lovellette*,C,27,MNL,69, ,36.1,8.3,19.5,.426, , , ,8.3,19.5,.426,.426,4.1,5.8,.717, , ,13.5,2.0, , , ,3.6,20.8
Ed Macauley*,PF,28,STL,72, ,35.9,5.8,13.7,.419, , , ,5.8,13.7,.419,.419,5.0,6.7,.749, , ,6.1,2.8, , , ,2.9,16.5
Tom Marshall,SF,26,ROC,40, ,11.5,1.4,4.1,.344, , , ,1.4,4.1,.344,.344,1.2,1.5,.810, , ,2.1,0.8, , , ,0.8,4.0
Slater Martin*,PG,31,TOT,66, ,36.4,3.7,11.2,.332, , , ,3.7,11.2,.332,.332,3.5,4.4,.790, , ,4.4,4.1, , , ,2.9,10.9
Slater Martin*,PG,31,NYK,13, ,32.8,2.5,7.4,.344, , , ,2.5,7.4,.344,.344,3.4,4.1,.830, , ,3.2,3.0, , , ,2.2,8.5
Slater Martin*,PG,31,STL,53, ,37.3,4.0,12.1,.330, , , ,4.0,12.1,.330,.330,3.5,4.5,.782, , ,4.6,4.3, , , ,3.1,11.5
Johnny McCarthy,PG,22,ROC,72, ,21.7,2.4,6.4,.376, , , ,2.4,6.4,.376,.376,1.8,2.7,.674, , ,2.8,1.5, , , ,1.8,6.6
Dick McGuire*,PG,31,NYK,72, ,16.5,1.9,5.1,.383, , , ,1.9,5.1,.383,.383,1.5,2.3,.644, , ,2.0,3.1, , , ,1.4,5.3
Jack McMahon,SG,28,STL,72, ,32.6,3.3,10.1,.330, , , ,3.3,10.1,.330,.330,2.0,3.1,.631, , ,3.1,5.1, , , ,3.0,8.6
Chuck Mencel,PG,23,MNL,72, ,25.7,3.4,9.6,.353, , , ,3.4,9.6,.353,.353,2.5,3.3,.746, , ,3.3,2.8, , , ,1.3,9.2
Vern Mikkelsen*,PF,28,MNL,72, ,30.5,4.5,11.9,.377, , , ,4.5,11.9,.377,.377,4.8,5.9,.807, , ,8.8,1.7, , , ,4.3,13.7
Jackie Moore,SF,24,PHW,57, ,7.0,0.8,1.9,.406, , , ,0.8,1.9,.406,.406,0.6,0.8,.804, , ,2.0,0.4, , , ,1.3,2.2
Willie Naulls,PF,22,TOT,71, ,25.0,4.1,11.5,.357, , , ,4.1,11.5,.357,.357,1.9,2.7,.677, , ,8.7,1.2, , , ,2.6,10.1
Willie Naulls,F-C,22,STL,19, ,23.1,4.1,11.1,.365, , , ,4.1,11.1,.365,.365,2.2,3.2,.683, , ,8.8,1.2, , , ,3.0,10.3
Willie Naulls,PF,22,NYK,52, ,25.8,4.2,11.7,.355, , , ,4.2,11.7,.355,.355,1.8,2.6,.674, , ,8.7,1.2, , , ,2.5,10.1
Jack Nichols,PF,30,BOS,61, ,22.5,3.2,8.8,.363, , , ,3.2,8.8,.363,.363,1.8,2.2,.794, , ,6.1,1.4, , , ,3.0,8.2
Chuck Noble,SG,25,FTW,54, ,23.3,3.7,10.3,.360, , , ,3.7,10.3,.360,.360,1.4,1.9,.745, , ,2.5,3.3, , , ,3.0,8.8
Togo Palazzi,SF,24,TOT,63, ,16.1,3.3,9.1,.368, , , ,3.3,9.1,.368,.368,2.2,2.8,.777, , ,4.2,0.8, , , ,1.9,8.8
Togo Palazzi,SF,24,BOS,21, ,11.1,2.0,5.6,.347, , , ,2.0,5.6,.347,.347,1.1,1.5,.719, , ,3.6,0.4, , , ,1.1,5.0
Togo Palazzi,SF,24,SYR,42, ,18.6,4.0,10.8,.373, , , ,4.0,10.8,.373,.373,2.7,3.4,.790, , ,4.5,1.0, , , ,2.2,10.7
Med Park,SG,23,STL,66, ,17.1,1.8,4.9,.364, , , ,1.8,4.9,.364,.364,1.6,2.2,.740, , ,3.0,1.4, , , ,2.1,5.2
Jim Paxson,SF,24,MNL,71, ,17.9,1.9,6.8,.285, , , ,1.9,6.8,.285,.285,2.4,3.3,.720, , ,3.7,1.2, , , ,2.3,6.3
Bob Pettit*,C,24,STL,71, ,35.1,8.6,20.8,.415, , , ,8.6,20.8,.415,.415,7.5,9.6,.773, , ,14.6,1.9, , , ,2.5,24.7
Andy Phillip*,PG,34,BOS,67, ,22.0,1.6,4.1,.379, , , ,1.6,4.1,.379,.379,1.3,2.0,.642, , ,2.7,2.5, , , ,1.8,4.4
Dave Piontek,SF,22,ROC,71, ,24.8,3.6,9.0,.403, , , ,3.6,9.0,.403,.403,1.7,2.6,.667, , ,4.9,1.5, , , ,2.0,9.0
Frank Ramsey*,SG,25,BOS,35, ,23.1,3.9,10.0,.393, , , ,3.9,10.0,.393,.393,4.1,5.2,.791, , ,5.1,1.9, , , ,3.2,11.9
Jim Ray,G,23,SYR,4, ,10.8,0.5,2.8,.182, , , ,0.5,2.8,.182,.182,0.8,1.3,.600, , ,1.3,0.8, , , ,1.0,1.8
Richie Regan,PG,26,ROC,71, ,29.6,3.6,11.0,.329, , , ,3.6,11.0,.329,.329,2.6,3.3,.774, , ,2.9,3.1, , , ,2.5,9.8
Dick Ricketts,C,23,ROC,72, ,29.4,4.2,12.1,.344, , , ,4.2,12.1,.344,.344,2.9,4.1,.694, , ,6.1,1.8, , , ,4.3,11.2
Arnie Risen*,C,32,BOS,43, ,21.7,2.8,7.1,.388, , , ,2.8,7.1,.388,.388,2.5,3.6,.679, , ,6.7,1.2, , , ,3.8,8.0
Red Rocha,C,33,FTW,72, ,16.0,1.9,5.4,.349, , , ,1.9,5.4,.349,.349,1.5,2.0,.757, , ,3.8,1.1, , , ,2.3,5.3
Dick Rosenthal,SF,27,FTW,18, ,10.4,1.2,4.4,.266, , , ,1.2,4.4,.266,.266,0.5,0.9,.529, , ,2.9,0.9, , , ,1.2,2.8
Bill Russell*,C,22,BOS,48, ,35.3,5.8,13.5,.427, , , ,5.8,13.5,.427,.427,3.2,6.4,.492, , ,19.6,1.8, , , ,3.0,14.7
Don Savage,F-G,28,SYR,5, ,11.0,1.2,3.8,.316, , , ,1.2,3.8,.316,.316,1.2,1.4,.857, , ,1.4,0.4, , , ,1.4,3.6
Bob Schafer,SG, ,SYR,11, ,15.2,1.7,6.0,.288, , , ,1.7,6.0,.288,.288,1.0,1.2,.846, , ,1.0,1.4, , , ,1.5,4.5
Dolph Schayes*,PF,28,SYR,72, ,39.6,6.9,18.2,.379, , , ,6.9,18.2,.379,.379,8.7,9.6,.904, , ,14.0,3.2, , , ,3.0,22.5
Dick Schnittker,SF,28,MNL,70, ,14.2,1.6,5.0,.322, , , ,1.6,5.0,.322,.322,2.3,2.8,.829, , ,2.6,0.7, , , ,2.1,5.5
Kenny Sears,SF,23,NYK,72, ,34.9,4.8,11.4,.418, , , ,4.8,11.4,.418,.418,5.3,6.7,.790, , ,8.5,1.4, , , ,3.1,14.8
Paul Seymour,PG,29,SYR,65, ,19.0,2.2,6.8,.324, , , ,2.2,6.8,.324,.324,1.6,1.9,.821, , ,2.0,3.0, , , ,1.4,6.0
Chuck Share,C,29,STL,72, ,23.2,3.3,7.4,.439, , , ,3.3,7.4,.439,.439,3.7,5.5,.684, , ,8.9,1.1, , , ,3.7,10.3
Bill Sharman*,SG,30,BOS,67, ,35.9,7.7,18.5,.416, , , ,7.7,18.5,.416,.416,5.7,6.3,.905, , ,4.3,3.5, , , ,2.8,21.1
Ron Shavlik,F,23,NYK,7, ,10.3,0.6,3.1,.182, , , ,0.6,3.1,.182,.182,0.3,0.7,.400, , ,3.1,0.0, , , ,1.7,1.4
Gene Shue,PG,25,FTW,72, ,34.3,3.8,9.9,.385, , , ,3.8,9.9,.385,.385,3.3,4.4,.763, , ,5.8,3.3, , , ,1.9,10.9
Whitey Skoog,SG,30,MNL,23, ,28.5,3.4,9.6,.355, , , ,3.4,9.6,.355,.355,1.9,2.0,.936, , ,3.1,3.3, , , ,2.8,8.7
Ron Sobie,SG,22,NYK,71, ,19.4,2.3,6.2,.376, , , ,2.3,6.2,.376,.376,2.1,2.8,.764, , ,4.6,1.8, , , ,2.2,6.8
Odie Spears,G,32,TOT,11, ,10.7,1.1,3.5,.316, , , ,1.1,3.5,.316,.316,1.7,2.0,.864, , ,1.4,0.6, , , ,2.2,3.9
Odie Spears,SF,32,FTW, , , , , , , , , , , , , , , , , , , , , , , , , 
Odie Spears,SF,32,STL, , , , , , , , , , , , , , , , , , , , , , , , , 
Art Spoelstra,C,24,ROC,69, ,17.0,3.1,8.1,.388, , , ,3.1,8.1,.388,.388,1.3,1.7,.733, , ,3.2,0.8, , , ,2.4,7.6
Norm Stewart,F,22,STL,5, ,7.4,0.8,3.0,.267, , , ,0.8,3.0,.267,.267,0.4,1.2,.333, , ,1.0,0.4, , , ,1.8,2.0
Maurice Stokes*,PF,23,ROC,72, ,38.3,6.0,17.3,.347, , , ,6.0,17.3,.347,.347,3.6,5.3,.665, , ,17.4,4.6, , , ,4.0,15.6
Bill Thieben,PF,21,FTW,58, ,10.9,1.6,4.4,.352, , , ,1.6,4.4,.352,.352,1.0,1.5,.655, , ,3.6,0.3, , , ,1.3,4.1
Lou Tsioropoulos,SF,26,BOS,52, ,12.9,1.5,4.9,.309, , , ,1.5,4.9,.309,.309,1.3,1.7,.775, , ,4.0,0.6, , , ,2.6,4.4
Jim Tucker,PF,24,SYR,9, ,13.2,1.9,4.9,.386, , , ,1.9,4.9,.386,.386,0.0,0.1,.000, , ,2.2,0.2, , , ,2.9,3.8
Jack Twyman*,SG,22,ROC,72, ,32.5,6.2,14.2,.439, , , ,6.2,14.2,.439,.439,3.8,5.0,.760, , ,4.9,1.7, , , ,3.5,16.3
Bobby Wanzer*,SG,35,ROC,21, ,7.6,1.1,2.3,.469, , , ,1.1,2.3,.469,.469,1.7,2.2,.783, , ,1.2,0.4, , , ,1.0,3.9
Bob Williams,F,25,MNL,4, ,5.0,0.3,1.0,.250, , , ,0.3,1.0,.250,.250,0.5,0.8,.667, , ,1.3,0.0, , , ,0.5,1.0
George Yardley*,SF,28,FTW,72, ,37.4,7.3,17.7,.410, , , ,7.3,17.7,.410,.410,7.0,8.9,.787, , ,10.5,2.0, , , ,3.2,21.5
