Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Forest Able,G,24,SYR,1, ,1.0,0.0,2.0,.000, , , ,0.0,2.0,.000,.000,0.0,0.0, , , ,1.0,1.0, , , ,1.0,0.0
Paul Arizin*,SF,28,PHW,71, ,39.0,8.6,20.4,.422, , , ,8.6,20.4,.422,.422,8.3,10.0,.829, , ,7.9,2.1, , , ,3.9,25.6
Bob Armstrong,C-F,23,PHW,19, ,5.8,0.6,1.9,.297, , , ,0.6,1.9,.297,.297,0.3,0.6,.500, , ,2.1,0.2, , , ,0.7,1.5
Jim Baechtold,SF,29,NYK,45, ,10.3,1.7,4.4,.381, , , ,1.7,4.4,.381,.381,1.5,2.0,.750, , ,1.8,0.7, , , ,0.9,4.8
John Barber,F,29,STL,5, ,3.8,0.4,1.6,.250, , , ,0.4,1.6,.250,.250,0.6,1.2,.500, , ,1.2,0.0, , , ,0.8,1.4
Ernie Beck,SG,25,PHW,72, ,24.2,2.7,7.1,.384, , , ,2.7,7.1,.384,.384,1.5,2.2,.707, , ,4.3,2.6, , , ,2.2,7.0
Irv Bemoras,SF,26,STL,62, ,15.9,2.0,6.2,.322, , , ,2.0,6.2,.322,.322,1.1,1.7,.680, , ,2.0,0.7, , , ,1.2,5.1
Gary Bergen,C,24,NYK,6, ,6.7,0.5,1.8,.273, , , ,0.5,1.8,.273,.273,0.3,0.3,1.000, , ,1.3,0.2, , , ,0.7,1.3
Al Bianchi,PG,24,SYR,68, ,23.2,2.9,8.3,.351, , , ,2.9,8.3,.351,.351,2.4,3.5,.690, , ,3.3,1.6, , , ,2.9,8.3
Carl Braun,PG,29,NYK,72, ,32.6,5.3,13.8,.381, , , ,5.3,13.8,.381,.381,3.4,4.2,.809, , ,3.6,3.6, , , ,2.7,13.9
Bob Burrow,C,22,ROC,67, ,15.3,2.0,5.5,.374, , , ,2.0,5.5,.374,.374,1.9,3.1,.616, , ,4.4,0.6, , , ,2.5,6.0
Nat Clifton*,PF,34,NYK,71, ,31.4,4.3,11.5,.377, , , ,4.3,11.5,.377,.377,2.1,3.1,.673, , ,7.8,2.3, , , ,3.4,10.7
Jack Coleman,PF,32,STL,72, ,29.8,4.4,10.8,.408, , , ,4.4,10.8,.408,.408,1.7,2.2,.764, , ,9.0,2.2, , , ,3.3,10.5
